WKT,name,description
"LINESTRING (-123.1115923 49.2859118, -123.1132874 49.2865486, -123.1177276 49.2879322, -123.1192833 49.2879637, -123.1200452 49.2877083, -123.1205414 49.2874441, -123.1209088 49.287075, -123.1208659 49.2865536, -123.1200987 49.2859238)",Waterfront Burrard,
"LINESTRING (-123.1200987 49.2859238, -123.1160122 49.283341)",Burrard Granville,
"LINESTRING (-123.1160122 49.283341, -123.1098205 49.2795919)",Granville Stadium,
"LINESTRING (-123.1098205 49.2795919, -123.1078983 49.2784271, -123.1073797 49.2781376, -123.1064302 49.2778191, -123.1045527 49.2776791, -123.1037051 49.2774551, -123.1031364 49.2771069, -123.1026643 49.2766327, -123.1021816 49.2737313, -123.1019187 49.2734443, -123.1014735 49.2732553, -123.1003613 49.2731143)",Stadium Science World,
"LINESTRING (-123.1003613 49.2731143, -123.0989415 49.2728983, -123.0971176 49.2723593, -123.0824405 49.2697131, -123.080402 49.268565, -123.0792647 49.2671684, -123.0781597 49.2663878, -123.0698625 49.2636375, -123.0693942 49.2634262, -123.0691008 49.2629934, -123.0690364 49.2626153)",Science World Commercial,
"LINESTRING (-123.0690295 49.262544, -123.0690938 49.2564663, -123.0688898 49.2555449, -123.0683533 49.2547046, -123.0670229 49.2536822, -123.0650488 49.2521975, -123.0615191 49.2506498, -123.0558971 49.2483037)",Commercial Nanaimo,
"LINESTRING (-123.0558971 49.2483037, -123.0461339 49.2442274)",Nanaimo 29th,
"LINESTRING (-123.0461339 49.2442274, -123.0317787 49.2382664)",29th Joyce,
"LINESTRING (-123.0317787 49.2382664, -123.0126493 49.2297362)",Joyce Patterson,
"LINESTRING (-123.0126493 49.2297362, -123.0038088 49.2258268)",Patterson Metrotown,
"LINESTRING (-123.0038088 49.2258268, -122.9957492 49.2219433, -122.994569 49.2214668, -122.993346 49.2211515, -122.9884321 49.2200793)",Metrotown Royal Oak,
"LINESTRING (-122.9884321 49.2200793, -122.9797094 49.2182986, -122.9780572 49.217759, -122.9750853 49.2164205, -122.9729288 49.2153622, -122.9718452 49.2150223, -122.9702734 49.2148086, -122.9691147 49.2148121, -122.9636806 49.2149873, -122.9622644 49.2148506, -122.9615831 49.2146474, -122.960875 49.2142059, -122.9602473 49.2134875, -122.9593676 49.2122645)",Royal Oak Edmonds,
"LINESTRING (-122.9593676 49.2122645, -122.9573383 49.2095535, -122.9566342 49.2083922, -122.9564746 49.2079204, -122.9566141 49.2073386, -122.9586204 49.2046189, -122.958835 49.2038198, -122.9587384 49.202593, -122.9582234 49.2015765, -122.9573007 49.2007213, -122.9559382 49.2000904, -122.9545863 49.1996908, -122.9531165 49.1995295, -122.9516145 49.19954, -122.9500373 49.1997889, -122.9487552 49.2001079)",Edmonds 22nd,
"LINESTRING (-122.9487552 49.2001079, -122.9464546 49.2007191, -122.9449848 49.200996, -122.9422489 49.2012589, -122.9413531 49.2014517, -122.9400656 49.2019739, -122.9389015 49.2024646, -122.9374102 49.2029448, -122.9347441 49.2037335, -122.9337249 49.2038316, -122.9324911 49.203751, -122.9290149 49.2033479, -122.9280279 49.2031376, -122.9273305 49.2028292, -122.9267994 49.2024962, -122.9254261 49.2014377, -122.9248414 49.2011502, -122.9239616 49.2009014, -122.9218588 49.2005228, -122.9207108 49.2003405, -122.9189781 49.2002249, -122.9165373 49.2000917, -122.9156682 49.2001162, -122.9148743 49.2003055, -122.9140804 49.200677, -122.912809 49.201336)",22nd New West,
"LINESTRING (-122.912809 49.201336, -122.9061076 49.2048109)",New West Columbia,
"LINESTRING (-122.9061076 49.2048109, -122.903633 49.2060392, -122.902367 49.2065089, -122.9011332 49.206621, -122.8998993 49.2063617, -122.8903185 49.2040204, -122.8883766 49.2035718, -122.8865419 49.2033475, -122.8841279 49.2032984, -122.8744613 49.204427)",Columbia Scott Rd,
