Year,line_no,DayType,sheet,Time_Range,direction_name_EastNorth,direction_name_WestSouth,Revenue_Hours,Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip,Average_Peak_Passenger_Load_EastNorth,Average_Peak_Load_Factor_Percentage_EastNorth,Average_Peak_Passenger_Load_WestSouth,Average_Peak_Load_Factor_Percentage_WestSouth
2019,2,MF,Fall,04:00-06:00,EAST,WEST,156,218.4,2,54.24445862,29.38241509,27.76533424,0.555306685,15.40604575,0.308120915
2019,2,MF,Fall,06:00-09:00,EAST,WEST,2654.4,3016.8,10.83333333,94.56620761,53.63567736,40.84845585,0.810600433,37.37510296,0.747502059
2019,2,MF,Fall,09:00-15:00,EAST,WEST,4537.2,4772.4,8.416666667,71.96675781,44.93980441,24.88529823,0.497705965,28.42062211,0.568412442
2019,2,MF,Fall,15:00-18:00,EAST,WEST,3414,3529.2,11.33333333,87.68085832,61.16855847,31.14935809,0.622987162,41.2282248,0.824564496
2019,2,MF,Fall,18:00-21:00,EAST,WEST,2146.8,2276.4,8,71.13939288,44.43817713,20.07086563,0.401417313,32.46779978,0.649355996
2019,2,MF,Fall,21:00-24:00,EAST,WEST,1094.4,1161.6,4,55.6828045,35.00358079,16.22969259,0.324593852,26.68070538,0.533614108
2019,2,MF,Fall,24:00-04:00,EAST,WEST,367.2,402,1.75,21.37936235,15.21946705,5.712239689,0.114244794,13.10950731,0.262190146
2019,2,MF,Summer,04:00-06:00,EAST,WEST,104,145.6,2,60.40544872,32.71961806,29.21990741,0.584398148,20,0.4
2019,2,MF,Summer,06:00-09:00,EAST,WEST,1769.6,1992,10.83333333,89.63968465,50.72431709,39.64727051,0.786958841,36.29343048,0.72586861
2019,2,MF,Summer,09:00-15:00,EAST,WEST,3024.8,3181.6,8.416666667,74.22001654,46.34956302,28.14003372,0.562800674,26.9031913,0.538063826
2019,2,MF,Summer,15:00-18:00,EAST,WEST,2276,2366.4,11.33333333,96.51572326,67.35182312,33.64880051,0.67297601,48.15087853,0.963017571
2019,2,MF,Summer,18:00-21:00,EAST,WEST,1431.2,1517.6,8,95.80658382,59.52599496,31.44522569,0.628904514,39.98414076,0.799682815
2019,2,MF,Summer,21:00-24:00,EAST,WEST,729.6,774.4,4,74.12809081,46.68684414,22.81584684,0.456316937,28.38969907,0.567793981
2019,2,MF,Summer,24:00-04:00,EAST,WEST,244.8,268,1.75,32.54742229,23.16788194,9.468229167,0.189364583,21.66666667,0.433333333
2019,2,SAT,Fall,04:00-06:00,EAST,WEST,7,23.25,1,18.21428571,8.5,5.966666667,0.119333333,NULL,NULL
2019,2,SAT,Fall,06:00-09:00,EAST,WEST,211.75,234.75,4,49.71415487,29.78892376,17.92873016,0.358574603,24.3710582,0.487421164
