Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
22nd Street,Station,New Westminster,Burnaby/New Westminster,1985,100; 101; 104; 128; 155; 340; 388; 410; 418,52183; 52230; 52373; 53497; 55933; 56919; 58173; 58322,Expo/Millennium Line,10400,10100,6000,6300,4900,5100,8650,8470,6040,5560,4630,4400,0,0,0,0,0,0,4000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.948947,49.200056,1,293209b7-dd9e-468c-818a-2b09f3c962c5,-13686624.7979,6308859.2001
29th Avenue,Station,Vancouver,Vancouver/UBC,1985,016; 026; 029; 033,51056; 51603; 51818; 60208,Expo/Millennium Line,3500,3200,2800,2600,2300,2200,5580,5570,4810,4750,3700,3800,0,0,0,0,0,0,15000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-123.045944,49.244203,2,2a44d4bb-d87c-45dc-98e1-17c790cd39c8,-13697354.4837,6316393.9768
Aberdeen,Station,Richmond,Southeast,2009,403; 410; N10,56564; 58198,Canada Line,960,970,650,710,530,580,2940,3110,3200,3370,2590,2670,0,0,0,0,0,0,4000,15000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.136286,49.184448,3,b3b4874d-d801-47c0-88ab-06adfe871632,-13707464.2568,6306163.0845
Blanca,Loop,UBC/UEL,Vancouver/UBC,1930,004; 014,50273; 50600,None,20,20,40,50,20,30,0,0,0,0,0,0,0,0,0,0,0,0,5300,1500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.215644,49.265128,4,03d2e769-3d6e-4ed5-941c-dcde355f4f94,-13716302.7146,6319968.453
Boundary,Loop,Vancouver,Vancouver/UBC,1953,009; 099; N9,50901; 52092,None,540,450,270,230,200,190,0,0,0,0,0,0,0,0,0,0,0,0,3500,5700,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2022,-123.025191,49.265474,5,d53e108e-f3ea-450a-90ae-b2e18b69269f,-13695101.5991,6320027.4657
Braid,Station,New Westminster,Burnaby/New Westminster,2002,128; 153; 155; 156; 159; 169; 791,58079; 58082; 58083; 58084; 58085; 58086,Expo/Millennium Line,3100,2800,1700,1600,1200,1100,3280,3280,2170,2120,1590,1610,0,0,0,0,0,0,3000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.882803,49.233244,6,9fb49963-7755-45c1-8734-15ab22c19277,-13679256.4812,6314466.4974
Brentwood Town Centre,Station,Burnaby,Burnaby/New Westminster,2002,025; 123; 130; 134; 136; 222; N9,51389; 60329; 60515; 60516; 61802; 61803,Expo/Millennium Line,4400,3500,2300,1900,2000,1600,5150,5390,4040,4170,2910,3050,0,0,0,0,0,0,16000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2022,-123.001664,49.266384,7,ca1b6a1d-b6a1-44a5-9919-cc87d0049417,-13692539.1021,6320169.359
Bridgeport,Station,Richmond,Southeast,2009,311; 351; 352; 354; 403; 407; 412; 430; 601; 602; 603; 604; 620; N10,61321; 61323; 61324; 61325; 61326; 61327; 61328; 61329; 61330; 61331; 61693,Canada Line,7200,6800,5400,5100,4800,4700,7320,7470,6740,6920,5580,5620,0,0,0,0,0,0,4000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-123.125904,49.195535,8,762e5ed2-285a-49d8-a091-6c2f2aecad2a,-13706457.1997,6308036.543
Broadway-City Hall,Station,Vancouver,Vancouver/UBC,2009,009; 015/050; 017; 099; N15; N9,58501; 60307; 60534; 60535; 61027,Canada Line,7500,7600,5500,5300,4400,4000,8900,8780,6630,6590,5090,5290,0,0,0,0,0,0,17000,24000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2022,-123.114815,49.262731,9,2780e30f-14d5-4c4d-a277-2f85aa79dcb3,-13704938.6989,6319650.7297
Burquitlam,Station,Coquitlam,Northeast Sector,2016,143; 151; 156; 157; 180; N9,53122; 53208; 59531; 59554; 59557; 59561,Expo/Millennium Line,2200,2200,760,720,580,550,3480,3600,2580,2560,1880,1940,0,0,0,0,0,0,12000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2022,-122.889868,49.261426,10,0431d114-4f7a-47dd-9285-252402b91707,-13679973.4776,6319316.9609
