Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID
002,MACDONALD/BURRARD STN,Vancouver/UBC,Artic. Bus,All Day Frequent,99000,157000,8.5,18 km/h,23,3126576,9238,7958,6346,2,78%,6711208,49850,,Burrard; Dunbar,Expo/Millennium Line,20573.6754470364,2024,614,20573.6754470708,9ff8840e-7c6e-4c98-8da2-a4b968b3daa4
003,MAIN/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,105000,176000,10.5,14 km/h,17,3559831,10356,9388,7585,1,73%,6169846,54705,,Main Street-Science World; Marine Drive; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,22572.0102228356,2024,615,22572.0102227965,042211fb-8f78-4d2e-9473-f57422b676ec
004,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent,154000,232000,13.3,18 km/h,33,2359286,6837,6213,5137,5,71%,6707529,64050,,Blanca; Granville; NightBus District; UBC; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,46319.7686208162,2024,616,46319.768620847,d3154bf4-d23b-4f7b-abc8-8654410cce60
005/006,ROBSON/DOWNTOWN/DAVIE,Vancouver/UBC,Std. Trolley,All Day Frequent,138000,189000,2.9,10 km/h,12,4342385,12649,11117,9458,3,80%,8618773,80792,,Burrard; Stadium-Chinatown; Yaletown-Roundhouse,Canada Line; Expo/Millennium Line,11160.2740784911,2024,617,11160.2740784968,7a441489-d6ab-4fa1-a97a-393f09ebfa63
007,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Peak Frequent,178000,225000,14.8,16 km/h,20,3335298,9822,8607,6799,3,66%,8275104,77629,,Dunbar; Granville; Nanaimo; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,42065.663384302,2024,618,42065.6633843783,87a78a38-7cce-4b62-93c5-b099eb17fc03
008,FRASER/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,101000,173000,7.2,14 km/h,26,2943726,8741,7150,6082,1,72%,5458270,50051,,Main Street-Science World; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,19962.3959226333,2024,619,19962.3959226045,79abfe2f-20ba-4280-a98c-6a1cf84a385a
009,BDRY/COMM-BWY/GRAN/ALMA/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,125000,123000,9.4,16 km/h,16,3993678,12112,8792,8010,14,81%,9465116,75918,,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,32976.6972659692,2024,620,32976.6972659758,1f35b3f0-c7da-46c6-a84d-496849b77680
010,GRANVILLE/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,126000,205000,11.5,16 km/h,28,2879359,8791,6489,5429,0,68%,6215234,55427,,Granville; Marine Drive; Marpole; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,31287.911514961,2024,621,31287.9115149938,c8ba9f70-57c4-4922-b0e4-aad84ce23d97
014,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,176000,246000,14,17 km/h,22,3245872,9080,9547,7515,7,71%,9219388,84772,,Blanca; Granville; Kootenay; NightBus District; UBC; Vancouver City Centre,Canada Line; Expo/Millennium Line,42302.3507286461,2024,622,42302.3507286959,9c01711a-ca24-4adb-bdf3-e96b8bfdb717
015/050,CAMBIE/OLYMPIC VILLAGE STN/WATERFRONT STN/FALSE CREEK SOUTH,Vancouver/UBC,Std. Bus,Peak Frequent,163000,252000,7.1,15 km/h,34,2347400,6728,6199,5381,3,74%,6211980,58311,015/050 run as a connected route,Broadway-City Hall; Granville; King Edward; Langara-49th Avenue; Marine Drive; NightBus District; Oakridge-41st Avenue; Olympic Village; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40758.9002925967,2024,623,40758.9002926137,0a3fd9f3-3bcf-40a3-ac63-ce27864e974c
