WKT,name,description
"LINESTRING (-122.9500033 49.1996618, -122.9503573 49.1996267, -122.9467739 49.2015896, -122.9456366 49.2006152, -122.9454328 49.1999843, -122.9441775 49.2001525, -122.9414095 49.201842, -122.9364313 49.2044988, -122.9203702 49.2131481, -122.9295219 49.2205206, -122.9213573 49.2249351, -122.9252304 49.2280041, -122.9178597 49.2319205, -122.9151453 49.2297276, -122.904513 49.2354094, -122.9042662 49.2355285, -122.9069377 49.237616, -122.9072381 49.2395844, -122.9066158 49.2408313, -122.906809 49.2415527, -122.909062 49.2429746, -122.9097809 49.2437731, -122.910725 49.245244, -122.9121841 49.2459584, -122.9124845 49.2462246, -122.9125274 49.2474362, -122.9128278 49.2476883, -122.9138364 49.2480175, -122.9144586 49.2484447, -122.9145337 49.2490961, -122.9141797 49.2499155, -122.9142655 49.2507909, -122.9152096 49.2507769, -122.9191686 49.2498664, -122.9190506 49.2508049, -122.9190184 49.25334, -122.9063798 49.2515052, -122.90285 49.2509449, -122.900479 49.2500835, -122.8976144 49.2485568, -122.895887 49.24897, -122.8957797 49.2484447, -122.8952326 49.2481016, -122.8942348 49.2480665, -122.894267 49.2474572, -122.8944386 49.2474712, -122.8951467 49.2478564)",101 - Lougheed Town Ctr Stn to 22nd St Stn,
"LINESTRING (-122.9247232 49.1998275, -122.9245515 49.2002552, -122.9221804 49.1999011, -122.9215367 49.1996558, -122.92107 49.1992772, -122.9204316 49.1991826, -122.9174276 49.1989863, -122.9157646 49.1989056, -122.9158236 49.1990879, -122.9157324 49.1992422, -122.9154964 49.1992351, -122.915094 49.1993754, -122.9141124 49.1998976, -122.9126371 49.2001956, -122.9104753 49.2006793, -122.9095365 49.2011455, -122.9103573 49.201822, -122.9115643 49.2012857, -122.9125728 49.2021129, -122.9136349 49.2015345, -122.9123314 49.2005391, -122.9109473 49.2008125, -122.909794 49.2013628, -122.9103573 49.201822, -122.9093595 49.2024248, -122.9053362 49.2046435, -122.9076697 49.2064905, -122.9083617 49.2070478, -122.9062052 49.2080852, -122.9053201 49.2073842, -122.9034157 49.2083655, -122.9018547 49.2092347, -122.9027612 49.2099776, -122.9010661 49.2109589, -122.8989471 49.2120978, -122.8985931 49.2125464, -122.8984429 49.2132437, -122.8985609 49.2136783, -122.8989632 49.2136713, -122.8995533 49.2139025, -122.9007496 49.2148767, -122.9009964 49.2149853, -122.9012324 49.2151886, -122.9013558 49.2156581, -122.9015382 49.2158614, -122.9005565 49.216422, -122.9012056 49.21686, -122.901683 49.2166253)",103 - Quayside Dr to Victoria Hill,
"LINESTRING (-122.9498692 49.1996207, -122.9502823 49.1994454, -122.9504809 49.1995679, -122.9524442 49.198499, -122.9521813 49.1983342, -122.9517253 49.1983903, -122.9512372 49.198846, -122.9505988 49.1990493, -122.9498102 49.1988916, -122.9490109 49.1981449, -122.946141 49.19533, -122.9428204 49.1922345, -122.9424985 49.1912529, -122.943094 49.1900714, -122.9459747 49.1888969, -122.9482492 49.1882027, -122.9477664 49.1872561, -122.9467525 49.1862674, -122.9444619 49.1871719, -122.9375525 49.1900679, -122.927049 49.1944712, -122.9274031 49.1947797, -122.9277625 49.1948322, -122.9358359 49.1952424, -122.9365709 49.19499, -122.9371985 49.1946254, -122.9363026 49.1943976, -122.9356106 49.1939278, -122.9332986 49.1914247, -122.9331805 49.1909269, -122.9337706 49.190103, -122.9339584 49.1893352, -122.9336955 49.1882343, -122.9326441 49.1867512, -122.9310348 49.1844371, -122.928712 49.1818318, -122.928889 49.181632, -122.9315337 49.1770768, -122.9342159 49.1737907, -122.935498 49.1714129, -122.9359915 49.1709815, -122.936603 49.1707851, -122.9384591 49.1704694, -122.9411252 49.168849, -122.9432281 49.1674741, -122.9433086 49.1674145, -122.9446336 49.165794, -122.9458191 49.1651626, -122.9515054 49.1620933, -122.9525729 49.1617425, -122.9537531 49.1616758, -122.9617943 49.1623739, -122.9629155 49.162402, -122.9648252 49.161739, -122.9659357 49.1614478, -122.9722711 49.1616197, -122.972094 49.1633912, -122.9714074 49.1639138, -122.9656406 49.1654221, -122.9637577 49.1669164, -122.9629638 49.1673934, -122.9586347 49.1686596, -122.9547616 49.169789, -122.9537585 49.1698732, -122.9522189 49.1702765, -122.9505237 49.171483, -122.9494562 49.1718829, -122.9473533 49.1721845, -122.9450252 49.1725317, -122.9441025 49.1728263, -122.9354443 49.1769891, -122.9371878 49.1787776, -122.9290929 49.1821649)",104 - 22nd St Stn to Annacis Island,
"LINESTRING (-122.9121199 49.2009291, -122.9050818 49.2046865, -122.9072061 49.2062917, -122.9054573 49.2072661, -122.9017236 49.2092567, -122.9028502 49.2100207, -122.9027107 49.2101609, -122.9029145 49.210273, -122.9045024 49.2115136, -122.9065087 49.2105183, -122.9141154 49.2164826, -122.9050067 49.221423, -122.9085579 49.224275, -122.9104354 49.2232519, -122.9139437 49.221381, -122.914094 49.2215001, -122.9149952 49.2221238, -122.9166796 49.2212268, -122.9156711 49.2203929, -122.9240288 49.216006, -122.9205098 49.2131957, -122.9207566 49.2130275, -122.924104 49.2112332, -122.9275479 49.2139456)",105 - New West Stn to Uptown,
"LINESTRING (-122.9122543 49.2016662, -122.912662 49.2020658, -122.9089069 49.2040917, -122.922157 49.2146685, -122.9222858 49.2147595, -122.9249358 49.216855, -122.9299998 49.2209546, -122.9368019 49.2262239, -122.9371774 49.2261398, -122.9514682 49.2184949, -122.9520583 49.2179763, -122.9543864 49.2166097, -122.9591179 49.2141078, -122.9578197 49.2130355, -122.9588496 49.2124888, -122.9588175 49.2120893)",106 - Edmonds Stn to New West Stn,
"LINESTRING (-122.9120645 49.2010284, -122.9088459 49.2027459, -122.9050318 49.2048418, -122.9048762 49.2048488, -122.9007778 49.2069973, -122.8983048 49.2099026, -122.8982458 49.2105404, -122.8978542 49.2109715, -122.8949842 49.2137749, -122.8942117 49.2152817, -122.8939113 49.2165012, -122.8948877 49.2166343, -122.8954348 49.2166729, -122.8961698 49.2171039, -122.896497 49.2177206, -122.896497 49.2191922, -122.8970388 49.2195881, -122.8976396 49.2197038, -122.8980312 49.2196757, -122.8984282 49.2198579, -122.8987876 49.2201838, -122.8988037 49.2205587, -122.8930155 49.2204816, -122.8925541 49.240421, -122.8928331 49.2480626, -122.8943727 49.2480276, -122.8943512 49.2475093, -122.8949252 49.2477614)",109 - New West Stn to Lougheed Town Ctr Stn via Columbia St,
"LINESTRING (-123.003725 49.2259634, -122.9986879 49.2235198, -122.9983124 49.2236039, -122.996746 49.2252085, -122.9941711 49.2252155, -122.994214 49.2297207, -122.9942569 49.2354234, -123.0033764 49.2353884, -123.0033764 49.2430097, -123.0020568 49.2427926, -122.9996106 49.241826, -122.9937634 49.2413076, -122.9908666 49.2401378, -122.9890427 49.2398086, -122.9890212 49.241882, -122.9756745 49.2418119, -122.9751274 49.2424704, -122.9743871 49.2428906, -122.9741832 49.2433389, -122.9737112 49.2432899, -122.9733571 49.243458, -122.9733893 49.2436681, -122.9741832 49.2437031, -122.9742798 49.2443965, -122.9746768 49.24523, -122.9747841 49.2499645, -122.9664585 49.2499435, -122.9667267 49.2546706, -122.9682073 49.2578217, -122.9688939 49.2595512, -122.9685935 49.2602444, -122.9680249 49.2606015, -122.9646238 49.2596002, -122.9645112 49.2582418, -122.9644978 49.2584974, -122.9642483 49.2585219, -122.9641089 49.259019, -122.9638514 49.259005, -122.9639479 49.2584729, -122.9644549 49.2584974, -122.9645112 49.2582418, -122.9550967 49.2503427, -122.948917 49.2498838, -122.9487344 49.250994, -122.948917 49.2498838, -122.9550967 49.2503427, -122.9645112 49.2582418, -122.9646238 49.2596002, -122.9589509 49.2588565, -122.9552213 49.2586227, -122.9514059 49.2579967, -122.9486593 49.2570514, -122.9487344 49.250994, -122.918919 49.2508119, -122.9188868 49.253235, -122.9189083 49.2543064, -122.9184577 49.2549997, -122.9173419 49.2556999, -122.9167303 49.2571354, -122.9168162 49.2577306, -122.9121706 49.2577937, -122.9103788 49.2568413, -122.9098102 49.255777, -122.9096064 49.2550487, -122.9074821 49.2553778, -122.9061302 49.255868, -122.9051324 49.255903, -122.9035339 49.2549227, -122.9025897 49.2540123, -122.9024395 49.2536902, -122.9017421 49.2534871, -122.8935668 49.2534381, -122.8930196 49.2534241, -122.8930089 49.2481716, -122.8932878 49.2481366, -122.8941568 49.2481646, -122.894189 49.2474082, -122.8944465 49.2474012, -122.895219 49.2477864)",110 - Metrotown Stn to Lougheed Town Ctr Stn,
"LINESTRING (-122.9123009 49.2008638, -122.9129875 49.2004431, -122.9149616 49.2001768, -122.9193819 49.2002679, -122.9223431 49.2007236, -122.9222787 49.2011302, -122.9227079 49.2016139, -122.9304863 49.2075371, -122.9388226 49.2141465, -122.9414726 49.2158846, -122.9428566 49.2165784, -122.9432321 49.216249, -122.946888 49.2142376, -122.9477329 49.2140344, -122.9492939 49.2132354, -122.952534 49.2114903, -122.9536069 49.2099063, -122.9537678 49.2097591, -122.9562248 49.2116304, -122.9576946 49.2130812, -122.9581452 49.2129691, -122.9588533 49.2125906, -122.9589821 49.2123594, -122.9588962 49.2120019)",112 - New West Stn to Edmonds Stn,
"LINESTRING (-123.0032453 49.2259305, -122.9977092 49.2231838, -122.9972371 49.2226933, -122.997044 49.2219785, -123.0049404 49.2219084, -123.0050692 49.220521, -123.0049404 49.2147884, -123.0049298 49.2122164, -123.0123862 49.2123635, -123.0124077 49.2092375, -123.0132929 49.2092484, -123.0151328 49.2087189, -123.0151328 49.2053824, -123.0179223 49.2054313, -123.017917 49.206807, -123.015165 49.2068228, -123.0151328 49.2087189, -123.020427 49.2081584, -123.0198741 49.2087476, -123.01997 49.2107951, -123.0209344 49.211778, -123.0208034 49.2148374, -123.0049404 49.2147884, -123.0049298 49.2122164, -123.0123862 49.2123635, -123.0124077 49.2092375, -123.0132929 49.2092484, -123.0151328 49.2087189, -123.0151328 49.2053824, -123.0234798 49.2055366, -123.0232224 49.202985, -123.0227074 49.2023821, -123.0210551 49.2018634, -123.0132016 49.200223, -123.0092749 49.2001389, -123.0042323 49.2001389, -123.0020651 49.1996201, -123.0000052 49.1988349, -122.9974946 49.1968859, -122.9905209 49.191361, -122.9883966 49.1896782, -122.9868301 49.1891032, -122.9847487 49.1888087, -122.9814443 49.1888929, -122.9789766 49.1895099, -122.9690846 49.195063, -122.9685053 49.1966335, -122.9751786 49.197573, -122.9766377 49.1980637, -122.9786548 49.1991995, -122.9819163 49.2020737, -122.9765948 49.2048216, -122.9711017 49.2056067, -122.9629263 49.2057048, -122.9585489 49.2045552, -122.9567894 49.2041487, -122.954987 49.2045132, -122.9521545 49.205831, -122.952927 49.206546, -122.9530772 49.2080179, -122.9533133 49.2094759, -122.9556307 49.2112842, -122.9565748 49.2122233, -122.9577979 49.2133587, -122.9586991 49.212714, -122.9585489 49.2121953)",116 - Metrotown Stn to Edmonds Stn,
"LINESTRING (-123.0037914 49.2260363, -123.0056796 49.2268981, -123.0027078 49.2295115, -122.9906056 49.2255528, -122.9764006 49.2210052, -122.9742227 49.2204516, -122.9681073 49.2190921, -122.9677532 49.2190431, -122.9654036 49.2184965, -122.9644916 49.2184264, -122.953044 49.2183983, -122.951381 49.2183213, -122.952529 49.2175994, -122.9589019 49.2141164, -122.9577003 49.212974, -122.958741 49.2124483, -122.95858 49.2120909)",119 - Metrotown Stn to Edmonds Stn,
