WKT,name,description
"LINESTRING (-122.8896927 49.261245, -122.8901433 49.2609702, -122.8905725 49.2610962, -122.8879761 49.263237, -122.8862354 49.263286, -122.8797149 49.2636255, -122.8483438 49.2634418, -122.8401014 49.2633577, -122.8326207 49.2632755, -122.8180697 49.2631792, -122.8159776 49.2632055, -122.8142288 49.2640386, -122.8135797 49.2641787, -122.8131425 49.2641436, -122.8119274 49.2638601, -122.8113293 49.2637078, -122.8106775 49.2629902, -122.8095805 49.2621447, -122.807601 49.2614953, -122.8070244 49.261364, -122.8063994 49.2614095, -122.8053936 49.2619767, -122.8048209 49.2625234, -122.8038379 49.2635975, -122.8033927 49.2643537, -122.8027623 49.2653601, -122.8026792 49.2661302, -122.8027194 49.2674797, -122.8032076 49.268052, -122.8031942 49.27084, -122.8019711 49.2708321, -122.801617 49.2709572, -122.8017753 49.2710815, -122.802022 49.2712513, -122.8021535 49.2713318, -122.8037467 49.272562, -122.8041812 49.2728613, -122.8024834 49.2738396, -122.8019604 49.2743436, -122.8016197 49.2749438, -122.80144 49.275712, -122.7997985 49.2756945, -122.7995195 49.275649, -122.7990394 49.2754163, -122.7990046 49.2753533)",151 - Burquitlam Stn to Coquitlam Ctrl Stn via Como Lake Ave,
"LINESTRING (-122.8949457 49.2476486, -122.8943663 49.2474035, -122.8942859 49.2480408, -122.8927356 49.2480513, -122.8927463 49.2491509, -122.8854453 49.2490528, -122.8854024 49.2454914, -122.8728389 49.2453759, -122.8727746 49.2458416, -122.869234 49.2489793, -122.8664231 49.2489968, -122.8540688 49.2489968, -122.8467142 49.2490178, -122.8466123 49.251455, -122.8523844 49.251448, -122.8524005 49.2490108, -122.8465318 49.2490178, -122.8424549 49.2490003, -122.8244036 49.2490844, -122.8244251 49.2449696, -122.8239691 49.2441887, -122.8228533 49.2436529, -122.8219521 49.2435653, -122.8172689 49.2435968, -122.8156703 49.243933, -122.8158742 49.2586467, -122.8167218 49.2606282, -122.8176713 49.2619796, -122.8175908 49.2633834, -122.8170114 49.263884, -122.8148496 49.2652457, -122.8144097 49.2656483, -122.8138947 49.266933, -122.8137713 49.2678221, -122.8138142 49.2685922, -122.8145384 49.2696143, -122.8146404 49.2707694, -122.814576 49.2714939, -122.8139698 49.2721554, -122.8130579 49.2724494, -122.8086054 49.2730445, -122.8081655 49.27302, -122.8064918 49.2727119, -122.8047484 49.2727049, -122.8039169 49.2729115, -122.8023666 49.273825, -122.8018838 49.274301, -122.80146 49.2751199, -122.8013688 49.2756659, -122.799856 49.2756554, -122.7995127 49.2755784, -122.7991211 49.2753929, -122.7991962 49.2751899, -122.7991211 49.2753929, -122.7995127 49.2755784, -122.799856 49.2756554, -122.8013688 49.2756659, -122.80146 49.2751199, -122.8018838 49.274301, -122.8023666 49.273825, -122.8039169 49.2729115, -122.8041261 49.272858, -122.7995717 49.2693553, -122.7993142 49.2689737, -122.7988958 49.2685922, -122.798692 49.2684662, -122.7987027 49.2656098, -122.7982252 49.2631138, -122.7989012 49.2629808, -122.8025972 49.2591298, -122.8033053 49.2582441, -122.806009 49.2540531, -122.8067386 49.2536819, -122.807452 49.2536014, -122.8081172 49.2537309, -122.8087931 49.2541406, -122.8092008 49.255065, -122.8099358 49.2568576, -122.8102362 49.2571132, -122.8108263 49.2572777, -122.8114432 49.2572182, -122.812162 49.2566755, -122.8126931 49.2561539, -122.8135031 49.2558528, -122.8158339 49.255781)",152 - Lougheed Town Ctr Stn to Coquitlam Ctrl Stn,
"LINESTRING (-122.8832828 49.2329329, -122.8833794 49.2325826, -122.8859007 49.2325335, -122.8862655 49.2324214, -122.8863191 49.2316438, -122.8836369 49.2315527, -122.882843 49.2313706, -122.8817164 49.2332411, -122.88015 49.2340258, -122.8709125 49.236975, -122.8645718 49.238285, -122.8600335 49.2392307, -122.8586924 49.2393988, -122.854551 49.2405826, -122.8518044 49.2406526, -122.8494548 49.2399522, -122.8490257 49.2400572, -122.8480172 49.2399031, -122.8467297 49.2398891, -122.8449487 49.2403374, -122.8441119 49.2406877, -122.8440582 49.2490715, -122.846601 49.2491206, -122.8465366 49.2539387, -122.8464078 49.2561025, -122.8408718 49.2560675, -122.840861 49.2635036, -122.8277397 49.2633146, -122.8178262 49.2632656, -122.8177296 49.2633881, -122.8158736 49.2647778, -122.8148651 49.265401, -122.8144895 49.265737, -122.8140604 49.2669622, -122.8138887 49.2680893, -122.8139638 49.2685304, -122.8146612 49.2694755, -122.8147149 49.2700355, -122.8146934 49.2715196, -122.8139853 49.2722126, -122.8121721 49.2726676, -122.8084278 49.2731646, -122.8064751 49.2728006, -122.8045868 49.2728216, -122.8024196 49.2740396, -122.8018403 49.2748726, -122.8015506 49.2758386, -122.7994906 49.2757336, -122.7988898 49.2754466)",153 - Braid Stn to Coquitlam Ctrl Stn,
"LINESTRING (-122.9492844 49.1997554, -122.9502982 49.199475, -122.9499442 49.199128, -122.9468221 49.199773, -122.9445798 49.2001655, -122.9439468 49.2004179, -122.9421604 49.201529, -122.9321826 49.2067584, -122.9276711 49.2092187, -122.9193885 49.2136693, -122.9064173 49.2206598, -122.9049045 49.2214831, -122.9023618 49.2206352, -122.8987623 49.2205406, -122.8987408 49.2206107, -122.8986121 49.2265352, -122.8928185 49.2264616, -122.8927649 49.2316498, -122.8862042 49.2315798, -122.8861774 49.2323714, -122.8858555 49.2324905, -122.8833342 49.2325185, -122.8832162 49.2329074)",155 - 22nd St Stn to Braid Stn via Hospital St and 6th St,
"LINESTRING (-122.883362 49.2328988, -122.8834532 49.2326256, -122.8860603 49.2325801, -122.8863339 49.2324295, -122.8863983 49.2315502, -122.8836088 49.2314731, -122.8828417 49.2312665, -122.8823213 49.231918, -122.8816776 49.233116, -122.8805296 49.233757, -122.8756319 49.2353823, -122.8707986 49.2369165, -122.8599356 49.2391546, -122.8588091 49.2393227, -122.8571193 49.2397815, -122.8544907 49.240517, -122.8517871 49.2405731, -122.8490029 49.2397325, -122.8483699 49.2394698, -122.8468035 49.2386187, -122.8460311 49.238342, -122.8435956 49.2377676, -122.8429894 49.2374384, -122.8427266 49.2370146, -122.8427534 49.2366468, -122.8429626 49.2358377, -122.8430431 49.2350461, -122.8425978 49.234349, -122.842115 49.233645, -122.8407364 49.2315747, -122.840554 49.2315502, -122.8403287 49.2315537, -122.8390788 49.2310878, -122.8384243 49.2309267, -122.8369759 49.2308181, -122.8368633 49.231256, -122.8352218 49.2330495, -122.8341381 49.2339602, -122.834106 49.234307, -122.8342722 49.2491006, -122.8356241 49.2491076, -122.8354149 49.25603, -122.836654 49.25603, -122.8465299 49.256135, -122.8466158 49.2539047, -122.8523235 49.2539012, -122.8520553 49.2634976, -122.8797786 49.2636831, -122.8880398 49.2632806, -122.8930341 49.2591005, -122.8931897 49.2585193, -122.893018 49.248106, -122.8943108 49.2480955, -122.8943966 49.2475037, -122.8949599 49.2477314)",156 - Braid Stn to Lougheed Town Ctr Stn,
"LINESTRING (-122.890673 49.2611645, -122.8931299 49.259162, -122.8932801 49.2585878, -122.8932801 49.2567882, -122.8831842 49.2567392, -122.8824869 49.2566272, -122.8799012 49.2565851, -122.8798261 49.2582727, -122.8688934 49.2581186, -122.8689256 49.25627, -122.862263 49.256207, -122.8463307 49.256116, -122.8464594 49.2539802, -122.8522637 49.2539592, -122.8523817 49.2450718, -122.8622845 49.2449317, -122.8622523 49.2397625, -122.8666296 49.2397204, -122.866694 49.2379622, -122.8710285 49.2370305, -122.8720477 49.2367293, -122.8775087 49.2378361, -122.8803196 49.239034, -122.8873899 49.2430266, -122.8927222 49.2459333, -122.8929153 49.2481535, -122.8943959 49.2481605, -122.8944495 49.2476983, -122.8949108 49.2478594)",157 - Burquitlam Stn to Lougheed Town Ctr Stn,
"LINESTRING (-122.798847 49.2755426, -122.7984071 49.2760606, -122.7978063 49.2758506, -122.7973342 49.2763126, -122.78579 49.2715456, -122.7764988 49.2674643, -122.7803719 49.2635996, -122.7826142 49.2612961, -122.7826894 49.260925, -122.782625 49.254651, -122.7876783 49.254651, -122.7881074 49.2557714, -122.7881181 49.260883, -122.782507 49.260911, -122.7784836 49.260904, -122.7784944 49.2540908, -122.7768636 49.2540418, -122.7734947 49.2534185, -122.7734196 49.2531034, -122.7726472 49.2520109, -122.772336 49.2511495, -122.7719605 49.2495038, -122.7719069 49.248103, -122.7731407 49.2466673, -122.7735269 49.2457708, -122.7735913 49.2445031, -122.7733445 49.242801, -122.7734089 49.2421146, -122.7737415 49.2413231, -122.7739668 49.2402864, -122.7731729 49.2396419, -122.7754688 49.2379327, -122.7771855 49.2360343, -122.7779257 49.2350536, -122.7789986 49.2336034, -122.779814 49.2329939, -122.7809727 49.2326576, -122.7852106 49.2320201, -122.7858222 49.2316558, -122.7866268 49.2308221, -122.7878392 49.2290705, -122.7887082 49.2285381, -122.7900064 49.2283279, -122.7916157 49.228503, -122.7924526 49.2288323, -122.7934289 49.2294629, -122.793783 49.2303947, -122.7937722 49.2309902, -122.7933431 49.2320481, -122.7934826 49.2323074, -122.793783 49.2323494, -122.794534 49.230773, -122.7956391 49.2272419, -122.8007245 49.2278935, -122.8027415 49.2278024, -122.8067756 49.2267514, -122.8109491 49.2253921, -122.8126335 49.225315, -122.814672 49.2257284, -122.8184378 49.2276062, -122.8195107 49.2281037, -122.8188992 49.2303737, -122.8190494 49.2333512, -122.8222788 49.2332952, -122.8229439 49.2331691, -122.824446 49.2324124, -122.8246176 49.231845, -122.8245211 49.2300374, -122.8243923 49.2297852, -122.8210557 49.2297642, -122.820766 49.2301565, -122.820766 49.2306399, -122.8190923 49.2305839, -122.8188992 49.2303737, -122.8195107 49.2281037, -122.8203368 49.2266883, -122.8215599 49.2261418, -122.8226972 49.2260647, -122.8253365 49.2265272, -122.8285766 49.2274801, -122.830658 49.2275011, -122.831806 49.2276903, -122.8329432 49.228426, -122.8345955 49.2287763, -122.8359044 49.2288463, -122.8370631 49.2285521, -122.8384471 49.2280476, -122.8418482 49.2282858, -122.8504098 49.2292107, -122.8547228 49.2296801, -122.856611 49.2300444, -122.8583384 49.2304508, -122.861557 49.2306399, -122.8617823 49.2344581, -122.8716743 49.2366088, -122.8756869 49.2352918, -122.8803218 49.2337155, -122.8815878 49.2330219, -122.8826714 49.2312144, -122.8841305 49.2308641, -122.886523 49.2314737, -122.8864372 49.2325315, -122.8861261 49.2326787, -122.8834975 49.2326857, -122.8834546 49.2329449)",159 - Braid Stn to Coquitlam Ctrl Stn,
"LINESTRING (-123.0261079 49.2814527, -123.0259255 49.2814457, -123.0259095 49.2811868, -122.9942272 49.2810433, -122.9933421 49.2808543, -122.9925535 49.2803959, -122.9918883 49.2802454, -122.9912607 49.2801894, -122.9901288 49.2803749, -122.9891793 49.2804099, -122.9872749 49.2804344, -122.9687677 49.2804309, -122.9633228 49.2804204, -122.9615203 49.2802664, -122.9602382 49.2802629, -122.9586826 49.2806653, -122.9571859 49.2818201, -122.9547558 49.2852984, -122.9532216 49.2869535, -122.9516552 49.2879088, -122.9497025 49.288626, -122.9483722 49.288913, -122.9470686 49.2888815, -122.9453627 49.2887135, -122.9441772 49.288752, -122.9424659 49.2891264, -122.9404167 49.2901481, -122.9395799 49.2903475, -122.9358784 49.2906554, -122.9344139 49.2906659, -122.9303316 49.2899416, -122.927526 49.2894693, -122.9260991 49.2892838, -122.9245917 49.288787, -122.9233418 49.2883706, -122.9224459 49.2881467, -122.9213516 49.2881257, -122.9201178 49.2882027, -122.9188357 49.2881397, -122.9162929 49.2878213, -122.9143296 49.2879577, -122.9123447 49.2880592, -122.9104618 49.2879542, -122.9066853 49.287237, -122.9044268 49.2867821, -122.9029409 49.2866981, -122.9013369 49.2868066, -122.8992448 49.2872789, -122.8977642 49.2879752, -122.8954736 49.2892524, -122.8939126 49.2899591, -122.8923998 49.290281, -122.8911928 49.2904035, -122.8892724 49.2902985, -122.8874109 49.2900536, -122.8860591 49.2899591, -122.8830228 49.2901201, -122.8818534 49.290358, -122.8793804 49.2910228, -122.8781144 49.2912292, -122.8765801 49.2912992, -122.8748689 49.2911417, -122.8736029 49.2908128, -122.8710441 49.2897037, -122.8696869 49.2889969, -122.868496 49.2879892, -122.8672675 49.2861382, -122.8669188 49.2832794, -122.8667579 49.2784256, -122.8667954 49.2770607, -122.8668276 49.2766547, -122.847843 49.2766582, -122.8478591 49.2777397, -122.846475 49.2777572, -122.8461263 49.2776872, -122.8454665 49.2776802, -122.8453646 49.2767527, -122.8478483 49.2767632, -122.8444473 49.2767527, -122.8388522 49.2766967, -122.8333698 49.2767632, -122.8311543 49.2765427, -122.8296683 49.2764972, -122.8289709 49.2766057, -122.8272865 49.2774877, -122.8272597 49.2778412, -122.8272865 49.2786776, -122.8271631 49.2800354, -122.8279785 49.2822926, -122.8285311 49.2841437, -122.8269754 49.2843957, -122.8256986 49.2843992, -122.8240679 49.2838743, -122.8233168 49.2835313, -122.821627 49.2845811, -122.8205273 49.2848191, -122.8193257 49.2847911, -122.8181294 49.2845041, -122.8163002 49.2837238, -122.8149323 49.2834194, -122.8132317 49.2834019, -122.8115098 49.2838078, -122.8095142 49.2844796, -122.805448 49.285043, -122.8000299 49.28526, -122.7976696 49.2852425, -122.792391 49.2848576, -122.7927236 49.2842627, -122.7930937 49.2834753, -122.793142 49.2828525, -122.7932278 49.2816732, -122.7933297 49.2806863, -122.7941559 49.279731, -122.7983347 49.2751323, -122.7986995 49.2742293, -122.7995739 49.2743343, -122.8000353 49.2748628, -122.7996115 49.2755628, -122.7990107 49.2753213, -122.7993754 49.2746213, -122.7989838 49.2744988, -122.7980933 49.2760318, -122.7983938 49.2761333, -122.7989302 49.2755488, -122.7994827 49.2757798, -122.8014783 49.2758953, -122.8016446 49.2772217, -122.7983187 49.2766197, -122.7954219 49.2754123, -122.7904866 49.2733438, -122.7793447 49.2686361, -122.7764855 49.2673269, -122.7776549 49.2661508, -122.7825043 49.2612813, -122.7825902 49.2609697, -122.7774403 49.2609382, -122.7753536 49.2609347, -122.7748869 49.2608262, -122.774109 49.2605006, -122.7738462 49.2608297, -122.7740393 49.2612183, -122.7742485 49.2613303, -122.7747742 49.2611903, -122.7748225 49.2608682)",160 - Kootenay Loop Port Coquitlam Stn,
"LINESTRING (-122.8831841 49.2328565, -122.8832967 49.2324852, -122.8857644 49.2324536, -122.8861023 49.2323416, -122.8860969 49.231683, -122.8834523 49.2315884, -122.8828837 49.2314378, -122.8818752 49.2332383, -122.8806628 49.2338618, -122.878576 49.2346184, -122.8719134 49.23672, -122.8629173 49.2347655, -122.8522153 49.2325412, -122.8453649 49.2311576, -122.8424467 49.2304394, -122.8370125 49.2298404, -122.8345181 49.2298684, -122.8326137 49.2308353, -122.8299851 49.2324501, -122.8260047 49.2341771, -122.82277 49.2357498, -122.8137792 49.2401455, -122.814203 49.2405692, -122.8132106 49.2414518, -122.8123738 49.2420192, -122.8110648 49.2428597, -122.8102816 49.2430979, -122.8100027 49.2434411, -122.8094984 49.2438473, -122.8086079 49.2443516, -122.8084899 49.2446528, -122.807417 49.2454443, -122.8064836 49.2455949, -122.8055985 49.2460466, -122.8050245 49.246768, -122.804649 49.2477205, -122.8047295 49.2481477, -122.802573 49.2503959, -122.8026212 49.2508511, -122.8031148 49.2511977, -122.8032113 49.2514743, -122.8027929 49.2521642, -122.8026373 49.2527734, -122.8027393 49.2535822, -122.8028251 49.2538519, -122.8020258 49.2545486, -122.8012962 49.2553259, -122.8008027 49.255648, -122.8004862 49.2563798, -122.8005613 49.2567579, -122.8002716 49.2571221, -122.800277 49.2580569, -122.8001751 49.2593698, -122.7998586 49.2596463, -122.7988876 49.2597934, -122.7982868 49.2599754, -122.7978469 49.2604376, -122.79804 49.2624366, -122.7982761 49.2640994, -122.7986569 49.2657097, -122.7986247 49.2667563, -122.7985711 49.268223, -122.7986247 49.2685731, -122.7992685 49.2690666, -122.7995689 49.2694936, -122.8019668 49.2712963, -122.8039087 49.2728363, -122.8033293 49.2731653, -122.8022189 49.2739178, -122.8016717 49.2743168, -122.8014893 49.2748663, -122.8013123 49.2755943, -122.7998156 49.2756013, -122.7992148 49.2753003, -122.7993221 49.2750588)",169 - Brad Stn to Coquitlam Ctrl Stn,
"LINESTRING (-122.7747566 49.2609544, -122.7746869 49.261175, -122.774247 49.261273, -122.7739358 49.2608494, -122.7741397 49.2605693, -122.7753789 49.2610209, -122.7789248 49.2609824, -122.782653 49.2609999, -122.7825887 49.2601422, -122.7825404 49.2545964, -122.78776 49.2545929, -122.7882267 49.2558078, -122.7881945 49.2609474, -122.7826584 49.2609964, -122.782594 49.2601317, -122.7825404 49.2545894, -122.7825404 49.2545964, -122.7823741 49.2546209, -122.780754 49.2545824, -122.7786512 49.2540992, -122.7784956 49.2540554, -122.7783132 49.2540186, -122.7773208 49.2539976, -122.7767897 49.2539696, -122.7740485 49.2534584, -122.7735818 49.2533394, -122.7735228 49.2530347, -122.774542 49.2524815, -122.7748639 49.2521559, -122.7747995 49.2500339, -122.7748746 49.2489694, -122.7752716 49.2480379, -122.7763176 49.2459088, -122.7763874 49.245457, -122.7760763 49.2432822, -122.7761943 49.2427744, -122.7768541 49.2416292, -122.7776641 49.2411213, -122.7787316 49.2406695, -122.7797455 49.2404349, -122.7816874 49.2403788, -122.783742 49.2403963, -122.7837688 49.2409322, -122.783565 49.2416362, -122.7826477 49.2424557, -122.7813438 49.2436927, -122.781035 49.2453899, -122.7802798 49.2474012, -122.7793443 49.2498075, -122.7781469 49.2518231, -122.7775482 49.2525648, -122.7779891 49.2528026, -122.7789713 49.2528374, -122.7784956 49.2540554)",170 - Port Coquitlam Stn to Port Coquitlam South,
