WKT,name,description
"LINESTRING (-123.1213569 49.2869062, -123.1231915 49.2857515, -123.1211637 49.2844288, -123.1278049 49.2800335, -123.1324398 49.2769748, -123.1334858 49.2766109, -123.1378095 49.2752319, -123.1444131 49.273076, -123.1450193 49.2726244, -123.1451856 49.2724249, -123.1560217 49.2725789, -123.1580602 49.2726419, -123.1646853 49.2727329, -123.1650661 49.2726804, -123.16814 49.2714554, -123.168258 49.2711929, -123.1682258 49.2708149, -123.1684511 49.2648327, -123.1682204 49.2641255, -123.1681936 49.263702, -123.1682472 49.2623682, -123.1683921 49.2571937, -123.1680917 49.256651, -123.1677805 49.2561749, -123.1677376 49.2558072, -123.1678878 49.2484575, -123.1682151 49.2483525, -123.1715034 49.2499738, -123.172115 49.2499388, -123.1708919 49.248363, -123.1703018 49.2479463, -123.1702053 49.2477082, -123.1703072 49.2370509, -123.1703179 49.2347637, -123.1832837 49.2347952, -123.1835224 49.2347829, -123.1838416 49.2347899, -123.1847106 49.2347987, -123.1858962 49.2348057, -123.1858425 49.2345325, -123.1857192 49.2343538, -123.1854724 49.2343398)",2 - Downtown to Dunbar Loop via Macdonald,
"LINESTRING (-123.1114222 49.2850378, -123.1119158 49.2853492, -123.1128599 49.2847089, -123.1095071 49.2825008, -123.108386 49.2822139, -123.1043144 49.2814755, -123.0996366 49.2813775, -123.1001194 49.2719246, -123.1005969 49.270955, -123.1006934 49.2695899, -123.1010796 49.2612445, -123.1010796 49.261108, -123.1012835 49.2552227, -123.1008704 49.2545399, -123.1022849 49.2111063, -123.1049327 49.2119925, -123.1076664 49.2124581, -123.1114729 49.2117601, -123.1147924 49.2110256, -123.1151968 49.2094247, -123.1161805 49.2092536)",3 - Waterfront to Marine Drive Stn via Main St,
"LINESTRING (-123.2487198 49.2657689, -123.2419928 49.266854, -123.2406946 49.266882, -123.2396378 49.2668505, -123.2383772 49.266658, -123.2365855 49.2661119, -123.2355233 49.2655658, -123.2334473 49.2642181, -123.2325675 49.263833, -123.2317897 49.263616, -123.2309099 49.2635039, -123.2298639 49.2634934, -123.2219192 49.2636685, -123.2162275 49.2638085, -123.2152297 49.263875, -123.21516 49.2651387, -123.2150259 49.2691363, -123.2061209 49.2689543, -123.2047476 49.2686287, -123.2031705 49.2682647, -123.2021405 49.2682087, -123.2008584 49.2683942, -123.2000431 49.2686007, -123.1993189 49.2687512, -123.1902423 49.2685902, -123.1889333 49.2686637, -123.1751736 49.2684747, -123.1623687 49.2682857, -123.1459429 49.2680442, -123.1454118 49.2680197, -123.1378451 49.2678755, -123.1366689 49.2675093, -123.136072 49.266695, -123.1384724 49.2667817, -123.1379668 49.2691563, -123.1334278 49.2723911, -123.1229936 49.2793141, -123.1220091 49.2786214, -123.1119158 49.2853492, -123.1089546 49.2833957, -123.103912 49.2824225, -123.0871482 49.2820444, -123.0852465 49.2825901, -123.0845907 49.2826811, -123.0822834 49.2825306, -123.0782383 49.2829977, -123.0728576 49.2834517, -123.0657416 49.2847845, -123.0591312 49.2848105, -123.0565717 49.284806, -123.0564584 49.2887065, -123.0503808 49.2887336, -123.0440482 49.2887155, -123.0440899 49.2877128, -123.0466964 49.2877433, -123.0467387 49.2887114)",4 - UBC to Powell,
"LINESTRING (-123.1110538 49.2808462, -123.1100131 49.2815478, -123.1103833 49.2817245, -123.1113301 49.2823859, -123.1134276 49.2837297, -123.116319 49.2856402, -123.1178157 49.2866182, -123.1194438 49.2855913, -123.1229092 49.2833045, -123.1236361 49.2838207, -123.12708 49.2860339, -123.1301619 49.2880826, -123.1341208 49.290607, -123.1354539 49.2914835, -123.1376828 49.2899982, -123.1418295 49.2872393)",5 - Downtown to Robson,
"LINESTRING (-123.1418295 49.2872393, -123.1215244 49.274145, -123.1194001 49.274481, -123.1181127 49.276175, -123.1110538 49.2808462)",6 - Downtown to Davie,
"LINESTRING (-123.1855513 49.2343719, -123.1856908 49.2344069, -123.1858249 49.2347432, -123.1853314 49.2347292, -123.1851275 49.257912, -123.1840278 49.257891, -123.1840225 49.2599006, -123.1859376 49.2612169, -123.1858142 49.2657854, -123.1857498 49.2686418, -123.1817211 49.2686348, -123.1710674 49.2684527, -123.1544538 49.2682147, -123.145581 49.2680642, -123.1376471 49.2679172, -123.1367351 49.2676406, -123.1360646 49.2669335, -123.1360056 49.266622, -123.138559 49.266762, -123.1381674 49.2688868, -123.1379958 49.2693103, -123.1362845 49.2704339, -123.1324007 49.2731535, -123.1295575 49.275033, -123.123029 49.2793307, -123.1220688 49.2787357, -123.1219025 49.2787777, -123.1188233 49.280811, -123.1147356 49.283523, -123.111914 49.2854196, -123.1089152 49.283453, -123.1039424 49.2824767, -123.0894156 49.2821303, -123.0872376 49.2820988, -123.0852421 49.2826377, -123.0847164 49.2827252, -123.0842067 49.2826972, -123.0822702 49.2825852, -123.0778982 49.2830646, -123.0740197 49.2833865, -123.0727859 49.283488, -123.0683281 49.2842404, -123.0655922 49.2848632, -123.0564834 49.2848352, -123.0566175 49.2795686, -123.0566229 49.2593614, -123.0565907 49.2487767, -123.0561455 49.2487627, -123.0556573 49.2485841)",7 - Dunbar to Nanaimo Stn,
"LINESTRING (-123.1113494 49.2849464, -123.108989 49.2833228, -123.1039143 49.282357, -123.0995852 49.282266, -123.0997515 49.2807087, -123.1000304 49.2746192, -123.1002075 49.2718787, -123.1007278 49.2709337, -123.1010765 49.2629526, -123.0967742 49.2628021, -123.0951596 49.262543, -123.0890978 49.2625185, -123.0892962 49.2573791, -123.089881 49.2565598, -123.0902028 49.2466609, -123.0903316 49.2411451, -123.0904657 49.2377337, -123.0905354 49.2345358, -123.0907017 49.2280902, -123.0911148 49.2110967, -123.0927241 49.2111352, -123.0933196 49.2111597, -123.0932927 49.2118256, -123.0913776 49.2118151)",8 - Waterfront to SE Marine Drive via Fraser,
"LINESTRING (-123.0249456 49.2654642, -123.025081 49.2656497, -123.0254753 49.2656479, -123.0255035 49.2650957, -123.0269344 49.2644656, -123.0282823 49.2635913, -123.0303663 49.2622934, -123.0319716 49.2618908, -123.0364201 49.2619031, -123.0430022 49.2619039, -123.0479066 49.261995, -123.0562309 49.2620545, -123.0572944 49.262247, -123.0671126 49.2623039, -123.0761449 49.2623494, -123.0803976 49.2623844, -123.0900052 49.2624264, -123.0940393 49.2624702, -123.095202 49.2624781, -123.0967416 49.2627205, -123.0981887 49.2627704, -123.1008762 49.2628693, -123.1042424 49.2629612, -123.1077709 49.2630303, -123.1111598 49.2631012, -123.1162507 49.2631922, -123.121312 49.2632938, -123.1256545 49.2633393, -123.1316331 49.2634592, -123.1364236 49.2635511, -123.1441228 49.263664, -123.1512428 49.2637699, -123.1600887 49.2639186, -123.1652224 49.2639992, -123.168433 49.2640543, -123.1744318 49.2641549, -123.1778838 49.2642092, -123.1837659 49.2643072, -123.1857883 49.2643195)",9 - Boundary to Alma via Broadway,
"LINESTRING (-123.1162425 49.2091398, -123.1171974 49.2090767, -123.1171223 49.2102332, -123.1260272 49.2063922, -123.1340094 49.2032588, -123.1350072 49.2032027, -123.1402214 49.2050183, -123.1406613 49.2056211, -123.1404897 49.2094272, -123.1402429 49.2165339, -123.1396528 49.2310876, -123.1391486 49.2469957, -123.1385585 49.2647051, -123.1384512 49.2685417, -123.1378826 49.2695638, -123.1351467 49.2714119, -123.1294926 49.2752129, -123.1242784 49.2786147, -123.1229266 49.2795246, -123.1219931 49.2787967, -123.1164463 49.2825061, -123.1118437 49.2855575, -123.1098696 49.2841508)",10 - Waterfront to Marine Dr Stn Via Granville,
"LINESTRING (-123.0261794 49.2814646, -123.0265656 49.2814646, -123.0266139 49.2811391, -123.0338237 49.2811741, -123.0408457 49.2811391, -123.0617562 49.2811916, -123.0713961 49.2812406, -123.0780372 49.2813386, -123.0796519 49.2810096, -123.0823717 49.2810831, -123.0961797 49.2813491, -123.1042317 49.2814961, -123.1061897 49.2818705, -123.1093547 49.2825039, -123.1109372 49.2835047, -123.1127933 49.2847084, -123.1142148 49.2837427, -123.1177768 49.2813561, -123.1220469 49.2785389, -123.1230125 49.2792179, -123.1266281 49.2768381, -123.1378076 49.2692255, -123.138226 49.2675523, -123.1383011 49.2668382, -123.1362411 49.2667297, -123.1368044 49.2674998, -123.1379363 49.2678288, -123.1488207 49.2680354, -123.1529782 49.2681054, -123.1541959 49.2680949, -123.1684384 49.2683084, -123.1684867 49.2647099, -123.1683043 49.2641358, -123.1860069 49.2644193, -123.1859264 49.2635722, -123.1863126 49.2635512, -123.1995627 49.2637332, -123.2105115 49.2639047, -123.2154361 49.2639817, -123.2172707 49.2639292, -123.2226619 49.2638137, -123.2300541 49.2636107, -123.2315561 49.2637542, -123.2332781 49.2643458, -123.2357565 49.2659106, -123.2366416 49.2663271, -123.2390824 49.2669782, -123.2401714 49.2670658, -123.242242 49.2669817, -123.2435885 49.2667507, -123.2464156 49.2662816, -123.2487545 49.2659211, -123.249366 49.2658441, -123.2494089 49.2657636, -123.249307 49.2657111, -123.2486954 49.2658021)",14 - Kootenay Loop to UBC via Hastings,
