WKT,name,description
"LINESTRING (-123.0283835 49.3516519, -123.0284478 49.3488073, -123.02848 49.3478568, -123.0246713 49.3477799, -123.0246498 49.3506665, -123.0284049 49.3507224, -123.0283727 49.3518546, -123.0280616 49.3523228, -123.0274286 49.3527631, -123.0272784 49.3531964, -123.0283727 49.3546571, -123.028877 49.3549506, -123.0300142 49.3549645, -123.031012 49.354664, -123.033029 49.3538883, -123.0366232 49.3520223, -123.0376317 49.3517707, -123.0378248 49.3493245, -123.0380716 49.3386718, -123.0381789 49.3374344, -123.0381467 49.3366025, -123.0378248 49.3361341, -123.0377819 49.335351, -123.0381467 49.3286879, -123.0383076 49.3248771, -123.0385329 49.3203735, -123.0380931 49.3199819, -123.0372026 49.3197022, -123.0365803 49.3192476, -123.0363228 49.3185482, -123.036237 49.3178978, -123.0361619 49.3171495, -123.0370631 49.3160794, -123.0400457 49.3142749, -123.0404963 49.3135825, -123.04055 49.3133867, -123.0328574 49.3132887, -123.0325784 49.312946, -123.0328037 49.3111974, -123.0325892 49.3104, -123.0320849 49.3088541, -123.0319347 49.3082455, -123.0320634 49.3069235, -123.0320742 49.3053285, -123.0313875 49.3049577, -123.0293812 49.3047409, -123.0295636 49.3055664, -123.0292525 49.3055594, -123.0291345 49.3059791, -123.0278363 49.3058672, -123.0274286 49.304559, -123.0267956 49.3038384, -123.0265596 49.3030269, -123.0263664 49.2914965, -123.0267419 49.2907477, -123.0307974 49.2876617, -123.0318811 49.2873748, -123.0362584 49.2879206, -123.0385544 49.2885295, -123.0398311 49.2887744, -123.041301 49.2887534, -123.0562033 49.2887324, -123.0565896 49.2884875, -123.0565681 49.2848484, -123.0655481 49.2849184, -123.0698933 49.2840576, -123.0740347 49.2833367, -123.0785408 49.2830568, -123.0822851 49.2826579, -123.0846026 49.2827769, -123.0858042 49.2824689, -123.0869307 49.282091, -123.0995852 49.282266, -123.1042255 49.282504, -123.1086458 49.2832983, -123.1099763 49.2840086, -123.1086458 49.2832983, -123.1042255 49.282504, -123.0997194 49.2822869, -123.0998083 49.2804396, -123.1043086 49.2806057, -123.1099034 49.2816534, -123.1119611 49.2828468, -123.1099763 49.2840086, -123.1111779 49.2833647, -123.1119611 49.2828468, -123.117819 49.286731, -123.1203832 49.2875567, -123.1219818 49.2865, -123.1215634 49.2862201, -123.120512 49.2860241, -123.1198897 49.2858772, -123.1181302 49.2847784, -123.1174757 49.2843095, -123.1172933 49.2841766, -123.1156625 49.2852893)",209 - Burrard Stn to Upper Lynn Valley via Mountain Hwy,
"LINESTRING (-123.0285443 49.3507439, -123.0286301 49.3477944, -123.0244566 49.3476686, -123.024478 49.3508068, -123.0285443 49.3507439, -123.0285228 49.3520229, -123.0275465 49.3527986, -123.0274714 49.353169, -123.0284584 49.3546087, -123.0288876 49.3548673, -123.0299819 49.3548673, -123.0365801 49.351939, -123.0374814 49.3517084, -123.0379105 49.3402033, -123.0380285 49.336631, -123.0377067 49.3361206, -123.0380393 49.3280732, -123.0383719 49.320465, -123.0380285 49.3200734, -123.037138 49.3197447, -123.0364943 49.319367, -123.0363012 49.3189334, -123.036033 49.3173109, -123.036151 49.3169542, -123.0369986 49.3159961, -123.0399597 49.3142545, -123.0403889 49.3134782, -123.0327607 49.3133872, -123.0323852 49.3129816, -123.0326534 49.3110231, -123.0317736 49.3082671, -123.031956 49.305378, -123.0313552 49.3050562, -123.0296171 49.3048534, -123.0296493 49.3055879, -123.0293918 49.3056299, -123.0292524 49.3060916, -123.0277718 49.3059727, -123.0272997 49.3046295, -123.0266882 49.303895, -123.0263985 49.3029505, -123.0262483 49.291497, -123.0266774 49.2906293, -123.0307007 49.2876343, -123.0317522 49.2873264, -123.0320526 49.2872914, -123.0363119 49.2878652, -123.0386401 49.288446, -123.0398524 49.288642, -123.0477381 49.288684, -123.0560637 49.288635, -123.0564607 49.288411, -123.05645 49.284779, -123.0655158 49.284828, -123.0738629 49.2832603, -123.0786372 49.2829524, -123.0821455 49.2825815, -123.0844093 49.282641, -123.0859865 49.2822525, -123.08648 49.2820495, -123.0871519 49.2820338, -123.0876601 49.2820215, -123.0995262 49.2821685, -123.1008781 49.2822595, -123.1041182 49.2823925, -123.1085277 49.2831763, -123.1100405 49.2839182, -123.1117678 49.2828404, -123.1176794 49.2868085, -123.1203616 49.2876273, -123.1222177 49.2865286, -123.1216276 49.2861227, -123.1199968 49.2858288, -123.1174327 49.2841281, -123.1170679 49.2840022, -123.1156731 49.2851219, -123.112079 49.2827704, -123.1101478 49.2816086, -123.1090856 49.2812797, -123.104322 49.2804468, -123.09963 49.280369, -123.0995048 49.2821615)",210 - Burrard Stn to Upper Lynn Valley via Mountain Hwy,
"LINESTRING (-123.1158763 49.2852639, -123.117255 49.2842807, -123.1198084 49.2859463, -123.1215036 49.2862647, -123.1218684 49.2865026, -123.1203556 49.2874964, -123.1186873 49.2869365, -123.1178236 49.2866741, -123.1160372 49.2853759, -123.1157207 49.2851555, -123.1156134 49.284998, -123.1129312 49.2832239, -123.1119013 49.28258, -123.1100452 49.2838223, -123.1085002 49.2830909, -123.104037 49.282314, -123.1006038 49.2821846, -123.0998045 49.2821076, -123.0946654 49.2820236, -123.0865796 49.2819266, -123.0850687 49.2823854, -123.0844914 49.2825682, -123.0822834 49.2825306, -123.0855492 49.2828949, -123.090596 49.283021, -123.099488 49.2832239, -123.09963 49.280369, -123.104489 49.2803286, -123.1098153 49.2813234, -123.1119013 49.28258, -123.1098153 49.2813234, -123.104489 49.2803286, -123.09963 49.280369, -123.099488 49.2832239, -123.090596 49.283021, -123.0855492 49.2828949, -123.0822834 49.2825306, -123.078497 49.2828949, -123.0738139 49.2831924, -123.0680471 49.2842982, -123.0654615 49.2847671, -123.0563044 49.2847461, -123.0563098 49.2883501, -123.0560362 49.2885705, -123.0413645 49.2886055, -123.0398893 49.2885705, -123.0386823 49.2883746, -123.0363005 49.2877798, -123.0332053 49.2873739, -123.0320143 49.2872374, -123.0305928 49.2875908, -123.0296111 49.2883326, -123.0264997 49.2906664, -123.0261242 49.2915551, -123.026312 49.303082, -123.0266928 49.3040789, -123.0271917 49.3046491, -123.0275994 49.3058033, -123.0290317 49.3059082, -123.0291819 49.3055235, -123.0294716 49.30552, -123.0292892 49.3046875, -123.031376 49.3049184, -123.0321485 49.3052891, -123.0321431 49.3073738, -123.0320519 49.3082482, -123.0328995 49.3112594, -123.032701 49.3129766, -123.0321914 49.3130291, -123.0311614 49.3126723, -123.0307215 49.3123506, -123.0304748 49.3117945, -123.0297667 49.3115148, -123.0287635 49.3115357, -123.0270523 49.3121163, -123.0250728 49.3122212, -123.0231738 49.3121897, -123.0219507 49.3119554, -123.0201912 49.3109762, -123.0191558 49.310518, -123.0181205 49.3104551, -123.0143869 49.3109884, -123.0127775 49.3108625, -123.010782 49.3104008, -123.0083358 49.3110723, -123.0046022 49.3136883, -122.9996884 49.3158005, -122.9938948 49.3156886, -122.9797971 49.3154928, -122.9685962 49.3158705, -122.9574168 49.3158285, -122.9573846 49.3130745, -122.9572397 49.3086644, -122.9564136 49.3085175, -122.9543537 49.3081048, -122.9529965 49.3078704, -122.9530501 49.3121583, -122.9534685 49.3151763, -122.9535329 49.3177431, -122.9535115 49.32053, -122.9534095 49.3249636, -122.9519987 49.3266907, -122.9516876 49.3267747, -122.9506415 49.3267747, -122.95062 49.3258446, -122.9492843 49.3257957, -122.9493272 49.3267292, -122.9506415 49.3267747)",211 - Burrard Stn to Deep Cove via Mount Seymour Parkway,
"LINESTRING (-123.0290528 49.3055232, -123.0290099 49.3053553, -123.0283447 49.3049286, -123.0281516 49.3048236, -123.0246325 49.3050685, -123.0219074 49.3053133, -123.0198475 49.3053413, -123.0185922 49.3054882, -123.0171223 49.3053308, -123.014762 49.3054427, -123.0098267 49.3063941, -123.0076381 49.3075413, -122.99957 49.3083248, -122.996523 49.3088844, -122.9912015 49.3087725, -122.9887124 49.3083248, -122.9859658 49.3086606, -122.9832621 49.3078491, -122.9819318 49.3077652, -122.9805156 49.3079051, -122.978284 49.3075693, -122.9714604 49.3042115, -122.9558392 49.3040716, -122.9542514 49.3043235, -122.953318 49.3049496, -122.9529532 49.3060479, -122.9528995 49.3084962, -122.952921 49.3124622, -122.953275 49.3152809, -122.9533501 49.3187988, -122.9532536 49.3249108, -122.9519018 49.3265751, -122.9516228 49.326673, -122.9494234 49.326652, -122.9493912 49.3258758, -122.9505177 49.3258968, -122.9505499 49.326673)",212 - Phibbs Exchange to Deep Cove via Dollarton Hwy,
"LINESTRING (-123.0048689 49.3255876, -123.004708 49.3266575, -123.0043647 49.3272798, -123.0029699 49.3281958, -123.0002233 49.3294824, -122.9993543 49.3297271, -122.9984316 49.3301116, -122.9949662 49.3267134, -122.9969188 49.3259932, -123.0028412 49.326133, -123.0038175 49.3264058, -123.0047402 49.3264197, -123.0049011 49.3253709, -123.0049547 49.3198324, -123.0049547 49.3181679, -123.0015108 49.318091, -122.9980776 49.318056, -122.9981097 49.3158809, -122.9996225 49.3158739, -123.0015644 49.3151745, -123.0047724 49.3137267, -123.008624 49.3110898, -123.0107376 49.3105092, -123.0127224 49.3109569, -123.0143854 49.3110618, -123.0147502 49.3110828, -123.0147502 49.3076483, -123.0158231 49.3075503, -123.0174646 49.3072356, -123.0189666 49.3057386, -123.019149 49.3055217, -123.0199107 49.3054308, -123.0218741 49.3054308, -123.0269167 49.305025, -123.0291912 49.3048991, -123.0293414 49.3054098, -123.0286655 49.3054168, -123.0283758 49.3047242, -123.0276355 49.3047382, -123.0269489 49.3038218, -123.0266699 49.3029333, -123.0265197 49.2914308, -123.0269059 49.290759, -123.0308542 49.287771, -123.0318305 49.2874841, -123.0361113 49.2879669, -123.0383107 49.2885688, -123.0397054 49.2888557, -123.0428812 49.2888487, -123.0561313 49.2888207, -123.0566785 49.2885408, -123.0567106 49.2849367, -123.0656049 49.2849997, -123.0738231 49.283432, -123.0786726 49.2831171, -123.0821594 49.2827672, -123.0847666 49.2828791, -123.0855176 49.2829841, -123.0960211 49.2831801, -123.0995831 49.2833201, -123.0996367 49.2823752, -123.0997226 49.2805555, -123.1041965 49.2806745, -123.1097862 49.2817314, -123.1120178 49.2831031, -123.1175861 49.2869452, -123.120397 49.287694, -123.1223926 49.2865323, -123.1217489 49.2860634, -123.1200537 49.2857205, -123.1174466 49.2839919, -123.1170496 49.2839079, -123.1152365 49.2853426, -123.1114277 49.2827252, -123.1100115 49.283663, -123.1084666 49.2829701, -123.1040892 49.2822353, -123.1004843 49.2820743, -123.0998942 49.2819973, -123.0940148 49.2819063, -123.0865797 49.2818083, -123.084906 49.2822703, -123.0836078 49.2828232)",214 - Blueridge to Phibbs Exchange (Occasionally Burrard Stn),
"LINESTRING (-122.9631667 49.3215591, -122.9628717 49.3210626, -122.9625659 49.3209892, -122.9622601 49.3210171, -122.9621367 49.3211745, -122.9625176 49.3217409, -122.9633598 49.3214997, -122.9640411 49.3213808, -122.9656933 49.3213598, -122.9691105 49.3213878, -122.9689978 49.3192163, -122.9689495 49.3159293, -122.9717444 49.3158943, -122.9802363 49.3155935, -122.9874353 49.315688, -122.9874461 49.3153383, -122.9876982 49.3151354, -122.9899566 49.3151389, -122.9915606 49.3151809, -122.9922418 49.3149781, -122.9924618 49.3147088, -122.992671 49.3139709, -122.9924779 49.3134918, -122.9919897 49.3127399, -122.9918663 49.3122992, -122.9921507 49.3118691, -122.9939263 49.31132, -122.9949938 49.3108793, -122.9954122 49.3104736, -122.9949026 49.3101764, -122.9941623 49.3095783, -122.9940979 49.309246, -122.9941087 49.3088823, -122.9965173 49.3089348, -122.9995053 49.3083892, -123.0032121 49.3080499, -123.0077504 49.3075777, -123.0100678 49.3064305, -123.0141287 49.305626, -123.0148314 49.3077141, -123.0175565 49.3072664, -123.0192034 49.3055596, -123.021832 49.3054896, -123.0283229 49.3049929, -123.0284946 49.3054092)",215 - Phibbs Exchange to Indian River Dr,
"LINESTRING (-123.0036358 49.225989, -123.0073801 49.2276286, -123.0046228 49.2301859, -123.003271 49.2315381, -123.0031959 49.2459613, -123.0035499 49.247229, -123.0042473 49.2482375, -123.0039576 49.2572293, -123.0038825 49.2580416, -123.0038396 49.2598201, -123.0031959 49.2613605, -123.0030564 49.2689778, -123.0030993 49.2806955, -123.0030993 49.2809755, -123.0315737 49.2812624, -123.0315629 49.2830191, -123.0319492 49.2845588, -123.0316488 49.2863224, -123.0301682 49.287806, -123.0274216 49.2898074, -123.026338 49.2907171, -123.0259088 49.2916757, -123.0261985 49.3031292, -123.0265633 49.3041156, -123.0269817 49.3046543, -123.0276791 49.3061093, -123.0289666 49.3061653, -123.0290202 49.3056266)",222 - Metrotown Stn to Phibbs Exchange via Willingdon Ave,
"LINESTRING (-123.0416907 49.3350453, -123.0294217 49.3416595, -123.0222656 49.3415547, -123.0224158 49.3380244, -123.0223192 49.3372135, -123.0225231 49.336032, -123.0375005 49.3362487, -123.0375542 49.3332215, -123.0408801 49.3332285, -123.0408908 49.334258, -123.0415751 49.334919, -123.0416907 49.3350453)",226 - Lynn Valley Ctr to Lynn Canyon Park (Summer Only),
"LINESTRING (-123.0290913 49.3056267, -123.029145 49.3054693, -123.0293917 49.3054833, -123.0291932 49.3046439, -123.0295848 49.3046509, -123.0313819 49.3048642, -123.0322617 49.305256, -123.0321758 49.3079527, -123.0321329 49.3082605, -123.0329644 49.3110969, -123.0329751 49.3113942, -123.0328196 49.3130239, -123.033061 49.3130973, -123.033533 49.3132372, -123.0403298 49.3133037, -123.0401849 49.3136499, -123.0397021 49.3143318, -123.0368053 49.3159894, -123.0360329 49.317007, -123.0349063 49.3183848, -123.0346488 49.3191121, -123.0344665 49.319829, -123.0340319 49.3205423, -123.0319881 49.3222486, -123.030191 49.3241018, -123.0299657 49.3245598, -123.0301159 49.3253045, -123.0298852 49.3259024, -123.0296009 49.3261471, -123.0280238 49.3267974, -123.027541 49.3271366, -123.0273103 49.3275212, -123.0270475 49.3293671, -123.0268383 49.3305208, -123.0263394 49.331227, -123.0260711 49.3317164, -123.0263179 49.3327721, -123.0273157 49.3344466, -123.0275678 49.3351422, -123.0275624 49.3360056, -123.0224233 49.3359252, -123.0222624 49.3367956, -123.0221498 49.3371592, -123.0223321 49.3380575, -123.0220693 49.3416192, -123.0258458 49.3416891, -123.0294668 49.3417765, -123.0416601 49.3352331, -123.0411237 49.3347332, -123.0406677 49.3342753, -123.0406677 49.3333874, -123.0379372 49.3333734, -123.0379265 49.3335587, -123.0378836 49.3357609, -123.0379211 49.336121, -123.0382484 49.3365929, -123.0382108 49.3370823)",227 - Phibbs Exchange to Lynn Valley Ctr,
"LINESTRING (-123.0826548 49.3105781, -123.0821344 49.3111691, -123.0801496 49.3103927, -123.0770919 49.3135053, -123.0715182 49.3110362, -123.065891 49.308623, -123.0653653 49.3085461, -123.0600813 49.3085041, -123.0571684 49.3085286, -123.0571953 49.3098541, -123.0571041 49.3135228, -123.0565783 49.3135438, -123.0564067 49.3210691, -123.0561438 49.3265375, -123.0555162 49.3277577, -123.052834 49.329303, -123.0413219 49.3354696, -123.0374703 49.3375739, -123.0327013 49.3400906, -123.028737 49.3421842, -123.0260655 49.3436102, -123.0254003 49.3440191, -123.0243596 49.3455045, -123.0227932 49.3476328, -123.0228844 49.347832, -123.0247781 49.347846, -123.0247459 49.3496737, -123.0247673 49.3505788, -123.0283132 49.3506452, -123.0284473 49.3473253, -123.0285171 49.3470702, -123.0286572 49.342227)",228 - Lonsdale Quay to Lynn Valley,
