WKT,name,description
"LINESTRING (-122.8420175 49.1335643, -122.845601 49.1335433, -122.8849436 49.1340452, -122.8846647 49.1348314, -122.8845359 49.1373584, -122.8849651 49.1377936, -122.8855659 49.1376392, -122.8872396 49.1376953, -122.88857 49.1370495, -122.8904153 49.1370917, -122.8903295 49.1559421, -122.9143621 49.1560824, -122.9200484 49.1560403, -122.9236103 49.1560684, -122.9248549 49.1564753, -122.9266359 49.158047, -122.9310132 49.1552123, -122.9323222 49.1541598, -122.9345967 49.1528406, -122.93494 49.1514231, -122.934704 49.1484617, -122.9337813 49.147002, -122.9374076 49.1467213, -122.9402615 49.1536265, -122.9438664 49.1622988, -122.9456474 49.1665502, -122.9500891 49.1701769, -122.9600884 49.1767983, -122.9702593 49.1700927, -122.9747654 49.1692229, -122.9773833 49.1690545, -122.9815031 49.1695596, -123.0072523 49.1694473, -123.0112006 49.1709625, -123.0144621 49.1757322, -123.0171229 49.1769666, -123.0194832 49.1772191, -123.0486227 49.1773033, -123.06875 49.1779485, -123.0822254 49.1774435, -123.0966021 49.1770227, -123.1031252 49.1771911, -123.1063439 49.1772191, -123.1246258 49.1772472, -123.12454 49.1701769, -123.1363417 49.170233)",301 - Newton Exchange to Richmond-Brighouse Stn,
"LINESTRING (-122.8878769 49.1375338, -122.8886064 49.1371547, -122.8902587 49.1371969, -122.8903767 49.1334694, -122.8904518 49.1081599, -122.8931125 49.1083425, -122.8945931 49.1080334, -122.9004296 49.1025408, -122.903541 49.0994219, -122.9063734 49.0988459, -122.9269513 49.0967244, -122.9333671 49.0961062, -122.9443105 49.0938862, -122.9571637 49.0916099, -122.957228 49.0923089, -122.9583009 49.0923493, -122.9617127 49.0909442, -122.9629197 49.0907264, -122.9648026 49.0907264, -122.9648831 49.0910847, -122.9650386 49.0911268, -122.9651245 49.0910531, -122.965103 49.0907193, -122.9629197 49.0907264, -122.961702 49.0909371, -122.9583009 49.0923493, -122.9572066 49.0923072, -122.9571637 49.0916011, -122.9583385 49.0914254, -122.9597708 49.0903364, -122.9608168 49.089539, -122.9616054 49.0894055, -122.9639336 49.089683, -122.9664441 49.0899465, -122.9823174 49.089943, -123.0017527 49.0899623, -123.0017742 49.0822752, -123.0018278 49.0808663, -123.0025171 49.0809058, -123.0032386 49.0811702, -123.0036329 49.0816138, -123.0037872 49.081934, -123.0039038 49.0822261, -123.0043384 49.0822471, -123.0052718 49.0823244, -123.0241867 49.0824017, -123.0241009 49.0901098, -123.0277272 49.0901028, -123.0633845 49.090257, -123.0630006 49.0902522, -123.0630458 49.0876056, -123.0630363 49.0877438, -123.0618251 49.0877273, -123.061806 49.0875961, -123.0630458 49.0876056, -123.0630006 49.0902522, -123.0816611 49.0902925, -123.0820473 49.0899904, -123.0809852 49.0891262, -123.0796441 49.0877631, -123.079172 49.0870323, -123.0791613 49.0852406, -123.0796226 49.0851352, -123.0826374 49.0851352, -123.082573 49.0891613, -123.082734 49.0893861, -123.0820259 49.0900115)",310 - Scottsdale Exchange to Ladner,
"LINESTRING (-123.1262428 49.1955601, -123.1254167 49.1959247, -123.1244511 49.1938073, -123.1243867 49.1920475, -123.1183249 49.1919633, -123.1176383 49.1912552, -123.1113512 49.1869919, -123.11045 49.1862275, -123.0968244 49.1773596, -123.0865247 49.1704156, -123.0867607 49.1347965, -123.0861653 49.1343577, -123.0858695 49.1341616, -123.0855416 49.1339164, -123.0844567 49.133468, -123.0844326 49.1329643, -123.0845533 49.1324816, -123.0851246 49.1320833, -123.0859534 49.1316217, -123.0861317 49.1311803, -123.086353 49.1302194, -123.0867607 49.1347965, -123.0866105 49.132522, -123.086353 49.1302194, -123.0704743 49.1176374, -123.061033 49.1100529, -123.0286748 49.0956112, -123.001724 49.0903841, -122.9591519 49.0904755, -122.9595811 49.0904755, -122.9591519 49.0904755, -122.9582078 49.0912624, -122.9439814 49.0938197, -122.9329736 49.0959835, -122.9124815 49.0981051, -122.9062588 49.0987373, -122.9032547 49.0993695, -122.8943927 49.1078546, -122.8930408 49.1081777, -122.8902513 49.1080232, -122.8901226 49.1173354, -122.8901011 49.1373165, -122.8887493 49.1372182, -122.888127 49.1375832)",311 - Bridgeport Stn to Scottsdale Exchange,
"LINESTRING (-122.8877684 49.1373912, -122.8885087 49.136977, -122.8903916 49.1370016, -122.8904774 49.1340463, -122.9126271 49.1338445, -122.9123481 49.1594462, -122.9123481 49.167921, -122.9109105 49.1715967, -122.907606 49.1710777, -122.9068764 49.1730698, -122.9067692 49.1770677, -122.8900965 49.1771098, -122.8902253 49.18359, -122.8915986 49.185217, -122.8917059 49.1859603, -122.8905472 49.1872365, -122.8903111 49.1889054, -122.8902038 49.1917102, -122.8896888 49.1930003, -122.8831228 49.198567, -122.8779515 49.2031518, -122.8766855 49.2034462, -122.8747972 49.2036986, -122.8743681 49.2040491, -122.8741749 49.2043996)",312 - Scott Rd Stn to Scottsdale Exchange via 112 St,
"LINESTRING (-122.8489173 49.1888231, -122.8498507 49.1887951, -122.8501296 49.1884795, -122.847941 49.1878554, -122.8454733 49.1878414, -122.8455163 49.183143, -122.8457523 49.1770134, -122.8900965 49.1771098, -122.8903306 49.1620966, -122.8902877 49.1560626, -122.9208005 49.1561749, -122.9217232 49.161858, -122.9263366 49.1651975, -122.9277957 49.1650291, -122.9287184 49.1646923, -122.9347909 49.1607916, -122.9360784 49.1603847, -122.9395545 49.157522, -122.9348982 49.1544768, -122.9344476 49.1544628, -122.9300273 49.1578588, -122.9225466 49.1624535)",314 - Surrey Ctrl Stn to Sunbury,
"LINESTRING (-122.8878712 49.1372469, -122.8884827 49.136896, -122.8905963 49.136917, -122.8906285 49.1341583, -122.9013573 49.134039, -122.9014539 49.1346708, -122.9014646 49.1372891, -122.9015612 49.1564236, -122.9020761 49.1577006, -122.9020332 49.1663441, -122.9013895 49.1678593, -122.9011535 49.1771884, -122.884395 49.1771884, -122.8805112 49.1772024, -122.8804468 49.184426, -122.8786873 49.1844821, -122.8778504 49.1844821, -122.8571009 49.184426, -122.8564786 49.1843839, -122.8565001 49.1876517, -122.8551268 49.1873432, -122.8517794 49.1860108, -122.8517432 49.1863606, -122.8517257 49.1865893, -122.8513609 49.1874729, -122.8505455 49.1881601, -122.849934 49.1888192, -122.849065 49.1888963)",316 - Surrey Ctrl Stn to Scottsdale Exchange via 116 St,
"LINESTRING (-122.8420622 49.1336806, -122.8847415 49.1341299, -122.8843553 49.1348038, -122.8842909 49.1373308, -122.8848059 49.1378924, -122.8854496 49.1378222, -122.8878958 49.1379204, -122.8886468 49.137401, -122.8901703 49.1374712, -122.8900845 49.1835525, -122.8913291 49.1852636, -122.8914578 49.1858947, -122.8903849 49.1871009, -122.8899987 49.1890783, -122.8900416 49.1916586, -122.8895051 49.1929067, -122.8811581 49.1998896, -122.8777678 49.2030162, -122.8747423 49.2035489, -122.87412 49.2040536, -122.8739054 49.2043901)",319 - Scott Rd Stn to Newton Exchange via Scott Rd,
"LINESTRING (-122.8498399 49.1891157, -122.8498184 49.1907003, -122.8505265 49.1916399, -122.8064739 49.1914716, -122.8060448 49.1913735, -122.8008091 49.1914015, -122.8014529 49.166097, -122.7614343 49.1505277, -122.7588165 49.1492084, -122.7563274 49.147861, -122.7566707 49.1472996, -122.7565205 49.1466329, -122.7565849 49.1189602, -122.7566278 49.1115725, -122.7348912 49.1115164, -122.7349555 49.1096482, -122.7368223 49.1083419, -122.736243 49.1078924, -122.7351272 49.10778, -122.7303636 49.1077519, -122.7302563 49.1114461, -122.6768267 49.1112073, -122.6755392 49.1118956, -122.6685869 49.1088195, -122.6688015 49.1043945, -122.6608193 49.1043103, -122.6602399 49.1040574, -122.6600897 49.1087492, -122.6536095 49.1061646, -122.6541459 49.1054622, -122.6564419 49.1045491, -122.656635 49.1034393, -122.6593601 49.1035938, -122.660197 49.1040293)",320 - Surrey Ctrl Stn to Langley Ctr via Fleetwood,
"LINESTRING (-122.8492233 49.1889375, -122.849749 49.188899, -122.8499958 49.1885414, -122.8479305 49.1879068, -122.8453716 49.1878717, -122.8457203 49.1749589, -122.8458169 49.1723286, -122.845495 49.1336433, -122.8386178 49.1335801, -122.8386393 49.129375, -122.8392508 49.1281043, -122.8416219 49.1264123, -122.8427913 49.1261806, -122.8455701 49.1262087, -122.8455057 49.1199597, -122.8454199 49.1175161, -122.8449478 49.1161959, -122.8439822 49.1149038, -122.8427699 49.1139276, -122.8353026 49.1077438, -122.8307751 49.1041898, -122.8288439 49.102799, -122.8263119 49.102209, -122.8229001 49.1018156, -122.8207972 49.1010008, -122.8196385 49.1001297, -122.8184369 49.0988091, -122.8176215 49.0923037, -122.8175142 49.0889032, -122.820132 49.08331, -122.8234365 49.072403, -122.8221705 49.0722519, -122.8222456 49.0716896, -122.8227928 49.0717317, -122.8226319 49.0721816, -122.8234687 49.07228, -122.8237155 49.0710008, -122.8231147 49.0696758, -122.8219345 49.0684809, -122.8150037 49.0628714, -122.8073862 49.0566707, -122.8012064 49.0516645, -122.8012493 49.0456171, -122.8012278 49.0311425, -122.7754572 49.0310722, -122.7620676 49.0200833, -122.7619388 49.0194782, -122.7623895 49.0180147, -122.7623036 49.0165652)",321 - Surrey Ctrl Stn to White Rock Ctr,
"LINESTRING (-122.8875986 49.1373588, -122.8872124 49.1375834, -122.8855387 49.1375483, -122.885013 49.1376887, -122.8847447 49.1373447, -122.8848091 49.1347967, -122.8851739 49.1340245, -122.8848413 49.1339403, -122.8678361 49.1337577, -122.8678897 49.11183, -122.8792838 49.1117703, -122.8791765 49.1115175, -122.8791765 49.1082165, -122.890313 49.1082165, -122.8903774 49.1078935, -122.8903774 49.1029206, -122.8902915 49.1025834, -122.8893903 49.102752, -122.887545 49.102738, -122.8860215 49.1029627, -122.8841117 49.1031594, -122.876623 49.1043956, -122.874327 49.1043816, -122.8689841 49.1045502, -122.8637055 49.1044237, -122.8619245 49.104789, -122.8590492 49.1045502, -122.854586 49.1045642, -122.8499082 49.104508, -122.8455308 49.1052245, -122.8455523 49.1080761, -122.8455308 49.1052245, -122.8499082 49.104508, -122.8567478 49.1045538, -122.8567747 49.1081463, -122.8455523 49.1080761, -122.8567747 49.1081463, -122.8565386 49.1209695, -122.8567317 49.1335085, -122.8420762 49.1333822)",322 - Scottsdale Exchange to Newton Exchange,
