WKT,name,description
"LINESTRING (-123.1364668 49.1677407, -123.1365741 49.170245, -123.1812222 49.170131, -123.1814045 49.1426715, -123.1812329 49.1319459, -123.1812329 49.1264033, -123.1871445 49.1263892, -123.1871874 49.1337746, -123.1812973 49.1337676)",401 - Richmond-Brighouse Stn to Steveston via No. 1 Rd,
"LINESTRING (-123.1364512 49.1676926, -123.1365799 49.1618873, -123.1366068 49.1556095, -123.1589549 49.1556025, -123.1588798 49.1250141, -123.1811422 49.1252037, -123.1811422 49.1338248, -123.1873113 49.1338388, -123.1872361 49.12632, -123.1811636 49.1263481)",402 - Richmond-Brighouse Stn to Steveston via No.2 Rd,
"LINESTRING (-123.1262967 49.1951976, -123.1254276 49.1956042, -123.1245264 49.1938023, -123.1245264 49.1921126, -123.1280669 49.1920214, -123.1282493 49.1878564, -123.1296763 49.1878774, -123.1307813 49.1881789, -123.1324979 49.1888942, -123.1364354 49.1847779, -123.1366178 49.1834455, -123.1366929 49.1704982, -123.1366822 49.1629219, -123.1367251 49.1372342, -123.1366178 49.1351845, -123.1366607 49.1335419, -123.0686185 49.1336121, -123.0660972 49.1336104, -123.0660704 49.1339684, -123.0643162 49.1353899, -123.0640212 49.1354425, -123.0639085 49.135632, -123.0641767 49.1357865, -123.0644825 49.1356952, -123.0644825 49.1355548, -123.0643269 49.1353899)",403 - Bridgeport Stn to Riverport via No. 3 Rd,
"LINESTRING (-123.1362305 49.1675856, -123.1363807 49.1627099, -123.127111 49.162745, -123.1259416 49.1628362, -123.1141077 49.1628573, -123.1142364 49.1333229, -123.06998 49.1334949, -123.0659352 49.133551, -123.065903 49.133909, -123.0642079 49.135313, -123.0638431 49.1354183, -123.0637787 49.1356569, -123.0640791 49.1358465, -123.0645512 49.1357482, -123.0645941 49.1355095, -123.0643259 49.1352147)",404 - Richmond-Brighouse Stn to Riverport via No. 4 Rd,
"LINESTRING (-123.0772558 49.2093166, -123.0771699 49.2095479, -123.0765369 49.2098913, -123.0758717 49.2100175, -123.0755499 49.210438, -123.0756572 49.2110058, -123.0785432 49.2111109, -123.0787685 49.2107184, -123.0787042 49.2103119, -123.0784145 49.2100596, -123.0775562 49.2098493, -123.0772128 49.2091834, -123.0773738 49.1920291, -123.0691984 49.1920221, -123.0692091 49.1987808, -123.0733183 49.19761, -123.0732432 49.1846383, -123.0771592 49.1846278, -123.0790689 49.1845717, -123.0813864 49.1845577, -123.1140235 49.1845857, -123.1140664 49.1772079, -123.1287005 49.1773622, -123.1243875 49.177299, -123.124645 49.1737921, -123.1287434 49.1738412, -123.1287005 49.1773622, -123.1287434 49.1738412, -123.124645 49.1737921, -123.1287434 49.1738412, -123.124645 49.1737921, -123.1287434 49.1738412, -123.1364897 49.1738132, -123.1363824 49.1703761, -123.1363395 49.1665319, -123.1247094 49.1664197, -123.12454 49.1701769, -123.1240013 49.1703761, -123.0916217 49.1703761, -123.0920723 49.1281861, -123.0922225 49.1242544, -123.093982 49.1242685, -123.093982 49.1230187, -123.0941751 49.1226395, -123.0945614 49.1223253, -123.095248 49.1221287, -123.0958649 49.1221638, -123.0973187 49.1227887, -123.0979624 49.1230415, -123.1000384 49.123626, -123.1004247 49.1238437, -123.1006071 49.1242299, -123.1005642 49.1304572, -123.1004783 49.1307661, -123.0968091 49.1308083, -123.09594 49.130717, -123.0959615 49.1303239, -123.0959186 49.1259992, -123.0961546 49.1253392, -123.0956825 49.124932, -123.0948671 49.1244475, -123.094438 49.124293, -123.0939874 49.124265)",405 - SE Marine Drive to Ironwood via No. 5 Rd,
"LINESTRING (-123.1369323 49.1676196, -123.1368358 49.1627229, -123.1680781 49.1627159, -123.1690866 49.1624703, -123.1697518 49.1618038, -123.1698484 49.1612285, -123.1698377 49.1519877, -123.1698591 49.1409939, -123.1812317 49.1409939, -123.1917244 49.1409307, -123.1918206 49.1383444, -123.1926843 49.137697, -123.1929016 49.1364187, -123.1923881 49.1361025, -123.1914662 49.1357197, -123.1917992 49.1346298, -123.1917941 49.1263765, -123.1809776 49.1263214, -123.1809332 49.1339177, -123.1874984 49.133869, -123.1874544 49.1263505)",406 - Richmond-Brighouse Stn to Steveston via Railway Ave,
"LINESTRING (-123.0772128 49.2091834, -123.076999 49.2095279, -123.0764733 49.2098293, -123.0757652 49.2099204, -123.0754326 49.2104391, -123.0755077 49.2110699, -123.0786298 49.211189, -123.0789409 49.2107194, -123.0788336 49.2103269, -123.0785225 49.2099835, -123.0776857 49.2097592, -123.0773852 49.2091634, -123.0774925 49.2053714, -123.0774711 49.1920582, -123.0914615 49.1919775, -123.0755828 49.1920897, -123.0735229 49.1921458, -123.0735014 49.1975725, -123.0829642 49.1946699, -123.0856679 49.1938847, -123.0914186 49.1938286, -123.0914615 49.1919775, -123.1133054 49.1920056, -123.1243346 49.1921318, -123.1244097 49.1938373, -123.1253324 49.1956708, -123.1263248 49.1952501, -123.1263677 49.1953342, -123.1252895 49.1957794, -123.1242595 49.1938759, -123.1242542 49.1920144, -123.1279181 49.1919407, -123.1294094 49.1919302, -123.1324403 49.1887679, -123.1307934 49.1881158, -123.1296561 49.1878072, -123.1247852 49.1877897, -123.1247477 49.1869728, -123.1245278 49.1863119, -123.1248282 49.1665049, -123.1361364 49.1666452, -123.1362007 49.1702579, -123.1370698 49.1703842, -123.1477128 49.170293, -123.1477879 49.1335822, -123.1870661 49.1337051, -123.1870232 49.1264601, -123.1813477 49.1264671, -123.1813799 49.133691)",407 - SE Marine Dr to Steveston via Gilbert,
"LINESTRING (-123.1371838 49.1675685, -123.1371516 49.166418, -123.1246847 49.1663619, -123.1247169 49.1637276, -123.1255323 49.1631418, -123.1254679 49.1624823, -123.1253499 49.1539083, -123.1253177 49.1408936, -123.1197602 49.1407883, -123.0979592 49.1407181, -123.0979806 49.1414762, -123.0982166 49.1422588, -123.0982113 49.1428746, -123.0981255 49.143336, -123.0980664 49.1442415, -123.0921012 49.1443117, -123.092187 49.1406901, -123.0979592 49.1407181, -123.092187 49.1406901, -123.0921012 49.1443117, -123.092187 49.1406901, -123.0921012 49.1443117, -123.092187 49.1406901, -123.0921012 49.1443117, -123.09223 49.1330108, -123.0922085 49.1305117, -123.0948049 49.1305591, -123.0953842 49.1303801, -123.0958402 49.1306644, -123.095395 49.1309838, -123.0949068 49.1310786, -123.0922192 49.131047, -123.0922192 49.1334303, -123.0917847 49.133504, -123.0660087 49.1335742, -123.0659711 49.1339322, -123.0642706 49.1353432, -123.0639112 49.1354379, -123.0638629 49.1356204, -123.0640936 49.13581, -123.0644798 49.1357257, -123.0645227 49.1355502, -123.064335 49.1353046)",408 - Richmond-Brighouse Stn to Riverport,
"LINESTRING (-123.1365354 49.1635138, -123.1337459 49.1634612, -123.1337137 49.1647345, -123.1361974 49.1647099, -123.1362296 49.1714408, -123.1363262 49.1725736, -123.1363369 49.1844615, -123.1361867 49.1846894, -123.1297118 49.1846859, -123.0691046 49.1847683, -123.0691583 49.1779726, -123.0531723 49.1775167, -123.0183974 49.1771558, -123.0150433 49.176022, -123.0112006 49.1709625, -123.0080946 49.1696925, -123.0034764 49.1693487, -122.9951433 49.1694859, -122.9893453 49.1695831, -122.9832911 49.1697625, -122.9756006 49.1690862, -122.9726613 49.1695816, -122.9756006 49.1690862, -122.9832911 49.1697625, -122.9893453 49.1695831, -122.9951433 49.1694859, -123.0034764 49.1693487, -123.0080946 49.1696925, -123.0112006 49.1709625, -123.0080946 49.1696925, -123.0034764 49.1693487, -122.9951433 49.1694859, -122.9893453 49.1695831, -122.9832911 49.1697625, -122.9756006 49.1690862, -122.9726613 49.1695816, -122.9756006 49.1690862, -122.9832911 49.1697625, -122.9893453 49.1695831, -122.9951433 49.1694859, -123.0034764 49.1693487, -123.0080946 49.1696925, -123.0112006 49.1709625, -123.0150433 49.176022, -123.0183974 49.1771558, -123.0434466 49.1772435, -123.069169 49.1779796, -123.0691368 49.1702571, -123.0672807 49.1700958, -123.065253 49.1699274, -123.0106432 49.1698257, -123.0074782 49.1692646, -123.0046565 49.1691242, -122.9983909 49.169026, -122.9928762 49.1692785, -122.9896791 49.1693346, -122.9898078 49.1675809, -122.9859669 49.1674406, -122.9835851 49.167609, -122.9837567 49.1683947, -122.9837567 49.1692785, -122.981965 49.1692154, -122.9806454 49.1692645, -122.9753453 49.1681, -122.9739506 49.1680018, -122.972749 49.1687173, -122.9723627 49.1707376, -122.9693586 49.1756055, -122.9663331 49.1808235, -122.9648954 49.1815529, -122.9632861 49.1818755, -122.961827 49.1818334, -122.9604108 49.182675, -122.9593594 49.1832641, -122.9571063 49.1838812, -122.9572351 49.1833061, -122.9573209 49.1818194, -122.9465921 49.1862655, -122.9482872 49.1880466, -122.9444034 49.189449, -122.9428155 49.1902624, -122.9425365 49.1915245, -122.9434163 49.1928707, -122.9488839 49.1980572, -122.9470856 49.1995872, -122.9454328 49.1999843, -122.9457337 49.2007089, -122.9466135 49.2016763, -122.9504973 49.199419, -122.9485232 49.2000639)",410 - Richmond-Brighouse Stn to 22nd St Stn,
"LINESTRING (-123.1260408 49.1951506, -123.1255044 49.195438, -123.1246031 49.1937764, -123.1246246 49.1921918, -123.1295384 49.1920656, -123.1309439 49.1919955, -123.1332506 49.1920445, -123.1386257 49.1926686, -123.1421984 49.1927106, -123.1422199 49.1920235, -123.1419973 49.1921006, -123.141206 49.1921427, -123.1409861 49.1921077, -123.1409901 49.1919341, -123.1417774 49.1913749, -123.1422039 49.191168, -123.1422199 49.1920235, -123.1422039 49.191168, -123.1443335 49.1869469, -123.1441564 49.18674, -123.1439607 49.1866524, -123.1441296 49.1856461, -123.1443174 49.1855374, -123.1447975 49.1855655, -123.1449463 49.1856566, -123.1442537 49.185888, -123.1444062 49.1862316, -123.144945 49.1863368, -123.1535495 49.1798184, -123.1544079 49.180127, -123.1549872 49.1797342, -123.155867 49.1783175, -123.1669178 49.1776374, -123.1670787 49.1789243, -123.1676312 49.179175, -123.1684654 49.1789637, -123.1692901 49.1789984, -123.1696489 49.1794154, -123.169721 49.180171, -123.1683086 49.1804646, -123.1677312 49.1797593, -123.1676312 49.179175, -123.1670787 49.1789243, -123.1669178 49.1776374, -123.1684412 49.1775461, -123.1732289 49.178116, -123.1738324 49.1785876, -123.173709 49.1800638)",412 - Bridgeport Stn to Sea Island South,
