WKT,name,description
"LINESTRING (-122.8476659 49.1897742, -122.8476981 49.1916814, -122.8257684 49.1915972, -122.782735 49.1916323, -122.7813939 49.1916673, -122.7796022 49.192039, -122.7775744 49.1921792, -122.771223 49.1905385, -122.752072 49.1858544, -122.746729 49.1845115, -122.7368371 49.1819027, -122.7349487 49.1813417, -122.7349702 49.1799741, -122.7346269 49.1766076, -122.7317516 49.1757659, -122.7262584 49.1754854, -122.7169857 49.1756241, -122.7159587 49.1760535, -122.7140276 49.1781716, -122.7133808 49.1791309, -122.7125684 49.1783119, -122.7111308 49.1770214, -122.7093498 49.1769793, -122.6696102 49.1769092, -122.6693741 49.1762779, -122.668194 49.1756186, -122.6680438 49.1737669, -122.6680008 49.1698809, -122.6680193 49.1691218, -122.6641599 49.1691128, -122.6631514 49.16872, -122.6625506 49.168713, -122.6625262 49.1659755, -122.6620463 49.1651844, -122.6599864 49.164125, -122.6596431 49.1634375, -122.6597504 49.161873, -122.6607911 49.1603576, -122.6604907 49.1602593, -122.6601366 49.1610381, -122.6598577 49.161003, -122.6605228 49.1594525, -122.6609347 49.1594677, -122.6606516 49.1600629, -122.6610915 49.160133, -122.6615206 49.1593332, -122.661585 49.1591578, -122.6679365 49.1591788, -122.6684729 49.118942, -122.6685587 49.1167581, -122.6779069 49.1168312, -122.6786653 49.1164913, -122.6786794 49.1146999, -122.6796524 49.1139491, -122.6753823 49.1118704, -122.662851 49.1062658, -122.6564617 49.104739, -122.6546971 49.1053246, -122.6534525 49.1059848, -122.6596324 49.1084571, -122.6596645 49.1055073)",501 - Surrey Ctrl Stn to Langley Ctr,
"LINESTRING (-122.8477609 49.189674, -122.847718 49.187914, -122.8483939 49.187956, -122.8499958 49.1885414, -122.851119 49.1877878, -122.8514087 49.1871286, -122.8516876 49.1861819, -122.8473103 49.1844148, -122.8455185 49.1843867, -122.8455829 49.177079, -122.8329658 49.1769598, -122.8302729 49.1761883, -122.8289961 49.1762233, -122.8285133 49.176581, -122.7640438 49.1512794, -122.7607393 49.1500374, -122.7498817 49.1446476, -122.7349686 49.1380359, -122.7278661 49.1349825, -122.7234888 49.1321745, -122.719798 49.131276, -122.7097988 49.1274849, -122.7074384 49.1261088, -122.6627206 49.1060812, -122.6563262 49.1046237, -122.654674 49.1051997, -122.6533007 49.1059793, -122.6596736 49.1085851, -122.6599633 49.1054666)",502 - Surrey Ctrl Stn to Langley Ctr via Fraser Hwy,
"LINESTRING (-122.8476236 49.1895488, -122.8475592 49.1878378, -122.8483961 49.1878518, -122.849941 49.1884198, -122.8509281 49.1877326, -122.8515075 49.1862601, -122.8472159 49.184528, -122.8453276 49.1844859, -122.8454135 49.1772062, -122.8328285 49.177087, -122.8302644 49.1762944, -122.8290735 49.1763365, -122.8281937 49.1768275, -122.7605484 49.1502839, -122.7494333 49.1448661, -122.7276323 49.1352642, -122.7235983 49.1326529, -122.7197788 49.1317262, -122.7096079 49.1278791, -122.7072046 49.1266434, -122.6833008 49.1158863, -122.6627872 49.1064755, -122.6602123 49.1059417, -122.6598046 49.1087722, -122.6533459 49.1061173, -122.653024 49.1058363, -122.6544831 49.1051058, -122.6541612 49.1047968, -122.6257084 49.1043192, -122.624378 49.103968, -122.6246355 49.0960442, -122.6060317 49.0910209, -122.5589106 49.0742122, -122.5184844 49.0654402, -122.5073264 49.0622346, -122.4926493 49.0594788, -122.4808047 49.0585367, -122.4776933 49.0582907, -122.4730799 49.0582907, -122.4709127 49.0580516, -122.4708913 49.0606388, -122.4596045 49.0605966, -122.459626 49.0529612, -122.4709771 49.0530034, -122.4711273 49.0556049, -122.4926279 49.0554081, -122.4926493 49.0594858)",503 - Surrey Ctrl Stn to Aldergrove via Fraser Hwy,
"LINESTRING (-122.8480386 49.1898313, -122.8479313 49.192033, -122.7896952 49.1919489, -122.789781 49.1954125, -122.7754902 49.1918297, -122.7231764 49.1787022, -122.7055382 49.1737926, -122.6604342 49.1617548, -122.6610243 49.1606287, -122.6605522 49.1603691, -122.6601461 49.161113, -122.6597368 49.1610848, -122.6604127 49.1593588, -122.6610457 49.1593799, -122.6609063 49.1599762, -122.6613461 49.1600745, -122.6602733 49.1619898, -122.6599085 49.1621442, -122.6598548 49.1628247, -122.6599836 49.1636736, -122.6604771 49.1641927, -122.6619577 49.1649434, -122.6626443 49.1658063, -122.6626443 49.169384, -122.6631057 49.1705203, -122.6630306 49.1721407, -122.6640283 49.1732419, -122.6653909 49.174266, -122.6646721 49.1748903, -122.6644253 49.1758512, -122.664436 49.1770084, -122.630726 49.1769418, -122.6391053 49.1769524, -122.6388317 49.1717182, -122.637193 49.1715875, -122.6358265 49.1714309, -122.6350359 49.1707073, -122.6349639 49.169426, -122.6318955 49.169426, -122.6313054 49.1696295, -122.6309299 49.1701205, -122.6308709 49.1736434, -122.630726 49.1769418, -122.6308709 49.1736434, -122.6309299 49.1701205, -122.6313054 49.1696295, -122.6318955 49.169426, -122.6349639 49.169426, -122.6349425 49.1666551, -122.6348781 49.1663324, -122.6356398 49.166143, -122.6385581 49.1661641, -122.6396632 49.1657993, -122.6402103 49.1652661, -122.640382 49.1646067, -122.6402962 49.1625511, -122.6350068 49.1623055, -122.6240527 49.1618986, -122.6328182 49.1622214, -122.6327431 49.1603551, -122.6321959 49.16032, -122.6273679 49.1589659, -122.6265525 49.1584046, -122.6257479 49.1573592, -122.6251578 49.1573381, -122.6241278 49.1573241, -122.6240527 49.1618986, -122.6137852 49.162744, -122.5902032 49.1628001, -122.588272 49.1694927, -122.5867056 49.1709517, -122.5801181 49.1683843, -122.587285 49.1614952, -122.5896453 49.1597973, -122.590804 49.1586186, -122.5909972 49.1557138, -122.5908899 49.1528509, -122.5917053 49.1519386, -122.5942802 49.1501422, -122.5959539 49.1485141, -122.5972843 49.1475877, -122.602713 49.1427031, -122.6084637 49.1399798, -122.6093435 49.139306, -122.6093649 49.138576, -122.6089572 49.1379302, -122.6088285 49.1374389, -122.6112317 49.1357682, -122.6277971 49.1244234, -122.6383113 49.1171911, -122.6389551 49.1158147, -122.639985 49.1147754, -122.6417016 49.1142136, -122.6431178 49.1138765, -122.6443221 49.1132689, -122.6527953 49.1065583, -122.6528811 49.1056874, -122.6560112 49.1044045, -122.6604986 49.1053362, -122.6600265 49.1092273, -122.6528382 49.1061229)",509 - Surrey Ctrl Stn to Langley Ctr,
"LINESTRING (-122.803114 49.027588, -122.8013437 49.027574, -122.8013544 49.0346927, -122.8026848 49.0347068, -122.8037148 49.0342988, -122.8052061 49.0323856, -122.8051954 49.0312812, -122.8013759 49.0312249, -122.8013652 49.0377875, -122.8013652 49.0455799, -122.7413588 49.0456678, -122.6914268 49.0456678, -122.6915126 49.0529246, -122.6914697 49.0601241, -122.6696472 49.060096, -122.6696043 49.0755883, -122.6693254 49.0781183, -122.66851 49.0895581, -122.669025 49.1042404, -122.660914 49.1041843, -122.659648 49.1035942, -122.656365 49.1033835, -122.6562362 49.1042404, -122.6556139 49.1041843, -122.6527171 49.1054907, -122.6525026 49.1061931, -122.6595836 49.1092553, -122.6579099 49.1110533, -122.6568197 49.1118808, -122.6566868 49.1145787, -122.6567941 49.1168259, -122.6540475 49.1187218, -122.6552062 49.1188623, -122.6682954 49.1189465, -122.6770716 49.1190027, -122.6770716 49.1169382, -122.6747971 49.1169242, -122.6747756 49.1189887)",531 - White Rock Ctr to Willowbrook Mall,
"LINESTRING (-122.8949104 49.2478327, -122.8945081 49.2476051, -122.8945242 49.2479833, -122.8952108 49.2480288, -122.8959619 49.2484386, -122.8960248 49.2488958, -122.8979735 49.2482845, -122.8991483 49.2476051, -122.8992073 49.2462289, -122.899792 49.2458332, -122.9004465 49.2458927, -122.9004787 49.2457176, -122.9002802 49.245553, -122.8973137 49.2447738, -122.8902541 49.2412226, -122.8815959 49.2356536, -122.8786884 49.234827, -122.8657097 49.2324647, -122.8245855 49.2276857, -122.8184225 49.2258827, -122.8142037 49.2208049, -122.8107146 49.2119981, -122.7934852 49.1954616, -122.7848861 49.1927991, -122.7278896 49.1790117, -122.66061 49.1616119, -122.6613517 49.160396, -122.6604412 49.160043)",555 - Lougheed Town Ctr to Carvolth Exchange,
"LINESTRING (-122.6468712 49.0877964, -122.6468927 49.0896092, -122.6366144 49.0895249, -122.6246625 49.0894405, -122.6246625 49.0858501, -122.6145238 49.0857798, -122.6143628 49.0864965, -122.6141483 49.0870305, -122.6149744 49.0875926, -122.6153606 49.0879229, -122.6166803 49.0886536, -122.6168412 49.0891173, -122.6167875 49.0894054, -122.6081401 49.0894054, -122.6081079 49.0910073, -122.60755 49.0920893, -122.6070565 49.0931572, -122.6078933 49.0930378, -122.6100391 49.0930308, -122.6101679 49.0933961, -122.6102859 49.0968315, -122.6110154 49.0968806, -122.6217014 49.096691, -122.6225811 49.0968806, -122.6231712 49.097274, -122.623536 49.0975199, -122.6241046 49.0976885, -122.6244372 49.0976674, -122.6244479 49.09615, -122.6251668 49.0961711, -122.6296407 49.0973513, -122.6434809 49.1010287, -122.6443821 49.1004387, -122.646206 49.0993288, -122.6465279 49.0984577, -122.6466566 49.0965188, -122.6497036 49.0965048, -122.6513129 49.0969122, -122.6539093 49.0984577, -122.6559693 49.0984718, -122.6568383 49.0985104, -122.6563984 49.1049342, -122.6541239 49.1059737, -122.6594454 49.1082634, -122.6594454 49.1056085, -122.6563984 49.1049201)",560 - Langley Ctr to Murrayville,
"LINESTRING (-122.6468712 49.0877964, -122.647341 49.0782713, -122.650388 49.0783064, -122.6583488 49.0782959, -122.6585526 49.0746906, -122.6585634 49.067444, -122.6694853 49.0674159, -122.6694424 49.0755621, -122.6687772 49.0834891, -122.6683695 49.0895459, -122.6684983 49.0922931, -122.659765 49.0898762, -122.6599367 49.0984893, -122.6685841 49.0984332, -122.6686699 49.1006459, -122.6644428 49.1019103, -122.6600654 49.1032449, -122.6603551 49.1038209, -122.6597006 49.1034908, -122.6561279 49.1033011, -122.6561065 49.1041019, -122.6553769 49.1041089, -122.6524908 49.1054786, -122.6523085 49.1062793, -122.6600761 49.1095592, -122.6601349 49.1088187, -122.6605053 49.10708, -122.6606769 49.1052327, -122.6560743 49.1043196, -122.6561065 49.1041229)",561 - Langley Ctr to Brookswood,
"LINESTRING (-122.6558073 49.1039918, -122.6610859 49.1051016, -122.660249 49.1098636, -122.6523097 49.1065064, -122.6437266 49.113347, -122.6427181 49.1137122, -122.6396067 49.114611, -122.6385768 49.1157065, -122.6380832 49.1170267, -122.6084073 49.1372044, -122.6089652 49.1386223, -122.6088364 49.1393383, -122.6026137 49.1424967, -122.6014121 49.1419387, -122.6006718 49.1418264, -122.5967987 49.1417563, -122.6006611 49.1418194, -122.6014335 49.1419458, -122.6026244 49.1424862, -122.6007362 49.1442198, -122.5970347 49.1474832, -122.5956829 49.1484166, -122.5942452 49.1499113, -122.5915523 49.1517639, -122.5906725 49.1527604, -122.5907691 49.1557425, -122.590533 49.158493, -122.5891973 49.1598471, -122.5872607 49.1612574, -122.5798686 49.168378, -122.5867028 49.1710787, -122.5884624 49.1695565, -122.590297 49.162885, -122.6139755 49.162843, -122.6240392 49.161994, -122.640465 49.1626255, -122.6405187 49.164646, -122.6403256 49.1652984, -122.6398213 49.1658105, -122.6385875 49.1662314, -122.6357551 49.1662174, -122.6350899 49.1663717, -122.6351221 49.1666804, -122.6351221 49.1694583, -122.6351865 49.1704825, -122.6359589 49.1713453, -122.6390381 49.1716539, -122.6392634 49.1768022, -122.6573522 49.1767952, -122.6569231 49.1628149, -122.6594873 49.1628079, -122.6595838 49.1617485, -122.6600774 49.1612223, -122.660485 49.1605909)",562 - Langley Ctr to Carvolth Exchange,
"LINESTRING (-122.6694801 49.0528993, -122.6804289 49.0528677, -122.6803323 49.0456531, -122.6795921 49.0456636, -122.6751396 49.0456706, -122.6748767 49.0456531, -122.6749894 49.0442571, -122.674807 49.0384163, -122.6693675 49.0384444, -122.6694479 49.0502291, -122.6695338 49.0627509, -122.6694265 49.0673482, -122.6693085 49.0747003, -122.6474538 49.0746511, -122.6472285 49.0785024, -122.6471534 49.0790997, -122.646735 49.0876234, -122.6532367 49.0882417, -122.6547494 49.0884455, -122.6603499 49.0899561, -122.6683536 49.0921763, -122.6685145 49.0945088, -122.6685789 49.0983375, -122.6597598 49.0983585, -122.659674 49.1030509, -122.6605001 49.1037884, -122.6604464 49.1041958, -122.6612511 49.1050598, -122.6603928 49.1100395, -122.6519814 49.1064856, -122.6522282 49.105418, -122.655715 49.1038657)",563 - Langley Ctr to Fernridge,
