WKT,name,description
"LINESTRING (-123.1260862 49.1952711, -123.1255068 49.1952711, -123.1246107 49.1938282, -123.1245841 49.1925087, -123.1190051 49.1924947, -123.1172885 49.190868, -123.0873551 49.1709646, -123.0865611 49.1690426, -123.0866041 49.1338156, -123.0865397 49.1314569, -123.0866041 49.1346159, -123.0851879 49.1337103, -123.0843403 49.1333699, -123.0845012 49.1326784, -123.0850377 49.1321028, -123.0857941 49.1316675, -123.0861964 49.1309936, -123.0865397 49.1314569, -123.085338 49.1298844, -123.0695452 49.1168669, -123.061284 49.1103358, -123.0555333 49.1078777, -123.0574002 49.106192, -123.0574002 49.0942643, -123.056971 49.0901191, -123.059739 49.0901331, -123.0628289 49.0901331, -123.0628182 49.087811, -123.0617024 49.0877478, -123.0617453 49.0875229, -123.0629684 49.087544, -123.0629684 49.0901296, -123.0570032 49.0901226, -123.056971 49.0901191, -123.0631615 49.090084, -123.0813362 49.0901964, -123.0820473 49.0899904, -123.0795981 49.0875967, -123.0792762 49.0866552, -123.0793406 49.0855028, -123.0786325 49.0840412, -123.0779673 49.0827342, -123.0785896 49.0804012, -123.0795552 49.0781102, -123.0795337 49.0768874, -123.0791475 49.0758472, -123.0790402 49.0740902, -123.0778171 49.0714334, -123.0777742 49.069367, -123.077624 49.068411, -123.0777528 49.0664007, -123.0767228 49.0647276, -123.0769159 49.0539009, -123.0797054 49.0538446, -123.0797269 49.0375438, -123.0687191 49.0427342, -123.0686762 49.0343364, -123.0686762 49.0247131, -123.0754353 49.0247131, -123.0753388 49.0196369, -123.0767872 49.0180116, -123.0795445 49.0180116, -123.0796518 49.0136208, -123.0854561 49.0135575, -123.0854346 49.0125794, -123.0852522 49.0118264, -123.0843188 49.0108834, -123.0828704 49.010236, -123.0815078 49.0100741, -123.0797698 49.0100601, -123.0798395 49.0063266, -123.077506 49.0063372, -123.0740835 49.0064146, -123.0740942 49.0100671, -123.0797805 49.010046)",601 - Bridgeport Stn to South Delta,
"LINESTRING (-123.1260408 49.1951506, -123.1257189 49.1950588, -123.1250108 49.1938249, -123.1249035 49.1923805, -123.1191743 49.1923384, -123.1177152 49.1907117, -123.0881465 49.1709136, -123.0873311 49.1692301, -123.0872882 49.1349298, -123.0853034 49.1336101, -123.0872882 49.1349298, -123.0853034 49.1336101, -123.0845628 49.1333144, -123.084659 49.1327379, -123.0851519 49.1321885, -123.0858801 49.1317217, -123.0866069 49.1307319, -123.0870307 49.1311391, -123.0872882 49.1349298, -123.0870307 49.1311391, -123.0830825 49.127348, -123.0617965 49.1101021, -123.0565608 49.1077423, -123.0579341 49.106478, -123.0575908 49.0904052, -123.0573333 49.0818609, -123.0573333 49.0536317, -123.0579341 49.0504817, -123.060509 49.047022, -123.0683196 49.0430276, -123.0683196 49.0245986, -123.0751002 49.0245142, -123.0748857 49.0195611, -123.0764306 49.0177599, -123.0792201 49.0177599, -123.0791343 49.0135661, -123.084842 49.013369, -123.0847133 49.0123839, -123.0840266 49.0113142, -123.0826533 49.0106387, -123.0812371 49.0104416, -123.0737699 49.0105261, -123.0735553 49.0061065, -123.0805505 49.0059657, -123.0806363 49.0104416)",602 - Bridgeport Stn to Tsawwassen Heights,
"LINESTRING (-123.1261757 49.1949965, -123.1258324 49.1947721, -123.1252316 49.1937906, -123.1251457 49.1922761, -123.1193092 49.1921779, -123.1178716 49.1904671, -123.0884531 49.1708582, -123.0876592 49.1691045, -123.0876163 49.1349025, -123.0872944 49.1309854, -123.0876163 49.1349025, -123.0848804 49.1331686, -123.0849475 49.1327141, -123.0854008 49.1322314, -123.0865193 49.1311872, -123.0872944 49.1309854, -123.0806425 49.1249476, -123.0618027 49.1097376, -123.0570391 49.1076728, -123.0583051 49.1066333, -123.0577472 49.0536466, -123.0582192 49.0505106, -123.0606869 49.0472759, -123.0680898 49.0435628, -123.0678476 49.0320837, -123.0552474 49.0319709, -123.057753 49.0277507, -123.0585763 49.0262033, -123.0586446 49.0246416, -123.0677767 49.024705, -123.06824 49.0248245, -123.0694416 49.0247822, -123.078883 49.0247682, -123.0908349 49.0247401, -123.0907491 49.017634, -123.0921438 49.015903, -123.0922511 49.0152838, -123.0912426 49.0125676, -123.0899551 49.0102594, -123.0893758 49.005685, -123.0893758 49.0044885, -123.0686262 49.0044322, -123.0686477 49.0248245)",603 - Bridgeport Stn to Beach Grove,
"LINESTRING (-123.1261498 49.1946692, -123.1259567 49.1944309, -123.1255276 49.1936736, -123.1254632 49.1920891, -123.1195409 49.192033, -123.1180388 49.1902239, -123.0887277 49.1707132, -123.0880625 49.1692401, -123.0878479 49.1345749, -123.0877835 49.1309104, -123.0878479 49.1345749, -123.0852193 49.1331498, -123.0852569 49.1327181, -123.0867776 49.131392, -123.0877835 49.1309104, -123.0808098 49.1247603, -123.061927 49.1094941, -123.0576784 49.107654, -123.0587728 49.106769, -123.0580432 49.0537402, -123.0585796 49.0504777, -123.0609829 49.047454, -123.0678923 49.04398, -123.0678279 49.0426298, -123.0675489 49.032375, -123.0547387 49.0321781, -123.0583436 49.0261001, -123.0583651 49.0245102, -123.0834276 49.0245383, -123.0905301 49.0245243, -123.0904657 49.0176011, -123.0919034 49.015856, -123.0918819 49.015265, -123.0909163 49.0126191, -123.0896289 49.0101702, -123.089071 49.0046949, -123.069051 49.0046386, -123.0690081 49.0245102)",604 - Bridgeport Stn to English Bluff,
"LINESTRING (-123.0631607 49.087442, -123.0633324 49.0870556, -123.0640727 49.0866059, -123.064137 49.0850389, -123.064652 49.08454, -123.0670982 49.0834298, -123.067978 49.0833103, -123.0726235 49.0832822, -123.0733638 49.083226, -123.0742114 49.0830293, -123.0779558 49.0830784, -123.0790179 49.0851514, -123.0796226 49.0851352, -123.0951434 49.0852006, -123.0950039 49.0889597, -123.0941241 49.0892688, -123.083406 49.0892478, -123.0826657 49.0894164, -123.082258 49.0899574, -123.0816572 49.0902174, -123.0810028 49.0903368, -123.0810028 49.0910886, -123.0804127 49.091749, -123.0758422 49.0949527, -123.0797582 49.0958589, -123.0783849 49.0970883, -123.0788463 49.0974255, -123.0795007 49.0985284, -123.0799084 49.0999755, -123.0796938 49.1015841, -123.0793398 49.1039091, -123.0790716 49.1057564, -123.0790823 49.1053279, -123.0790716 49.1057564, -123.0767434 49.10563, -123.0759709 49.1056792, -123.0750483 49.1061779, -123.0743187 49.1062692, -123.0738895 49.1053561, -123.0723661 49.1042744, -123.0723339 49.1037195, -123.072248 49.1020126, -123.0714005 49.1015068, -123.066079 49.0977487, -123.0651455 49.0977276, -123.0652528 49.0902525, -123.0630749 49.0902314, -123.0632144 49.0878355, -123.0615943 49.0877933, -123.0616479 49.0873999, -123.0631607 49.087442)",606 - Ladner Exchange to Ladner Ring
,
"LINESTRING (-123.0653601 49.090188, -123.0652368 49.0976508, -123.0661326 49.0977, -123.0715507 49.1015108, -123.0723446 49.1020306, -123.0724358 49.1042327, -123.0739647 49.105332, -123.0743831 49.1062275, -123.075 49.1061327, -123.075853 49.1056691, -123.0767166 49.1055954, -123.0789804 49.1056972, -123.0798226 49.099969, -123.0793988 49.098557, -123.0787658 49.0974787, -123.0782884 49.0970712, -123.0796241 49.0959015, -123.0757296 49.0949742, -123.0803376 49.0917144, -123.0808741 49.0911031, -123.080917 49.0903092, -123.0815768 49.0902038, -123.0822152 49.0899368, -123.0825853 49.0893923, -123.0833631 49.0892096, -123.0941081 49.0892272, -123.0949127 49.0889356, -123.0950522 49.0852678, -123.0795061 49.0851799, -123.078916 49.0852081, -123.0778593 49.0831562, -123.0741954 49.0830824, -123.0733371 49.0832968, -123.0726611 49.0833635, -123.0680155 49.0833705, -123.0671626 49.0834759, -123.0647647 49.0845546, -123.0642605 49.0850675, -123.0641907 49.0866696, -123.0634343 49.0870666, -123.0632573 49.0874776, -123.0617714 49.0874601, -123.0616641 49.0877411, -123.0632734 49.0878149, -123.0631661 49.0901687, -123.0653601 49.090188)",608 - Ladner Ring to Ladner Exchange,
"LINESTRING (-123.104039 49.0442385, -123.100343 49.0419881, -123.100005 49.0418122, -123.0984654 49.0404514, -123.0982294 49.0401683, -123.0973818 49.0380653, -123.0972745 49.0376926, -123.0961373 49.0376433, -123.0957081 49.0377066, -123.0902793 49.0376011, -123.0902579 49.0402175, -123.0875971 49.0402105, -123.0839708 49.041378, -123.0799153 49.041385, -123.0798509 49.0374464, -123.0796578 49.0359131, -123.0798938 49.0291251, -123.079808 49.0282599, -123.0797651 49.0270428, -123.0797436 49.0249042, -123.0772223 49.0249182, -123.0689718 49.0249112, -123.0689826 49.035266, -123.0690148 49.0368134)",609 - Tsawwassen First Nation to South Delta Exchange,
"LINESTRING (-123.0675264 49.0362263, -123.0675533 49.0359942, -123.0671295 49.0359449, -123.0670597 49.0361946, -123.0675318 49.0363142, -123.0675103 49.0368523, -123.0687978 49.0368663, -123.0691948 49.0368593, -123.0692484 49.0047778, -123.0888822 49.0048059, -123.0894508 49.0103727, -123.090749 49.0126809, -123.091661 49.0152986, -123.0916502 49.0158334, -123.0902555 49.0175573, -123.0903198 49.0243327, -123.0756321 49.0243609, -123.0755999 49.0220251, -123.0727889 49.0219899, -123.0728211 49.0243679, -123.0580904 49.0244031, -123.058069 49.0260493, -123.0544319 49.0322961, -123.069184 49.0325704)",614 - South Delta Exchange to English Bluff,
"LINESTRING (-123.0632124 49.0870354, -123.0629308 49.0873499, -123.061528 49.0873235, -123.0615172 49.0878434, -123.0633841 49.0878821, -123.0632929 49.0902921, -123.0814246 49.0903237, -123.0821112 49.0901234, -123.0826906 49.090552, -123.0832431 49.0901867, -123.0867783 49.0901726, -123.0867569 49.0893084, -123.0915419 49.08934, -123.0941383 49.089333, -123.095077 49.0890133, -123.0950985 49.0884934, -123.0952112 49.0851031, -123.0792413 49.0850434, -123.0782381 49.0829915, -123.0740968 49.0829459, -123.0732868 49.0831602, -123.0725679 49.0832305, -123.0679492 49.0832059, -123.0669353 49.0833569, -123.064532 49.0844988, -123.0640063 49.0850082, -123.063942 49.0865752, -123.0632124 49.0870354)",616 - Ladner Exchange to Ladner South
