WKT,name,description
"LINESTRING (-123.1166039 49.2090124, -123.1151394 49.2095416, -123.1151287 49.2109398, -123.1115399 49.2116933, -123.1095175 49.2122908, -123.107994 49.212417, -123.1063203 49.2122978, -123.1038419 49.211681, -123.1020717 49.2110643, -123.1009344 49.2107979, -123.0990354 49.2107348, -123.0962996 49.2110572, -123.0908601 49.2109942, -123.0908922 49.2159842, -123.0907957 49.221177, -123.0906777 49.2246736, -123.0903773 49.235323, -123.0901198 49.2444433, -123.0898408 49.2548363, -123.0897121 49.2565239, -123.0891756 49.2573502, -123.0889181 49.2624196, -123.0895511 49.2623356, -123.0953233 49.2624056, -123.0966965 49.2626647, -123.0990783 49.2627067, -123.1006448 49.264366, -123.1003122 49.2708908, -123.0997221 49.2719339, -123.0995611 49.2795915, -123.0994646 49.2824401, -123.1038419 49.2825311, -123.1087665 49.2834829, -123.1118457 49.2856734, -123.1173388 49.2820272, -123.1189696 49.283091, -123.117371 49.2841968, -123.1157717 49.2852401, -123.1134764 49.2835809, -123.112822 49.283245, -123.1119958 49.2838678, -123.1097965 49.2823421, -123.1067709 49.2816842, -123.1043784 49.2812293, -123.0995075 49.2811593)",N8 - Downtown to Marine Dr Stn via Fraser,
"LINESTRING (-123.130694 49.2741732, -123.1280877 49.2746983, -123.1137209 49.2839582, -123.1158452 49.2854698, -123.1302004 49.2757972, -123.130694 49.2741732, -123.1374746 49.2695671, -123.1377321 49.2682229, -123.1380325 49.2659967, -123.13829 49.2636862, -123.1218963 49.2633922, -123.108614 49.2631261, -123.0966406 49.2630141, -123.095439 49.262692, -123.0570298 49.262384, -123.055914 49.2621739, -123.0529957 49.2621599, -123.0445629 49.2620759, -123.0432325 49.2620199, -123.0317312 49.2620059, -123.0302506 49.262468, -123.0262165 49.2649745, -123.0233841 49.2657166, -123.0235773 49.2615998, -123.0226546 49.2612917, -123.0220967 49.2607351, -123.0214529 49.2608821, -123.0205303 49.2608401, -123.0195432 49.2609101, -123.0142324 49.2608751, -123.0141251 49.2660632, -123.0085676 49.2663257, -123.0060571 49.2663817, -122.9973023 49.2661437, -122.9924529 49.2651355, -122.9909938 49.2649395, -122.9819172 49.2649115, -122.9789883 49.2643624, -122.9684203 49.2606685, -122.9650085 49.2596603, -122.9620259 49.2591421, -122.9585069 49.258806, -122.9545372 49.25861, -122.952091 49.2582038, -122.9409974 49.2546186, -122.9387443 49.2543105, -122.9254835 49.2541704, -122.9190677 49.2534281, -122.9189604 49.2542439, -122.9180619 49.2540431, -122.9178768 49.2536697, -122.9182952 49.2535577, -122.9183274 49.2541039, -122.9189067 49.2542299, -122.9190677 49.2534456, -122.9138427 49.2526543, -122.9031461 49.2510261, -122.9000562 49.2499476, -122.897374 49.2486589, -122.895829 49.248785, -122.8954213 49.2483087, -122.8946703 49.2481407, -122.8935116 49.2481407, -122.8932541 49.2550878, -122.8933614 49.2593452, -122.8834265 49.2669488, -122.8762596 49.2724092, -122.8754657 49.2734872, -122.8746932 49.2745652, -122.8737491 49.2747472, -122.8712894 49.2742869, -122.8700798 49.2746912, -122.8691357 49.2764832, -122.8674646 49.2766983, -122.8589218 49.2767071, -122.848665 49.2768471, -122.833237 49.2768611, -122.8311985 49.2766651, -122.8297608 49.2766371, -122.827658 49.2774911, -122.8274863 49.2799128, -122.8288811 49.2842101, -122.8271645 49.284504, -122.8256624 49.284532, -122.8246324 49.2843081, -122.8234523 49.2837762, -122.8218 49.284728, -122.8203624 49.2850359, -122.8192037 49.28491, -122.81753 49.284532, -122.8162425 49.2838742, -122.8148907 49.2836082, -122.8134315 49.2835942, -122.8115003 49.2840281, -122.8084963 49.28484, -122.8055566 49.2851899, -122.7992909 49.2853858, -122.794699 49.2852039, -122.7927893 49.2850079, -122.7936905 49.2832863, -122.7937763 49.2806827, -122.7978962 49.2761472, -122.801029 49.2767491, -122.8009217 49.2763292, -122.7994197 49.2762732, -122.7989476 49.2760772)",N9 - Downtown to Coquitlam Ctrl Stn,
"LINESTRING (-123.1309229 49.2742927, -123.1274475 49.2747546, -123.1133276 49.2840076, -123.1157094 49.2857432, -123.1304938 49.2758466, -123.1309229 49.2742927, -123.1376663 49.2696328, -123.1385833 49.2633576, -123.1394631 49.2366328, -123.1403643 49.2058492, -123.1399566 49.2052253, -123.1350857 49.2034869, -123.1346566 49.2022952, -123.1368023 49.1969952, -123.1378537 49.1958034, -123.1408149 49.1950041, -123.142553 49.1946255, -123.1423813 49.1921855, -123.1424028 49.1909375, -123.1408578 49.1919191, -123.1416947 49.1921435, -123.1696649 49.1922148, -123.1746377 49.191478, -123.1751392 49.1911587, -123.1756313 49.1912128, -123.1754214 49.1918184, -123.1786961 49.1922088, -123.1796682 49.1923409, -123.1805298 49.1928206, -123.180426 49.1935926, -123.1801291 49.1943365, -123.1787432 49.1947404, -123.1777825 49.194731, -123.1761781 49.1946374, -123.1747239 49.1944176, -123.1725966 49.1933016, -123.1710019 49.1929399, -123.1668733 49.1928642, -123.1667585 49.1931012, -123.1667294 49.1937519, -123.1619153 49.1932177, -123.1566384 49.1932275, -123.1550159 49.1932831, -123.1532217 49.1938715, -123.1520366 49.1951044, -123.1516453 49.1966107, -123.1505913 49.1969571, -123.1500644 49.1967938, -123.1508524 49.1958709, -123.1510532 49.1950168, -123.1506816 49.1933558, -123.1505601 49.1921606, -123.1416947 49.1921435, -123.1407988 49.1921996, -123.139742 49.192361, -123.1377115 49.1920174, -123.1336962 49.1910498, -123.1244669 49.1910638, -123.124444 49.1940576, -123.1255463 49.1956182, -123.1262967 49.1951976, -123.1255463 49.1956182, -123.124444 49.1940576, -123.1244669 49.1910638, -123.1302662 49.1910421, -123.1352899 49.1860385, -123.1364354 49.1847779, -123.1365678 49.1819728, -123.1367883 49.1748056, -123.1365796 49.1679464)",N10 - Downtown to Richmond-Brighouse Stn,
"LINESTRING (-123.1171139 49.2089201, -123.1168456 49.2194468, -123.1164809 49.2284018, -123.1160624 49.2381432, -123.1184157 49.2406383, -123.1182726 49.2427804, -123.1158908 49.2446155, -123.115526 49.2459602, -123.1149896 49.2598121, -123.1149013 49.2694013, -123.114775 49.273604, -123.1155689 49.2745, -123.1181009 49.2760399, -123.1115778 49.2803795, -123.1100972 49.2814574, -123.1137665 49.283529, -123.1169422 49.2814154, -123.1197532 49.283319, -123.1158049 49.2858805, -123.1130369 49.2840469, -123.1184013 49.2804215, -123.1159766 49.2788222, -123.1175216 49.2777513, -123.1165697 49.2771398, -123.114893 49.2759559, -123.1146355 49.275312, -123.1146722 49.2742524, -123.1147643 49.273646)",N15 - Downtown to Marine Dr Stn via Cambie St,
"LINESTRING (-123.2466587 49.2660273, -123.2415947 49.2669654, -123.2383772 49.266658, -123.2361015 49.2658033, -123.2334473 49.2642181, -123.2317897 49.263616, -123.2294496 49.2633948, -123.2150086 49.2638569, -123.1855687 49.2634508, -123.1855472 49.264277, -123.1505927 49.2638009, -123.1387695 49.2635068, -123.1379327 49.2697937, -123.131667 49.2740639, -123.1307658 49.2760658, -123.1159815 49.2860603, -123.1127843 49.2840868, -123.1274613 49.2744699, -123.1315168 49.2740779)",N17 - Downtown to UBC via Broadway,
"LINESTRING (-122.8479522 49.1915097, -122.8479951 49.18813, -122.8497117 49.1884385, -122.8496045 49.1908366, -122.8502482 49.1916079, -122.8453558 49.191678, -122.8453558 49.1974833, -122.8462785 49.1993902, -122.8514069 49.2028252, -122.8566211 49.2064703, -122.8585738 49.2071152, -122.8605908 49.2072834, -122.8674572 49.206274, -122.8745812 49.2059656, -122.8744739 49.2041992, -122.8756755 49.2040029, -122.875697 49.2046338, -122.8745168 49.2046197, -122.8745383 49.2059516, -122.8812974 49.2059516, -122.8874558 49.205531, -122.8894943 49.2058254, -122.8986781 49.209232, -122.900266 49.2114328, -122.9079693 49.2070591, -122.9106301 49.2056712, -122.908656 49.2041711, -122.9132264 49.2015914, -122.9125827 49.2010586, -122.9120463 49.201283, -122.914707 49.2035122, -122.9111451 49.205517, -122.9368728 49.226037, -122.9509276 49.2184411, -122.9650467 49.2186373, -122.976312 49.2212091, -122.9939073 49.2268428, -123.0059236 49.2307103, -123.0131334 49.2329802, -123.0308689 49.2319889, -123.038668 49.2353901, -123.0448478 49.2363429, -123.0756181 49.2500713, -123.0902093 49.2571022, -123.0929559 49.2578864, -123.0964006 49.2596895, -123.1002944 49.2644401, -123.0998653 49.2706569, -123.0989211 49.2719729, -123.0993634 49.2803977, -123.1041937 49.2805217, -123.109703 49.281554, -123.1158763 49.2852639, -123.1189696 49.283091, -123.1171253 49.2818624, -123.1142148 49.2837427)",N19 - Downtown to Surrey Ctrl Stn via Kingsway,
"LINESTRING (-123.1174284 49.2090586, -123.1176645 49.2100118, -123.1150037 49.2111473, -123.1116349 49.2118201, -123.1093174 49.2125771, -123.1061203 49.212521, -123.1024939 49.2113856, -123.1007773 49.2109931, -123.0992753 49.2108669, -123.096593 49.2112454, -123.0803281 49.2111893, -123.070758 49.2110071, -123.0660373 49.2097315, -123.065694 49.2233972, -123.0649859 49.2485604, -123.0651361 49.2515999, -123.06593 49.2526783, -123.0687839 49.2548772, -123.069771 49.2563618, -123.0696208 49.2623135, -123.0695135 49.2702947, -123.0693847 49.2749988, -123.0694062 49.2770147, -123.0702001 49.2778546, -123.0699855 49.2809622, -123.0779798 49.2811791, -123.0797273 49.2807943, -123.1043178 49.2810742, -123.1097681 49.2820961, -123.1153184 49.2855158, -123.1191302 49.2831511, -123.1173059 49.2818597, -123.113373 49.2843076)",N20 - Downtown to Marine Dr Stn via Victoria Dr,
"LINESTRING (-123.185477 49.2343621, -123.1857192 49.2343538, -123.1858578 49.2348034, -123.1778166 49.2348139, -123.1703278 49.2348332, -123.1702206 49.2479177, -123.1708919 49.248363, -123.1719586 49.2499768, -123.1703815 49.2494515, -123.1678709 49.2481979, -123.1677805 49.2561749, -123.1683859 49.2572527, -123.1681821 49.2638905, -123.1684511 49.2648327, -123.16814 49.2714554, -123.1648561 49.2727464, -123.1454155 49.2724314, -123.1445786 49.2730614, -123.1325731 49.2769183, -123.1211898 49.2843443, -123.1173059 49.2818597, -123.1152138 49.2805789, -123.1134436 49.2816918, -123.1119844 49.2827976, -123.1157717 49.2852401, -123.1176707 49.2864787, -123.1211791 49.2843513)",N22 - Downtown to Dunbar Loop,
"LINESTRING (-123.0433431 49.3340496, -123.038558 49.3368321, -123.0378248 49.3361341, -123.0379372 49.3333734, -123.0424848 49.3333365, -123.0437722 49.3340496, -123.0432787 49.3343327, -123.0416601 49.3352331, -123.0421415 49.3354933, -123.0718281 49.3356611, -123.0723383 49.3179518, -123.079392 49.3111718, -123.0797031 49.3107941, -123.0801496 49.3103927, -123.0821344 49.3111691, -123.0827608 49.3105003, -123.0821344 49.3111691, -123.08319 49.3116755, -123.0826428 49.3124518, -123.0802181 49.3148299, -123.0899492 49.3191311, -123.0915365 49.3200897, -123.1019333 49.3237956, -123.1211486 49.3239844, -123.1290293 49.3262226, -123.1363192 49.3179212, -123.1437113 49.3097869, -123.1443067 49.308807, -123.1446555 49.3080661, -123.1452079 49.3063167, -123.1452885 49.3054289, -123.1452134 49.3040438, -123.1447628 49.3028055, -123.1436148 49.3013294, -123.1423488 49.3002589, -123.1409862 49.2993774, -123.1376817 49.2980481, -123.1367376 49.2974394, -123.1362226 49.2967537, -123.1360724 49.296194, -123.1365767 49.2951654, -123.1365659 49.2946826, -123.1318023 49.2913939, -123.1299033 49.2902183, -123.1133166 49.2793708, -123.1115999 49.2804417, -123.1101623 49.2815335, -123.1177368 49.2865584, -123.1193354 49.2856067, -123.1175115 49.284263, -123.1158763 49.2852639, -123.1139095 49.2839835, -123.1171253 49.2818624)",N24 - Downtown to Lynn Valley Ctr,
"LINESTRING (-123.1142383 49.2838247, -123.1171253 49.2818624, -123.1190233 49.2831598, -123.1158763 49.2852639, -123.1139808 49.2840067, -123.1129723 49.2845945, -123.1096356 49.282376, -123.1042912 49.2813319, -123.0954521 49.2811302, -123.0798631 49.2808572, -123.0781036 49.2812842, -123.0656581 49.2811022, -123.0396729 49.2809902, -123.0266373 49.2809552, -122.9946547 49.2808782, -122.9936891 49.2807452, -122.9923909 49.2801643, -122.9910712 49.2800663, -122.9882281 49.2803043, -122.9633587 49.2802903, -122.9603331 49.2800873, -122.9584127 49.2803533, -122.9514711 49.2802833, -122.9502587 49.2799473, -122.9429309 49.2756287, -122.9348414 49.2738367, -122.9257219 49.2735288, -122.9302817 49.2760907, -122.9302173 49.2767697, -122.9295414 49.2771336, -122.925282 49.2768116, -122.9209905 49.2776306, -122.9197781 49.2795064, -122.9198318 49.2800103, -122.9186945 49.2799263, -122.9170423 49.2805983, -122.9143493 49.2808082, -122.9109376 49.2804233, -122.9108517 49.2802413, -122.9120748 49.2793384, -122.9128687 49.2784565, -122.9091995 49.2776376, -122.9098003 49.2755307, -122.9135447 49.2754957, -122.9143171 49.2757757, -122.9152291 49.2764127, -122.917922 49.2769446, -122.9205935 49.2778756, -122.9205399 49.2801223, -122.9236941 49.2807172, -122.9257856 49.2812767, -122.927975 49.2811512, -122.9333608 49.2791284, -122.9334574 49.2780995, -122.932878 49.2772736, -122.9303138 49.2761047)",N35 - Downtown to SFU via Hastings St,
