Route,Subregion,DayType,AvgDailyBoardings,Note
002,Vancouver/UBC,Sat,4500,
002,Vancouver/UBC,Mon-Fri,6700,
002,Vancouver/UBC,Sun/Hol,3400,
003,Vancouver/UBC,Sat,6900,
003,Vancouver/UBC,Mon-Fri,7700,
003,Vancouver/UBC,Sun/Hol,5200,
004,Vancouver/UBC,Sat,2800,
004,Vancouver/UBC,Mon-Fri,3300,
004,Vancouver/UBC,Sun/Hol,2200,
005,Vancouver/UBC,Sat,3700,
005,Vancouver/UBC,Mon-Fri,4300,
005,Vancouver/UBC,Sun/Hol,2900,
006,Vancouver/UBC,Sat,3200,
006,Vancouver/UBC,Mon-Fri,4000,
006,Vancouver/UBC,Sun/Hol,2500,
007,Vancouver/UBC,Sat,5100,
007,Vancouver/UBC,Mon-Fri,5700,
007,Vancouver/UBC,Sun/Hol,3800,
008,Vancouver/UBC,Sat,5800,
008,Vancouver/UBC,Mon-Fri,7100,
008,Vancouver/UBC,Sun/Hol,4500,
009,Vancouver/UBC,Sat,6500,
009,Vancouver/UBC,Mon-Fri,9200,
009,Vancouver/UBC,Sun/Hol,5500,
010,Vancouver/UBC,Sat,4000,
010,Vancouver/UBC,Mon-Fri,5900,
010,Vancouver/UBC,Sun/Hol,3100,
014,Vancouver/UBC,Sat,5200,
014,Vancouver/UBC,Mon-Fri,4900,
014,Vancouver/UBC,Sun/Hol,3800,
015,Vancouver/UBC,Sat,1400,
015,Vancouver/UBC,Mon-Fri,1800,
015,Vancouver/UBC,Sun/Hol,1000,
016,Vancouver/UBC,Sat,7600,
016,Vancouver/UBC,Mon-Fri,9800,
016,Vancouver/UBC,Sun/Hol,5300,
017,Vancouver/UBC,Sat,2800,
017,Vancouver/UBC,Mon-Fri,4100,
017,Vancouver/UBC,Sun/Hol,2200,
019,Vancouver/UBC,Sat,7300,
019,Vancouver/UBC,Mon-Fri,7700,
019,Vancouver/UBC,Sun/Hol,5900,
020,Vancouver/UBC,Sat,8300,
020,Vancouver/UBC,Mon-Fri,10600,
