Mode/Line,DayType,Station,AvgDailyBoardings
Canada Line,Mon-Fri,Aberdeen Station,1700
Canada Line,Mon-Fri,Bridgeport Station,3400
Canada Line,Mon-Fri,Broadway–City Hall Station,6000
Canada Line,Mon-Fri,King Edward Station,2900
Canada Line,Mon-Fri,Langara–49th Avenue Station,3100
Canada Line,Mon-Fri,Lansdowne Station,1600
Canada Line,Mon-Fri,Marine Drive Station,5100
Canada Line,Mon-Fri,Oakridge–41st Avenue Station,3400
Canada Line,Mon-Fri,Olympic Village Station,1900
Canada Line,Mon-Fri,Richmond–Brighouse Station,4600
Canada Line,Mon-Fri,Sea Island Station,500
Canada Line,Mon-Fri,Templeton Station,900
Canada Line,Mon-Fri,Vancouver City Centre Station,6000
Canada Line,Mon-Fri,Waterfront Station,4700
Canada Line,Mon-Fri,Yaletown–Roundhouse Station,4300
Canada Line,Mon-Fri,YVR–Airport Station,1200
Canada Line,Sat,Aberdeen Station,1900
Canada Line,Sat,Bridgeport Station,2500
Canada Line,Sat,Broadway–City Hall Station,4600
Canada Line,Sat,King Edward Station,2300
Canada Line,Sat,Langara–49th Avenue Station,2500
Canada Line,Sat,Lansdowne Station,1600
Canada Line,Sat,Marine Drive Station,4400
Canada Line,Sat,Oakridge–41st Avenue Station,2900
Canada Line,Sat,Olympic Village Station,1400
Canada Line,Sat,Richmond–Brighouse Station,4000
Canada Line,Sat,Sea Island Station,300
Canada Line,Sat,Templeton Station,1000
Canada Line,Sat,Vancouver City Centre Station,5400
Canada Line,Sat,Waterfront Station,3400
Canada Line,Sat,Yaletown–Roundhouse Station,3700
Canada Line,Sat,YVR–Airport Station,900
Canada Line,Sun/Hol,Aberdeen Station,1400
Canada Line,Sun/Hol,Bridgeport Station,2200
Canada Line,Sun/Hol,Broadway–City Hall Station,3400
Canada Line,Sun/Hol,King Edward Station,1700
Canada Line,Sun/Hol,Langara–49th Avenue Station,1900
Canada Line,Sun/Hol,Lansdowne Station,1200
Canada Line,Sun/Hol,Marine Drive Station,3500
Canada Line,Sun/Hol,Oakridge–41st Avenue Station,2200
Canada Line,Sun/Hol,Olympic Village Station,1000
Canada Line,Sun/Hol,Richmond–Brighouse Station,3000
Canada Line,Sun/Hol,Sea Island Station,200
Canada Line,Sun/Hol,Templeton Station,1000
Canada Line,Sun/Hol,Vancouver City Centre Station,4000
Canada Line,Sun/Hol,Waterfront Station,2600
Canada Line,Sun/Hol,Yaletown–Roundhouse Station,2800
Canada Line,Sun/Hol,YVR–Airport Station,1200
Expo/Millennium Lines,Mon-Fri,22nd Street Station,5600
Expo/Millennium Lines,Mon-Fri,29th Avenue Station,3500
Expo/Millennium Lines,Mon-Fri,Braid Station,2400
Expo/Millennium Lines,Mon-Fri,Brentwood Town Centre Station,2400
Expo/Millennium Lines,Mon-Fri,Burquitlam Station,1900
Expo/Millennium Lines,Mon-Fri,Burrard Station,8600
Expo/Millennium Lines,Mon-Fri,Columbia Station,2400
Expo/Millennium Lines,Mon-Fri,Commercial–Broadway Station,11100
Expo/Millennium Lines,Mon-Fri,Coquitlam Central Station,2300
Expo/Millennium Lines,Mon-Fri,Edmonds Station,5700
Expo/Millennium Lines,Mon-Fri,Gateway Station,3200
Expo/Millennium Lines,Mon-Fri,Gilmore Station,1700
