Route,Subregion,DayType,AvgDailyBoardings,Notes
2,Vancouver/UBC,Mon-Fri,7800,
2,Vancouver/UBC,Sat,5600,
2,Vancouver/UBC,Sun/Hol,4400,
3,Vancouver/UBC,Mon-Fri,9000,
3,Vancouver/UBC,Sat,7500,
3,Vancouver/UBC,Sun/Hol,6000,
4,Vancouver/UBC,Mon-Fri,5300,
4,Vancouver/UBC,Sat,4600,
4,Vancouver/UBC,Sun/Hol,3800,
5,Vancouver/UBC,Mon-Fri,5400,
5,Vancouver/UBC,Sat,4700,
5,Vancouver/UBC,Sun/Hol,4000,
6,Vancouver/UBC,Mon-Fri,4700,
6,Vancouver/UBC,Sat,3700,
6,Vancouver/UBC,Sun/Hol,3200,
7,Vancouver/UBC,Mon-Fri,7500,
7,Vancouver/UBC,Sat,7000,
7,Vancouver/UBC,Sun/Hol,5200,
8,Vancouver/UBC,Mon-Fri,7800,
8,Vancouver/UBC,Sat,6300,
8,Vancouver/UBC,Sun/Hol,5000,
9,Vancouver/UBC,Mon-Fri,11000,
9,Vancouver/UBC,Sat,7000,
9,Vancouver/UBC,Sun/Hol,5900,
10,Vancouver/UBC,Mon-Fri,7200,
10,Vancouver/UBC,Sat,5100,
10,Vancouver/UBC,Sun/Hol,4000,
14,Vancouver/UBC,Mon-Fri,7600,
14,Vancouver/UBC,Sat,7700,
14,Vancouver/UBC,Sun/Hol,6000,
15,Vancouver/UBC,Mon-Fri,2300,
15,Vancouver/UBC,Sat,1800,
15,Vancouver/UBC,Sun/Hol,1500,
16,Vancouver/UBC,Mon-Fri,13000,
16,Vancouver/UBC,Sat,9700,
16,Vancouver/UBC,Sun/Hol,7600,
17,Vancouver/UBC,Mon-Fri,5400,
17,Vancouver/UBC,Sat,3600,
17,Vancouver/UBC,Sun/Hol,3100,
19,Vancouver/UBC,Mon-Fri,9700,
19,Vancouver/UBC,Sat,9000,
19,Vancouver/UBC,Sun/Hol,7400,
20,Vancouver/UBC,Mon-Fri,11500,
20,Vancouver/UBC,Sat,9200,
20,Vancouver/UBC,Sun/Hol,7300,
22,Vancouver/UBC,Mon-Fri,6600,
22,Vancouver/UBC,Sat,4400,
22,Vancouver/UBC,Sun/Hol,3600,
23,Vancouver/UBC,Mon-Fri,2700,
23,Vancouver/UBC,Sat,2100,
23,Vancouver/UBC,Sun/Hol,1600,
25,Vancouver/UBC,Mon-Fri,17500,
25,Vancouver/UBC,Sat,10500,
25,Vancouver/UBC,Sun/Hol,8100,
26,Vancouver/UBC,Mon-Fri,2900,
26,Vancouver/UBC,Sat,1800,
26,Vancouver/UBC,Sun/Hol,1300,
27,Vancouver/UBC,Mon-Fri,2600,
27,Vancouver/UBC,Sat,1900,
27,Vancouver/UBC,Sun/Hol,1400,
28,Burnaby/New Westminster,Mon-Fri,3800,
28,Burnaby/New Westminster,Sat,2500,
28,Burnaby/New Westminster,Sun/Hol,2000,
29,Vancouver/UBC,Mon-Fri,1300,
29,Vancouver/UBC,Sat,900,
29,Vancouver/UBC,Sun/Hol,700,
31,Vancouver/UBC,Mon-Fri,300,
31,Vancouver/UBC,Sat,200,
31,Vancouver/UBC,Sun/Hol,200,
33,Vancouver/UBC,Mon-Fri,5700,
33,Vancouver/UBC,Sat,2800,
33,Vancouver/UBC,Sun/Hol,2200,
41,Vancouver/UBC,Mon-Fri,3800,
41,Vancouver/UBC,Sat,3400,
41,Vancouver/UBC,Sun/Hol,2900,
44,Vancouver/UBC,Mon-Fri,2700,
49,Vancouver/UBC,Mon-Fri,22400,
49,Vancouver/UBC,Sat,13800,
49,Vancouver/UBC,Sun/Hol,11400,
50,Vancouver/UBC,Mon-Fri,2200,
50,Vancouver/UBC,Sat,2400,
50,Vancouver/UBC,Sun/Hol,1900,
68,Vancouver/UBC,Mon-Fri,1400,
68,Vancouver/UBC,Sat,1300,
68,Vancouver/UBC,Sun/Hol,1200,
84,Vancouver/UBC,Mon-Fri,6200,
84,Vancouver/UBC,Sat,2800,
84,Vancouver/UBC,Sun/Hol,1600,
99,Vancouver/UBC,Mon-Fri,29400,
99,Vancouver/UBC,Sat,19300,
99,Vancouver/UBC,Sun/Hol,13900,
100,Vancouver/UBC,Mon-Fri,7800,
100,Vancouver/UBC,Sat,5500,
100,Vancouver/UBC,Sun/Hol,4700,
101,Burnaby/New Westminster,Mon-Fri,2200,
101,Burnaby/New Westminster,Sat,1300,
101,Burnaby/New Westminster,Sun/Hol,1100,
103,Burnaby/New Westminster,Mon-Fri,1000,
103,Burnaby/New Westminster,Sat,700,
103,Burnaby/New Westminster,Sun/Hol,500,
104,Southeast,Mon-Fri,2500,
104,Southeast,Sat,1000,
104,Southeast,Sun/Hol,600,
105,Burnaby/New Westminster,Mon-Fri,600,
105,Burnaby/New Westminster,Sat,400,
105,Burnaby/New Westminster,Sun/Hol,400,
106,Burnaby/New Westminster,Mon-Fri,7100,
106,Burnaby/New Westminster,Sat,5400,
106,Burnaby/New Westminster,Sun/Hol,4000,
109,Burnaby/New Westminster,Mon-Fri,300,
109,Burnaby/New Westminster,Sat,200,
109,Burnaby/New Westminster,Sun/Hol,100,
110,Burnaby/New Westminster,Mon-Fri,2300,
110,Burnaby/New Westminster,Sat,1100,
110,Burnaby/New Westminster,Sun/Hol,900,
112,Burnaby/New Westminster,Mon-Fri,2600,
112,Burnaby/New Westminster,Sat,1700,
112,Burnaby/New Westminster,Sun/Hol,1200,
116,Burnaby/New Westminster,Mon-Fri,3300,
116,Burnaby/New Westminster,Sat,1100,
116,Burnaby/New Westminster,Sun/Hol,800,
119,Burnaby/New Westminster,Mon-Fri,4800,
119,Burnaby/New Westminster,Sat,3800,
119,Burnaby/New Westminster,Sun/Hol,3100,
123,Burnaby/New Westminster,Mon-Fri,5200,
123,Burnaby/New Westminster,Sat,3200,
123,Burnaby/New Westminster,Sun/Hol,2700,
128,Burnaby/New Westminster,Mon-Fri,1800,
128,Burnaby/New Westminster,Sat,900,
128,Burnaby/New Westminster,Sun/Hol,700,
129,Burnaby/New Westminster,Mon-Fri,2400,
129,Burnaby/New Westminster,Sat,1400,
129,Burnaby/New Westminster,Sun/Hol,1100,
130,Burnaby/New Westminster,Mon-Fri,7400,
130,Burnaby/New Westminster,Sat,4700,
130,Burnaby/New Westminster,Sun/Hol,3700,
131,Burnaby/New Westminster,Mon-Fri,100,
131,Burnaby/New Westminster,Sat,100,
131,Burnaby/New Westminster,Sun/Hol,<100 average daily boardings,
132,Burnaby/New Westminster,Mon-Fri,100,
132,Burnaby/New Westminster,Sat,<100 average daily boardings,
132,Burnaby/New Westminster,Sun/Hol,<100 average daily boardings,
133,Burnaby/New Westminster,Mon-Fri,1600,
133,Burnaby/New Westminster,Sat,800,
133,Burnaby/New Westminster,Sun/Hol,600,
134,Burnaby/New Westminster,Mon-Fri,900,
134,Burnaby/New Westminster,Sat,600,
134,Burnaby/New Westminster,Sun/Hol,500,
136,Burnaby/New Westminster,Mon-Fri,1000,
136,Burnaby/New Westminster,Sat,700,
136,Burnaby/New Westminster,Sun/Hol,500,
143,Northeast Sector,Mon-Fri,1600,
144,Burnaby/New Westminster,Mon-Fri,3600,
144,Burnaby/New Westminster,Sat,1800,
144,Burnaby/New Westminster,Sun/Hol,1400,
145,Burnaby/New Westminster,Mon-Fri,5200,
145,Burnaby/New Westminster,Sat,1400,
145,Burnaby/New Westminster,Sun/Hol,1000,
146,Burnaby/New Westminster,Mon-Fri,200,
146,Burnaby/New Westminster,Sat,200,
146,Burnaby/New Westminster,Sun/Hol,200,
147,Burnaby/New Westminster,Mon-Fri,900,
147,Burnaby/New Westminster,Sat,600,
147,Burnaby/New Westminster,Sun/Hol,500,
148,Burnaby/New Westminster,Mon-Fri,700,
148,Burnaby/New Westminster,Sat,400,
148,Burnaby/New Westminster,Sun/Hol,300,
151,Northeast Sector,Mon-Fri,900,
