Mode/Line,DayType,Station,AvgDailyBoardings
Canada Line,Mon-Fri,Aberdeen Station,2500
Canada Line,Mon-Fri,Bridgeport Station,5700
Canada Line,Mon-Fri,Broadway–City Hall Station,8100
Canada Line,Mon-Fri,King Edward Station,4200
Canada Line,Mon-Fri,Langara–49th Avenue Station,5900
Canada Line,Mon-Fri,Lansdowne Station,2800
Canada Line,Mon-Fri,Marine Drive Station,7100
Canada Line,Mon-Fri,Oakridge–41st Avenue Station,4900
Canada Line,Mon-Fri,Olympic Village Station,2700
Canada Line,Mon-Fri,Richmond–Brighouse Station,7400
Canada Line,Mon-Fri,Sea Island Station,600
Canada Line,Mon-Fri,Templeton Station,2200
Canada Line,Mon-Fri,Vancouver City Centre Station,9400
Canada Line,Mon-Fri,Waterfront Station,8200
Canada Line,Mon-Fri,Yaletown–Roundhouse Station,6100
Canada Line,Mon-Fri,YVR–Airport Station,4300
Canada Line,Sat,Aberdeen Station,2700
Canada Line,Sat,Bridgeport Station,4600
Canada Line,Sat,Broadway–City Hall Station,5900
Canada Line,Sat,King Edward Station,3300
Canada Line,Sat,Langara–49th Avenue Station,3800
Canada Line,Sat,Lansdowne Station,2600
Canada Line,Sat,Marine Drive Station,5900
Canada Line,Sat,Oakridge–41st Avenue Station,3700
Canada Line,Sat,Olympic Village Station,2000
Canada Line,Sat,Richmond–Brighouse Station,5700
Canada Line,Sat,Sea Island Station,400
Canada Line,Sat,Templeton Station,2300
Canada Line,Sat,Vancouver City Centre Station,8400
Canada Line,Sat,Waterfront Station,6000
Canada Line,Sat,Yaletown–Roundhouse Station,5400
Canada Line,Sat,YVR–Airport Station,3700
Canada Line,Sun/Hol,Aberdeen Station,2100
Canada Line,Sun/Hol,Bridgeport Station,3800
Canada Line,Sun/Hol,Broadway–City Hall Station,4500
Canada Line,Sun/Hol,King Edward Station,2500
Canada Line,Sun/Hol,Langara–49th Avenue Station,3000
Canada Line,Sun/Hol,Lansdowne Station,1900
Canada Line,Sun/Hol,Marine Drive Station,4800
Canada Line,Sun/Hol,Oakridge–41st Avenue Station,2900
