Mode/Line,Station,TotalBoardings
Canada Line,Aberdeen Station,204900
Canada Line,Bridgeport Station,439400
Canada Line,Broadway–City Hall Station,602300
Canada Line,King Edward Station,317600
Canada Line,Langara–49th Avenue Station,429000
Canada Line,Lansdowne Station,219000
Canada Line,Marine Drive Station,548100
Canada Line,Oakridge–41st Avenue Station,371200
Canada Line,Olympic Village Station,202400
Canada Line,Richmond–Brighouse Station,558800
Canada Line,Sea Island Station,45000
Canada Line,Templeton Station,189300
Canada Line,Vancouver City Centre Station,738200
Canada Line,Waterfront Station,615400
Canada Line,Yaletown–Roundhouse Station,479900
Canada Line,YVR–Airport Station,348800
Expo/Millennium Lines,22nd Street Station,532200
Expo/Millennium Lines,29th Avenue Station,345900
Expo/Millennium Lines,Braid Station,212300
Expo/Millennium Lines,Brentwood Town Centre Station,325400
Expo/Millennium Lines,Burquitlam Station,215900
Expo/Millennium Lines,Burrard Station,875100
Expo/Millennium Lines,Columbia Station,223600
Expo/Millennium Lines,Commercial–Broadway Station,1091200
Expo/Millennium Lines,Coquitlam Central Station,244600
Expo/Millennium Lines,Edmonds Station,548300
Expo/Millennium Lines,Gateway Station,287800
Expo/Millennium Lines,Gilmore Station,166700
Expo/Millennium Lines,Granville Station,856600
Expo/Millennium Lines,Holdom Station,138800
Expo/Millennium Lines,Inlet Centre Station,98000
Expo/Millennium Lines,Joyce–Collingwood Station,830400
Expo/Millennium Lines,King George Station,680500
Expo/Millennium Lines,Lafarge Lake-Douglas Station,126400
Expo/Millennium Lines,Lake City Way Station,53600
Expo/Millennium Lines,Lincoln Station,194100
Expo/Millennium Lines,Lougheed Town Centre Station,563000
Expo/Millennium Lines,Main Street–Science World Station,557300
Expo/Millennium Lines,Metrotown Station,1220300
Expo/Millennium Lines,Moody Centre Station,114300
Expo/Millennium Lines,Nanaimo Station,346400
Expo/Millennium Lines,New Westminster Station,783000
Expo/Millennium Lines,Patterson Station,205800
Expo/Millennium Lines,Production Way–University Station,290800
Expo/Millennium Lines,Renfrew Station,167100
Expo/Millennium Lines,Royal Oak Station,283700
Expo/Millennium Lines,Rupert Station,147900
Expo/Millennium Lines,Sapperton Station,144300
Expo/Millennium Lines,Scott Road Station,540600
Expo/Millennium Lines,Sperling–Burnaby Lake Station,89200
Expo/Millennium Lines,Stadium–Chinatown Station,668300
Expo/Millennium Lines,Surrey Central Station,733100
Expo/Millennium Lines,VCC–Clark Station,135300
Expo/Millennium Lines,Waterfront Station,726100
West Coast Express,Coquitlam Central Station,16000
West Coast Express,Maple Meadows Station,10600
West Coast Express,Mission City Station,12900
West Coast Express,Moody Centre Station,18100
West Coast Express,Pitt Meadows Station,6400
West Coast Express,Port Coquitlam Station,16000
West Coast Express,Port Haney Station,9800
West Coast Express,Waterfront Station,77200
