Station Code,StationName,line,sub_region,platform_level,platform_type,faregate_count,bike_parkade,connecting_routes,population_800m,employment_800m,service_change_1,service_change_2,service_change_3,service_change_4,service_change_5,service_change_6
TS,22nd Street Station,Expo Line,Burnaby/New Westminster,Elevated,Side,6,No,100; 101; 104; 128; 155; 340; 388; 410; 418,4000,2000,"-July 2019, upgrades to bus exchange completed","-Sep 2019, new battery electric bus charging station at bus exchange opened",,,,
TN,29th Avenue Station,Expo Line,Vancouver/UBC,Below ground,Centre,10,No,16; 26; 29; 33,15000,3000,None,,,,,
AB,Aberdeen Station,Canada Line,Southwest,Elevated,Side,8,No,403; 410; N10,4000,15000,"-September 2014, New direct entrance to inbound platform from Aberdeen Square mall opened",,,,,
BD,Braid Station,Expo Line,Burnaby/New Westminster,Elevated,Side,6,No,128; 153; 155; 156; 159; 169; 791,3000,2000,None,,,,,
BR,Brentwood Town Centre Station,Millennium Line,Burnaby/New Westminster,Elevated,Side,3,No,25; 123; 130; 134; 136; N9,16000,11000,None,,,,,
BP,Bridgeport Station,Canada Line,Southwest,Elevated,Centre,5,Under construction,311; 351; 352; 354; 403; 407; 412; 430; 480; 601; 602; 603; 604; 620; N10,4000,3000,None,,,,,
BC,Broadway-City Hall Station,Canada Line,Vancouver/UBC,Below ground,Side,5,No,9; 15; 17; 99; N9; N15,17000,24000,None,,,,,
BQ,Burquitlam Station,Millennium Line,Northeast Sector,Elevated,Side,5,Under construction,143; 151; 156; 157; 180; N9,12000,2000,"-December 2, 2016, Station opened as part of the Millennium Line Evergreen Extension",,,,,
BU,Burrard Station,Expo Line,Vancouver/UBC,Below ground,Side (stacked),17,No,2; 5; 19; 22; 32; 44; 95; 209; 210; 211; 214; N22; N24,27000,103000,None,,,,,
CO,Columbia Station,Expo Line,Burnaby/New Westminster,Below ground,Side,9,No,103; 105; 109; N19,15000,8000,None,,,,,
CM,Commercial-Broadway Station,Expo Line / Millennium Line,Vancouver/UBC,Elevated & below ground,Centre,22,Yes,9; 20; 99; N9; N20,28000,9000,"-Spring 2015, Station upgrades started","-January 2019, Station upgrades completed with all-door boarding for inbound trains on platforms 3 and 5",,,,
CC,Coquitlam Central Station,Millennium Line ,Northeast Sector,Elevated,Side,6,No,151; 152; 153; 159; 160; 169; 171; 172; 173; 174; 175; 183; 185; 186; 187; 188; 189; 191; 701; N9,4000,5000,"-December 2, 2016, Station opened as part of the Millennium Line Evergreen Extension (WCE station opened in 1995)",,,,,
WCOQ,Coquitlam Central Station,West Coast Express,Northeast Sector,At ground level,Side (single),Validators only,No,151; 152; 153; 159; 160; 169; 171; 172; 173; 174; 175; 183; 185; 186; 187; 188; 189; 191; 701; N9,4000,6000,"-December 2, 2016, West Coast Express station connected with new Millennium Line Evergreen Extension",,,,,
