Calendar_Year,Station_Name,Day_Type,Average_Daily_Station_Boardings
2018,22nd Street Station,MF,10446
2018,22nd Street Station,Sat,6795
2018,22nd Street Station,Sun/Hol,5339
2018,29th Avenue Station,MF,7365
2018,29th Avenue Station,Sat,5909
2018,29th Avenue Station,Sun/Hol,4691
2018,Aberdeen Station,MF,4327
2018,Aberdeen Station,Sat,4849
2018,Aberdeen Station,Sun/Hol,3928
2018,Braid Station,MF,4085
2018,Braid Station,Sat,2586
2018,Braid Station,Sun/Hol,1902
2018,Brentwood Town Centre Station,MF,5628
2018,Brentwood Town Centre Station,Sat,3011
2018,Brentwood Town Centre Station,Sun/Hol,2142
2018,Bridgeport Station,MF,11629
2018,Bridgeport Station,Sat,9064
2018,Bridgeport Station,Sun/Hol,7512
2018,Broadway-City Hall Station,MF,14767
2018,Broadway-City Hall Station,Sat,9952
2018,Broadway-City Hall Station,Sun/Hol,7727
2018,Burquitlam Station,MF,4335
2018,Burquitlam Station,Sat,2928
2018,Burquitlam Station,Sun/Hol,2212
2018,Burrard Station,MF,24251
2018,Burrard Station,Sat,12258
2018,Burrard Station,Sun/Hol,10050
2018,Columbia Station,MF,5044
2018,Columbia Station,Sat,3473
2018,Columbia Station,Sun/Hol,2499
2018,Commercial-Broadway Station,MF,25268
2018,Commercial-Broadway Station,Sat,18224
2018,Commercial-Broadway Station,Sun/Hol,13915
2018,Coquitlam Central Station,MF,4505
2018,Coquitlam Central Station,Sat,3388
2018,Coquitlam Central Station,Sun/Hol,2449
2018,Edmonds Station,MF,12238
2018,Edmonds Station,Sat,7893
2018,Edmonds Station,Sun/Hol,6055
2018,Gateway Station,MF,5702
2018,Gateway Station,Sat,3886
2018,Gateway Station,Sun/Hol,3060
2018,Gilmore Station,MF,4025
2018,Gilmore Station,Sat,1944
2018,Gilmore Station,Sun/Hol,1400
2018,Granville Station,MF,20836
2018,Granville Station,Sat,15933
2018,Granville Station,Sun/Hol,12436
2018,Holdom Station,MF,3262
2018,Holdom Station,Sat,2226
2018,Holdom Station,Sun/Hol,1637
2018,Inlet Centre Station,MF,2062
2018,Inlet Centre Station,Sat,1489
2018,Inlet Centre Station,Sun/Hol,1007
2018,Joyce-Collingwood Station,MF,14682
2018,Joyce-Collingwood Station,Sat,11714
2018,Joyce-Collingwood Station,Sun/Hol,9847
2018,King Edward Station,MF,6749
2018,King Edward Station,Sat,5262
2018,King Edward Station,Sun/Hol,4124
2018,King George Station,MF,14324
2018,King George Station,Sat,8748
2018,King George Station,Sun/Hol,6537
2018,Lafarge Lake-Douglas Station,MF,2952
2018,Lafarge Lake-Douglas Station,Sat,1590
2018,Lafarge Lake-Douglas Station,Sun/Hol,1210
2018,Lake City Way Station,MF,1241
2018,Lake City Way Station,Sat,712
2018,Lake City Way Station,Sun/Hol,487
2018,Langara-49th Avenue Station,MF,8095
2018,Langara-49th Avenue Station,Sat,5179
2018,Langara-49th Avenue Station,Sun/Hol,4162
