Calendar_Year,Station_Name,Annual_Station_Boardings
2018,22nd Street Station,3301233
2018,29th Avenue Station,2444096
2018,Aberdeen Station,1581335
2018,Braid Station,1275628
2018,Brentwood Town Centre Station,1698566
2018,Bridgeport Station,3851841
2018,Broadway-City Hall Station,4695886
2018,Burquitlam Station,1375297
2018,Burrard Station,7333244
2018,Columbia Station,1599108
2018,Commercial-Broadway Station,8141240
2018,Coquitlam Central Station,1456735
2018,Edmonds Station,3851434
2018,Gateway Station,1820264
2018,Gilmore Station,1195560
2018,Granville Station,6820984
2018,Holdom Station,1034255
2018,Inlet Centre Station,656291
2018,Joyce-Collingwood Station,4899991
2018,King Edward Station,2220659
2018,King George Station,4447647
2018,Lafarge Lake-Douglas Station,896911
2018,Lake City Way Station,377859
2018,Langara-49th Avenue Station,2555178
2018,Lansdowne Station,1578041
2018,Lincoln Station,1325188
2018,Lougheed Town Centre Station,4087371
2018,Main Street-Science World Station,4918676
2018,Marine Drive Station,3467207
2018,Metrotown Station,8213493
2018,Moody Centre Station,731723
2018,Nanaimo Station,2314059
2018,New Westminster Station,5048852
2018,Oakridge-41st Avenue Station,2901082
2018,Olympic Village Station,1693487
2018,Patterson Station,1617352
2018,Production Way-University Station,1828386
2018,Renfrew Station,1337162
2018,Richmond-Brighouse Station,3968279
2018,Royal Oak Station,1847187
2018,Rupert Station,1007885
2018,Sapperton Station,964622
2018,Scott Road Station,3080982
2018,Sea Island Station,296249
2018,Sperling-Burnaby Lake Station,677883
2018,Stadium-Chinatown Station,5687240
2018,Surrey Central Station,4209767
2018,Templeton Station,1185216
2018,Vancouver City Centre Station,6253182
2018,VCC-Clark Station,1029028
2018,Waterfront Station,12616840
2018,Yaletown-Roundhouse Station,3611252
2018,YVR-Airport Station,3012152
2019,22nd Street Station,3452254
2019,29th Avenue Station,2519145
2019,Aberdeen Station,1608425
2019,Braid Station,1326541
2019,Brentwood Town Centre Station,1792211
2019,Bridgeport Station,3937719
2019,Broadway-City Hall Station,4748380
2019,Burquitlam Station,1441412
2019,Burrard Station,7604641
2019,Columbia Station,1639877
2019,Commercial-Broadway Station,8102795
2019,Coquitlam Central Station,1539785
2019,Edmonds Station,3966667
2019,Gateway Station,1920488
2019,Gilmore Station,1238581
2019,Granville Station,6628061
2019,Holdom Station,1047458
2019,Inlet Centre Station,694178
2019,Joyce-Collingwood Station,5132539
2019,King Edward Station,2369840
2019,King George Station,4722245
2019,Lafarge Lake-Douglas Station,935249
2019,Lake City Way Station,384184
2019,Langara-49th Avenue Station,2686794
2019,Lansdowne Station,1663417
2019,Lincoln Station,1394719
2019,Lougheed Town Centre Station,4143692
2019,Main Street-Science World Station,4955600
2019,Marine Drive Station,3753826
2019,Metrotown Station,8904549
2019,Moody Centre Station,804711
2019,Nanaimo Station,2278961
2019,New Westminster Station,5227146
2019,Oakridge-41st Avenue Station,2835504
2019,Olympic Village Station,1710354
2019,Patterson Station,1606383
2019,Production Way-University Station,1860914
2019,Renfrew Station,1351762
2019,Richmond-Brighouse Station,4104644
2019,Royal Oak Station,1901887
2019,Rupert Station,974512
2019,Sapperton Station,992237
2019,Scott Road Station,3299803
2019,Sea Island Station,326892
2019,Sperling-Burnaby Lake Station,665763
2019,Stadium-Chinatown Station,5621549
2019,Surrey Central Station,4522398
2019,Templeton Station,1315463
2019,Vancouver City Centre Station,6257724
2019,VCC-Clark Station,1058982
2019,Waterfront Station,13271047
2019,Yaletown-Roundhouse Station,3722283
2019,YVR-Airport Station,3139230
2022,22nd Street Station,2773423
2022,29th Avenue Station,1879279
2022,Aberdeen Station,1065506
2022,Braid Station,1034253
2022,Brentwood Town Centre Station,1682625
2022,Bridgeport Station,2534048
2022,Broadway-City Hall Station,2893707
2022,Burquitlam Station,1124718
2022,Burrard Station,4860970
2022,Columbia Station,1146714
2022,Commercial-Broadway Station,5369844
2022,Coquitlam Central Station,1255895
2022,Edmonds Station,2864708
2022,Gateway Station,1564362
2022,Gilmore Station,888582
2022,Granville Station,4811385
2022,Holdom Station,714221
2022,Inlet Centre Station,520194
2022,Joyce-Collingwood Station,4239711
2022,King Edward Station,1672966
2022,King George Station,3549577
2022,Lafarge Lake-Douglas Station,590365
2022,Lake City Way Station,251588
2022,Langara-49th Avenue Station,2025730
2022,Lansdowne Station,1128318
2022,Lincoln Station,985428
2022,Lougheed Town Centre Station,2942749
2022,Main Street-Science World Station,3122820
2022,Marine Drive Station,2786829
2022,Metrotown Station,6647886
2022,Moody Centre Station,616187
2022,Nanaimo Station,1824044
2022,New Westminster Station,3785995
2022,Oakridge-41st Avenue Station,1954455
2022,Olympic Village Station,1036950
2022,Patterson Station,1091381
2022,Production Way-University Station,1251382
2022,Renfrew Station,843630
2022,Richmond-Brighouse Station,2869172
2022,Royal Oak Station,1442612
2022,Rupert Station,742578
2022,Sapperton Station,721571
2022,Scott Road Station,2807301
2022,Sea Island Station,250966
2022,Sperling-Burnaby Lake Station,473948
2022,Stadium-Chinatown Station,3655083
2022,Surrey Central Station,3894225
2022,Templeton Station,1050517
2022,Vancouver City Centre Station,4027823
2022,VCC-Clark Station,637493
2022,Waterfront Station,7891229
2022,Yaletown-Roundhouse Station,2547078
2022,YVR-Airport Station,2225060
