SeasonYear,Lineno_renamed,DayType,Season,Hour_Range,Annual_Revenue_Hours,Annual_Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip
2022,2,MF,Fall,4,130.8,205.2,2,39.37960428,17.88490361
2022,2,MF,Fall,6,1778.4,2419.2,8.833333333,86.01901112,40.08810518
2022,2,MF,Fall,9,2936.4,3960,6.75,72.97782054,36.74418248
2022,2,MF,Fall,15,2248.8,2929.766667,9.666666667,85.74437412,46.17383825
2022,2,MF,Fall,18,1327.2,1714.8,6.333333333,77.14352771,37.42137792
2022,2,MF,Fall,21,798,1142.4,4,64.56283766,29.81547712
2022,2,MF,Fall,24,219.6,430.8,1.75,26.0708377,11.35943643
2022,2,MF,Summer,4,87.2,136.8,2,36.41922508,16.54039806
2022,2,MF,Summer,6,1185.6,1612.8,8.833333333,75.78787523,35.32000978
2022,2,MF,Summer,9,1960,2642.4,6.75,75.37102521,37.99568144
2022,2,MF,Summer,15,1500.8,1964,9.666666667,86.64272837,46.70740185
2022,2,MF,Summer,18,884.8,1143.2,6.333333333,101.5482246,49.25979667
2022,2,MF,Summer,21,532,761.6,4,79.22531665,36.58669137
2022,2,MF,Summer,24,146.4,287.2,1.75,33.04842764,14.39967205
2022,2,SAT,Fall,4,6.5,22.75,1,26.90918681,11.66064762
2022,2,SAT,Fall,6,151.75,230.75,4,58.42505977,24.62778561
2022,2,SAT,Fall,9,549.75,716.25,6,82.25853032,41.87187689
2022,2,SAT,Fall,15,299.5,360.5,6,104.480049,57.94773086
2022,2,SAT,Fall,18,250.5,353,5.822222222,82.7204337,39.46946408
2022,2,SAT,Fall,21,152.5,228,3.977777778,80.83892036,34.24426487
2022,2,SAT,Fall,24,80,134,3.233333333,34.59532856,14.19295531
2022,2,SAT,Summer,4,4.3333333,15.1666666,1,22.43799699,9.723131955
2022,2,SAT,Summer,6,101.1666665,153.8333332,4,56.71548309,23.90715151
2022,2,SAT,Summer,9,406.3333331,547.8333331,6.583333333,78.3844195,40.31671195
2022,2,SAT,Summer,15,248.6666666,316.8333333,7.5,99.8366257,55.16897982
2022,2,SAT,Summer,18,198.8333332,266.3333332,6.666666667,118.2327408,58.77152489
2022,2,SAT,Summer,21,105.3333332,153.4999999,4.166666667,140.0954685,59.02689066
