SeasonYear,Lineno_renamed,DayType,Season,HourRange,direction_updated,Average_Peak_Passenger_Load,Average_Peak_Load_Factor
2022,2,Sun/Hol,Summer,18,EAST,45.2343254,90.46865079
2022,2,Sun/Hol,Summer,18,WEST,37.53788515,75.07577031
2022,2,Sun/Hol,Summer,21,EAST,29.35704365,58.7140873
2022,2,Sun/Hol,Summer,21,WEST,28.95744048,57.91488095
2022,2,Sun/Hol,Summer,24,EAST,5.8,11.6
2022,2,Sun/Hol,Summer,24,WEST,7.869047619,15.73809524
2022,2,Sun/Hol,Summer,15,WEST,41.89978355,83.7995671
2022,2,Sun/Hol,Summer,15,EAST,34.2826087,68.56521739
2022,2,Sun/Hol,Summer,9,WEST,28.37111315,56.74222629
2022,2,Sun/Hol,Summer,9,EAST,28.56300595,57.1260119
2022,2,Sun/Hol,Summer,6,WEST,17.49666667,34.99333333
2022,2,Sun/Hol,Summer,6,EAST,14.55128205,29.1025641
2022,2,Sun/Hol,Fall,24,WEST,7.942096336,15.88419267
2022,2,Sun/Hol,Fall,24,EAST,4.636079545,9.272159091
2022,2,Sun/Hol,Fall,21,WEST,19.79770511,39.59541021
2022,2,Sun/Hol,Fall,21,EAST,15.22867931,30.45735862
2022,2,Sun/Hol,Fall,18,WEST,33.73213984,67.46427969
2022,2,Sun/Hol,Fall,18,EAST,28.79196624,57.58393248
2022,2,Sun/Hol,Fall,15,WEST,38.35564314,76.71128628
2022,2,Sun/Hol,Fall,15,EAST,32.68454717,65.36909434
2022,2,Sun/Hol,Fall,9,WEST,25.97276187,51.94552374
2022,2,Sun/Hol,Fall,9,EAST,26.83333293,53.66666585
2022,2,Sun/Hol,Fall,6,WEST,19.12548767,38.25097534
2022,2,Sun/Hol,Fall,6,EAST,15.15238428,30.30476856
2022,2,Sun/Hol,Fall,4,WEST,NULL,NULL
2022,2,Sun/Hol,Fall,4,EAST,NULL,NULL
2022,2,Sat,Summer,24,WEST,15.48809524,30.97619048
2022,2,Sat,Summer,24,EAST,12.95,25.9
2022,2,Sat,Summer,21,WEST,34.8525641,69.70512821
2022,2,Sat,Summer,21,EAST,47.92916667,95.85833333
2022,2,Sat,Summer,18,WEST,40.18968254,80.37936508
2022,2,Sat,Summer,18,EAST,44.02894737,88.05789474
2022,2,Sat,Summer,15,WEST,47.93768116,95.87536232
2022,2,Sat,Summer,15,EAST,44.58636364,89.17272727
2022,2,Sat,Summer,9,WEST,33.40671551,66.81343101
2022,2,Sat,Summer,9,EAST,27.81395833,55.62791667
2022,2,Sat,Summer,6,WEST,21.83030303,43.66060606
2022,2,Sat,Summer,6,EAST,17.74358974,35.48717949
2022,2,Sat,Summer,4,EAST,NULL,NULL
2022,2,Sat,Fall,24,WEST,18.4324452,36.8648904
2022,2,MF,Fall,4,EAST,16.4544328,32.9088656
