CalendarYear,StationName,DayType,Hour,Average_Daily_Station_Alightings,Average_Daily_Station_Boardings
2022,22nd Street Station,MF,12:00 to 1:00 AM,96,76
2022,22nd Street Station,MF,1:00 to 2:00 AM,19,15
2022,22nd Street Station,MF,2:00 to 3:00 AM,0,0
2022,22nd Street Station,MF,3:00 to 4:00 AM,0,0
2022,22nd Street Station,MF,4:00 to 5:00 AM,0,0
2022,22nd Street Station,MF,5:00 to 6:00 AM,330,210
2022,22nd Street Station,MF,6:00 to 7:00 AM,737,684
2022,22nd Street Station,MF,7:00 to 8:00 AM,735,779
2022,22nd Street Station,MF,8:00 to 9:00 AM,525,698
2022,22nd Street Station,MF,9:00 to 10:00 AM,268,452
2022,22nd Street Station,MF,10:00 to 11:00 AM,202,325
2022,22nd Street Station,MF,11:00 AM to 12:00 PM,236,347
2022,22nd Street Station,MF,12:00 to 1:00 PM,306,350
2022,22nd Street Station,MF,1:00 to 2:00 PM,367,351
2022,22nd Street Station,MF,2:00 to 3:00 PM,435,411
2022,22nd Street Station,MF,3:00 to 4:00 PM,603,651
2022,22nd Street Station,MF,4:00 to 5:00 PM,721,870
2022,22nd Street Station,MF,5:00 to 6:00 PM,787,822
2022,22nd Street Station,MF,6:00 to 7:00 PM,653,568
2022,22nd Street Station,MF,7:00 to 8:00 PM,419,325
2022,22nd Street Station,MF,8:00 to 9:00 PM,337,227
2022,22nd Street Station,MF,9:00 to 10:00 PM,325,175
2022,22nd Street Station,MF,10:00 to 11:00 PM,248,187
2022,22nd Street Station,MF,11:00 PM to 12:00 AM,164,176
2022,22nd Street Station,Sat,12:00 to 1:00 AM,139,70
2022,22nd Street Station,Sat,1:00 to 2:00 AM,40,20
2022,22nd Street Station,Sat,2:00 to 3:00 AM,0,0
2022,22nd Street Station,Sat,4:00 to 5:00 AM,0,0
2022,22nd Street Station,Sat,5:00 to 6:00 AM,0,0
2022,22nd Street Station,Sat,6:00 to 7:00 AM,176,288
2022,22nd Street Station,Sat,7:00 to 8:00 AM,263,338
2022,22nd Street Station,Sat,8:00 to 9:00 AM,229,318
2022,22nd Street Station,Sat,9:00 to 10:00 AM,205,310
2022,22nd Street Station,Sat,10:00 to 11:00 AM,220,327
2022,22nd Street Station,Sat,11:00 AM to 12:00 PM,240,368
2022,22nd Street Station,Sat,12:00 to 1:00 PM,284,393
