SeasonYear,Lineno_renamed,DayType,Season,HourRange,direction_updated,Average_Peak_Passenger_Load,Average_Peak_Load_Factor
2023,2,MF,Fall,4,EAST,18.87088767,37.74177534
2023,2,MF,Fall,4,WEST,14.78585801,29.57171601
2023,2,MF,Fall,6,EAST,40.05911175,80.11822349
2023,2,MF,Fall,6,WEST,41.71514087,83.43028173
2023,2,MF,Fall,9,EAST,30.62556506,61.25113012
2023,2,MF,Fall,9,WEST,34.48623967,68.97247934
2023,2,MF,Fall,15,EAST,40.56646286,81.13292572
2023,2,MF,Fall,15,WEST,40.94169287,81.88338574
2023,2,MF,Fall,18,EAST,28.25239214,56.50478428
2023,2,MF,Fall,18,WEST,38.7608227,77.5216454
2023,2,MF,Fall,21,EAST,17.86755924,35.73511847
2023,2,MF,Fall,21,WEST,28.92675708,57.85351416
2023,2,MF,Fall,24,EAST,5.632622881,11.26524576
2023,2,MF,Fall,24,WEST,12.49511655,24.99023311
2023,2,MF,Summer,4,EAST,18.53791386,37.07582772
2023,2,MF,Summer,4,WEST,8.898148148,17.7962963
2023,2,MF,Summer,6,EAST,38.6998548,77.39970959
2023,2,MF,Summer,6,WEST,38.00995694,76.01991388
2023,2,MF,Summer,9,EAST,32.6537669,65.3075338
2023,2,MF,Summer,9,WEST,37.21560372,74.43120745
2023,2,MF,Summer,15,EAST,36.90146741,73.80293481
2023,2,MF,Summer,15,WEST,40.38643078,80.77286157
2023,2,MF,Summer,18,EAST,39.07773434,78.15546868
2023,2,MF,Summer,18,WEST,48.70736317,97.41472633
2023,2,MF,Summer,21,EAST,32.68670589,65.37341178
2023,2,MF,Summer,21,WEST,36.4293744,72.85874881
2023,2,MF,Summer,24,EAST,8.473412511,16.94682502
2023,2,MF,Summer,24,WEST,19.31599529,38.63199057
2023,2,Sat,Fall,4,EAST,NULL,NULL
2023,2,Sat,Fall,6,EAST,19.53516484,39.07032967
2023,2,Sat,Fall,6,WEST,24.17641904,48.35283807
2023,2,Sat,Fall,9,EAST,35.27265563,70.54531125
2023,2,Sat,Fall,9,WEST,35.53044491,71.06088983
2023,2,Sat,Fall,15,EAST,40.23283509,80.46567019
2023,2,Sat,Fall,15,WEST,41.57148777,83.14297554
2023,2,Sat,Fall,18,EAST,36.34231239,72.68462478
2023,2,Sat,Fall,18,WEST,38.76501068,77.53002137
2023,2,Sat,Fall,21,EAST,21.52448107,43.04896215
2023,2,Sat,Fall,21,WEST,34.147151,68.29430199
2023,2,Sat,Fall,24,EAST,6.76043956,13.52087912
2023,2,Sat,Fall,24,WEST,15.2286741,30.45734821
2023,2,Sat,Summer,4,EAST,NULL,NULL
2023,2,Sat,Summer,6,EAST,22.71363636,45.42727273
2023,2,Sat,Summer,6,WEST,25.79494949,51.58989899
2023,2,Sat,Summer,9,EAST,32.82628496,65.65256992
2023,2,Sat,Summer,9,WEST,35.79965191,71.59930382
2023,2,Sat,Summer,15,EAST,36.14407701,72.28815403
2023,2,Sat,Summer,15,WEST,44.97896825,89.95793651
2023,2,Sat,Summer,18,EAST,40.75836508,81.51673016
2023,2,Sat,Summer,18,WEST,39.28044444,78.56088889
2023,2,Sat,Summer,21,EAST,37.05925926,74.11851852
2023,2,Sat,Summer,21,WEST,31.05648148,62.11296296
2023,2,Sat,Summer,24,EAST,9.937777778,19.87555556
2023,2,Sat,Summer,24,WEST,16.00736961,32.01473923
2023,2,Sun/Hol,Fall,4,EAST,NULL,NULL
2023,2,Sun/Hol,Fall,4,WEST,NULL,NULL
2023,2,Sun/Hol,Fall,6,EAST,16.34689648,32.69379296
2023,2,Sun/Hol,Fall,6,WEST,20.83306108,41.66612216
2023,2,Sun/Hol,Fall,9,WEST,28.78314046,57.56628093
2023,2,Sun/Hol,Fall,9,EAST,29.82842952,59.65685904
2023,2,Sun/Hol,Fall,15,WEST,35.31179818,70.62359635
2023,2,Sun/Hol,Fall,15,EAST,32.54675716,65.09351432
2023,2,Sun/Hol,Fall,18,EAST,26.48931759,52.97863518
2023,2,Sun/Hol,Fall,18,WEST,34.42475251,68.84950502
2023,2,Sun/Hol,Fall,21,WEST,21.26651885,42.5330377
2023,2,Sun/Hol,Fall,21,EAST,15.33357186,30.66714373
2023,2,Sun/Hol,Fall,24,WEST,7.546367881,15.09273576
2023,2,Sun/Hol,Fall,24,EAST,3.90361738,7.807234761
2023,2,Sun/Hol,Summer,4,WEST,NULL,NULL
2023,2,Sun/Hol,Summer,4,EAST,NULL,NULL
2023,2,Sun/Hol,Summer,6,WEST,21.54624429,43.09248859
2023,2,Sun/Hol,Summer,6,EAST,17.8369278,35.6738556
2023,2,Sun/Hol,Summer,9,WEST,36.44650366,72.89300733
2023,2,Sun/Hol,Summer,9,EAST,31.31975295,62.6395059
2023,2,Sun/Hol,Summer,15,EAST,39.54617852,79.09235704
2023,2,Sun/Hol,Summer,15,WEST,45.09415049,90.18830099
2023,2,Sun/Hol,Summer,18,EAST,46.09824711,92.19649423
2023,2,Sun/Hol,Summer,18,WEST,45.18108129,90.36216259
2023,2,Sun/Hol,Summer,21,EAST,36.36521737,72.73043474
2023,2,Sun/Hol,Summer,21,WEST,31.78154085,63.5630817
2023,2,Sun/Hol,Summer,24,EAST,6.480952381,12.96190476
2023,2,Sun/Hol,Summer,24,WEST,10.11060606,20.22121212
2023,3,MF,Fall,4,NORTH,18.14051697,25.91502424
2023,3,MF,Fall,4,SOUTH,14.87969484,21.25670691
2023,3,MF,Fall,6,NORTH,36.03643765,51.48062521
2023,3,MF,Fall,6,SOUTH,18.600723,26.57246143
2023,3,MF,Fall,9,NORTH,26.66800355,38.09714793
