CalendarYear,Lineno_renamed,AnnualBoardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours,Annual_Service_Hours,Average_Boarding_Per_Revenue_Hour,Average_Peak_Passenger_Load,Average_Peak_Load_Factor,Average_Capacity_Utilization,Revenue_Hrs_w_Overcrowding,Perc_Trips_w_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2023,2,3478726.346,10442.71491,8784.226293,6796.357624,40609.88333,54794.41667,85.66206206,32.62390116,65.24780232,32.22923305,11.79290622,11.10810933,85.42904623,5.624601775,18.47889469
2023,3,3623533.308,10621.97766,9591.733329,7679.853509,45693.45,54475.25,79.30093499,24.56604889,35.09435556,21.58587811,1.088500479,0.931389564,76.44033453,2.052024441,13.86464935
2023,4,2245396.369,6586.873988,5871.396649,4793.334181,45649.65,60679.91667,49.18759222,27.0462301,57.54517043,34.27241969,5.566262288,5.045200744,76.28919244,2.319629103,18.04531933
2023,005/006,4528533.697,13267.43432,11801.73125,9756.414321,57717.86556,80589.44889,78.45982614,23.95118312,50.95996408,30.58490029,8.841904594,8.148495474,82.82234423,3.994664216,9.866629823
2023,7,3572403.27,10615.6303,9227.560906,7220.175378,59536.38333,75617.35,60.00369975,26.11249727,55.55850483,29.91315742,2.780697435,2.633130281,65.91237278,3.034836251,17.00065116
2023,8,2998296.423,8903.875142,7523.192054,6237.72249,41309.81917,50003.86917,72.58072011,22.0738241,31.53403442,22.2361528,0.713814934,0.56679703,73.72915497,2.643742764,14.24127422
2023,9,3865149.746,11694.1949,8736.565161,7950.607425,56178.05833,77032.725,68.80176817,28.5899642,57.1799284,31.71396522,11.00904048,8.538179365,82.61329246,2.212084667,15.78517778
2023,10,3042568.872,9379.598457,6833.645627,5666.078507,46219,54654.08333,65.82939639,21.99982754,31.5952927,19.61533696,0.325277255,0.295236473,72.35182684,2.538556105,16.27527814
2023,14,3129642.132,8836.241112,9295.296536,7124.942712,63827.97778,81998.87778,49.03245005,26.83176376,57.08885906,34.80881212,6.780256042,5.740702048,73.26980547,2.790626281,17.09931347
2023,015/050,2465551.804,7148.886137,6565.024045,5479.576082,46452.36667,57697.11667,53.07699005,18.33490607,36.66981215,21.07119513,2.868289289,2.480641403,76.95323638,0.997967148,15.63670882
2023,16,5347137.861,16062.33415,13142.28019,10663.3275,81737.00111,100400.0011,65.4188163,31.55725014,67.11296309,33.30526039,7.371544389,6.747854968,77.23950868,2.912789596,15.84315543
2023,17,2141496.063,6568.546082,4769.648293,4135.542243,39659.75,46864.06667,53.99671111,16.74893493,35.62440122,16.65090468,1.549368398,1.505113527,71.11650861,2.380646255,16.38586155
2023,19,4487908.564,12686.21536,12267.60423,10917.40236,68902.15361,87478.37028,65.134518,25.95403958,55.20871001,35.74745104,4.549010237,3.771844411,70.19718815,3.712633189,14.38129115
2023,20,4438678.048,13349.73516,10589.96582,9020.074459,57786.56667,69914.06667,76.81158968,26.9840787,38.54868386,22.26030929,1.337940829,1.077070369,77.56445538,2.96063962,14.12634437
2023,22,2804078.059,8679.219618,6154.694057,5198.997162,46537.25,59245.16667,60.25448557,27.07302199,54.14604399,37.69521299,7.494298283,6.336774653,84.15595239,2.093862989,16.42571566
2023,23,1383485.056,4083.610946,3597.964341,2877.288403,28718.1,43552.31667,48.17467228,13.38007123,55.75029681,33.82270482,1.472117128,1.395544346,82.21286453,2.099261656,15.10943604
2023,25,6645530.338,21039.71605,13898.64136,11125.89924,84641.25,112713.05,78.51408548,41.62038555,83.2407711,44.96678252,28.33034191,26.51623901,76.73159696,6.089105766,21.47059089
2023,26,1240216.558,3977.235999,2573.053021,1909.560413,20442.43333,27217.75,60.6687344,17.27833842,34.55667683,15.20149089,0.311745188,0.273298715,91.15103305,0.266362787,20.02037418
2023,27,1164209.644,3563.249961,2836.111692,2103.151167,14011.15,19447.91667,83.09165514,17.64078439,35.28156879,22.67703084,0.163167494,0.165167921,87.98186542,0.44072145,16.509175
2023,28,1618135.423,5063.68499,3381.491495,2923.364451,26062.97139,33766.60472,62.08560792,19.82403588,39.64807177,26.9562783,0.664088491,0.620981882,82.11955185,0.692105448,21.74456347
2023,29,653455.8334,2049.188314,1464.684264,1094.736101,8827.983333,11520.78333,74.02096365,13.78271936,27.56543871,18.83751883,0.841275893,0.798597585,91.0485124,0.243845238,17.89101143
2023,31,269343.9356,809.5715299,678.2488391,523.8489075,6050.583333,9119.083333,44.51536666,10.12180477,42.17418656,34.25236541,0.313445447,0.304105423,82.18083012,0.280350519,23.49363809
2023,33,2240379.332,7303.374146,4103.024643,3411.561019,32653.06667,42578.73333,68.6116056,32.72444592,65.44889185,39.43520673,13.88673134,12.39807265,78.21912819,0.979225495,20.88302978
2023,41,2067395.05,5674.380504,5893.697325,5464.230387,37496.11667,49780.76667,55.13624433,20.13687867,42.84442271,21.09886961,1.38912407,1.130494663,84.87258239,0.831380157,20.02193681
2023,42,11083.88438,NULL,257.6477161,269.0685987,391.9333333,682,28.28002477,NULL,NULL,NULL,NULL,NULL,89.58858102,0,23.5791443
2023,44,1102441.544,4426.394015,NULL,1824.444385,13874.86667,17867.16667,79.45600993,41.7407086,58.48060581,42.89354729,4.89919947,4.654874318,79.54937257,3.606204973,22.08295511
2023,49,8477198.01,26944.43617,16786.62647,14483.73302,85047.53333,112003.4167,99.67600091,57.49943288,76.74231369,43.80534144,24.81593826,23.08914787,75.81735019,5.181115102,21.92586687
2023,68,479605.9991,1387.359343,1232.249927,1109.39123,10931.13333,17423.16667,43.87523091,10.00633103,41.69304596,29.88213819,0.549704598,0.539403913,87.63371727,0.196152165,21.04514478
2023,80,74509.96765,420.6018669,NULL,161.3463573,1710.433333,2547.766667,43.56204138,14.88370809,29.76741617,21.360323,0.351058084,0.342465753,94.96329527,0.024753156,20.7587456
2023,84,2293679.837,7729.390183,4355.719069,2479.568514,26163.4,35471.73333,87.66749876,39.92349203,53.2313227,35.3023362,6.506384646,6.061829042,81.4157432,1.007513953,23.28420768
2023,99,11284242.65,36131.08678,23708.67084,17364.33824,97808.43333,118961.1333,115.3708557,54.09454152,72.20962693,43.0897387,23.59758703,22.77843147,79.98277855,7.54474322,21.06960599
2023,100,3572610.047,10839.59173,8149.194426,7187.251631,51822.21667,68188.1,68.93973814,31.5916369,63.18327379,39.78346143,8.269433863,7.734832082,87.09307388,3.13173055,23.9954408
2023,101,932476.7601,2976.608736,1841.354126,1551.131159,16324.21667,22366.85,57.12229745,24.1454095,48.29081901,28.9776481,1.875169515,1.623181436,79.13284959,0.94439436,21.32537492
2023,102/103,451405.9652,1401.72055,1018.387907,801.1591598,16261.23333,18491.65,27.75963889,4.778421549,19.91008979,15.65912131,0.052987211,0.035323207,90.08136502,0.279392574,14.85506141
2023,104,895555.8026,3117.684881,1308.174727,889.6677591,14751.33667,18625.62,60.71014599,26.92795025,53.85590051,28.55011698,5.726036654,5.561238724,81.2435827,1.202107564,25.92531608
2023,105,261416.4588,796.5300602,647.3596503,477.5784218,9835.983333,12646.4,26.5775622,8.629466572,35.95611072,20.42788904,0.49951103,0.45630531,74.65955701,0.085203916,17.52415458
2023,106,3029150.555,9271.838901,7329.258789,5505.400957,26984.48333,37186.41667,112.2552734,31.34253761,62.68507521,39.32899128,8.793838113,7.812415289,87.3724927,1.498438387,14.9658496
2023,109,139893.3451,439.5465543,288.5189109,249.100284,6330.666667,10021.61667,22.09772722,5.273937033,21.97473764,12.99761924,0,0,92.42330425,0.043326553,21.32651418
2023,110,908484.5435,2947.081582,1642.0952,1450.619248,23829.86667,31775.5,38.12377787,16.88638213,33.77276427,17.55430745,1.310267783,1.124846865,84.0202612,0.627598419,22.68419481
2023,112,1140563.575,3616.564308,2578.959508,1752.219925,13356.43333,19156.56667,85.39432244,22.14794691,44.29589383,26.30038932,1.43471962,1.259407157,95.21197007,0.303256325,17.14494417
2023,116,1201861.274,4265.23218,1408.842006,1149.502429,22591.36667,30524.31667,53.20002513,26.25215922,52.50431844,27.72944191,2.724411104,2.485981308,89.33519152,0.75210996,25.04137157
2023,119,1933099.225,5763.817934,4785.833795,3984.497672,19851.5,30158.28333,97.37799285,25.59106446,51.18212893,35.75984935,2.313854757,2.088936144,93.61620446,0.710591224,16.58947785
2023,123,2050439.147,6385.870688,4430.113456,3710.920691,30166.23333,40843.7,67.97133485,26.17134296,52.34268591,29.24852485,4.45095794,3.496264188,86.64551006,1.349201568,19.91323849
