SeasonYear,Lineno_renamed,DayType,Season,Hour_Range,Annual_Revenue_Hours,Annual_Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip
2023,2,MF,Fall,4,125.4333333,198.8,2,44.33699176,19.58217136
2023,2,MF,Fall,6,1562,2038.883333,7.328638498,101.9044721,50.95223605
2023,2,MF,Fall,9,2357.2,3196.183333,5.495305164,93.17113657,46.86790506
2023,2,MF,Fall,15,1868.483333,2340.633333,7.995305164,102.0411134,55.94545765
2023,2,MF,Fall,18,1070.916667,1435.383333,4.661971831,84.54951039,45.54601601
2023,2,MF,Fall,21,732.4833333,1015.3,3.666666667,74.77946365,35.06703636
2023,2,MF,Fall,24,207.0833333,424.8166667,1.746478873,30.40422791,12.66842829
2023,2,MF,Summer,4,84.8,134.4,2,38.71837983,17.10061776
2023,2,MF,Summer,6,1039.2,1350.4,7.333333333,94.85920158,46.67503896
2023,2,MF,Summer,9,1698.4,2150.4,5.833333333,89.3671504,45.17296674
2023,2,MF,Summer,15,1511.2,1888.8,9.833333333,92.44688639,49.33112102
2023,2,MF,Summer,18,807.2,1071.2,5.166666667,101.6911258,55.16470209
2023,2,MF,Summer,21,517.6,688,3.666666667,83.04079089,40.70256948
2023,2,MF,Summer,24,140,287.2,1.75,35.62332824,14.84305343
2023,2,Sat,Fall,4,5.633333333,19.71666667,1,20.98160818,9.092030213
2023,2,Sat,Fall,6,125.2333333,182.8666667,3.666666667,64.22117115,28.12108858
2023,2,Sat,Fall,9,418.1666667,557.4833333,5.320512821,94.35841534,47.42493271
2023,2,Sat,Fall,15,309.8333333,405.6,7.128205128,92.86745895,51.47304895
2023,2,Sat,Fall,18,202.15,258.4833333,4.820512821,86.01302813,46.12077888
2023,2,Sat,Fall,21,161.6333333,196.95,4,66.47306559,34.43674092
2023,2,Sat,Fall,24,66.51666667,97.06666667,3,31.65181528,13.49598235
2023,2,Sat,Summer,4,3.9,13.65,1,14.97175551,6.487760722
2023,2,Sat,Summer,6,86.7,126.6,3.666666667,74.70618716,32.71225468
2023,2,Sat,Summer,9,370.95,475.8,6.648148148,87.63807322,45.15186564
2023,2,Sat,Summer,15,272.85,339.45,9.111111111,91.03940749,50.18202492
2023,2,Sat,Summer,18,217.35,277.05,8.333333333,105.3818465,50.89943185
2023,2,Sat,Summer,21,148.35,191.7,5.481481481,100.0733662,49.98614101
2023,2,Sat,Summer,24,46.05,73.35,3,94.61333729,40.34207576
2023,2,Sun/Hol,Fall,4,3.966666667,12.21666667,1.333333333,11.4446626,5.044129073
2023,2,Sun/Hol,Fall,6,236.9333333,323.2,4.158730159,43.14188917,19.50715956
2023,2,Sun/Hol,Fall,9,670.6666667,895.5166667,5.555555556,81.78321026,39.12216335
2023,2,Sun/Hol,Fall,15,445.4666667,570.5333333,6.936507937,86.78162793,44.08018531
2023,2,Sun/Hol,Fall,18,315.1166667,405.6166667,4.523809524,70.80608372,39.0756166
2023,2,Sun/Hol,Fall,21,249.6666667,325.15,3.968253968,44.70084726,22.32062306
2023,2,Sun/Hol,Fall,24,101.55,149.6333333,2.880952381,12.3924328,5.200213021
2023,2,Sun/Hol,Summer,4,1.766666667,6.2,2,21.0665833,9.304407623
2023,2,Sun/Hol,Summer,6,141.45,195.9333333,4.076923077,47.72907862,21.09774429
2023,2,Sun/Hol,Summer,9,437.1833333,571.6,5.897435897,90.01697796,42.6832131
2023,2,Sun/Hol,Summer,15,290.6833333,356.35,7.512820513,102.4316304,50.72430623
2023,2,Sun/Hol,Summer,18,213.8166667,276.1166667,5.307692308,107.1036233,55.18202343
2023,2,Sun/Hol,Summer,21,155.1833333,201.5333333,3.974358974,75.90964492,37.99971526
2023,2,Sun/Hol,Summer,24,63.31666667,93.18333333,2.884615385,22.269279,9.337857717
2023,3,MF,Fall,4,244.95,311.2166667,1.746478873,50.54696195,29.06450312
2023,3,MF,Fall,6,1307.583333,1539.516667,4.164319249,93.19780451,68.65571599
2023,3,MF,Fall,9,3043.533333,3669.516667,4.248826291,89.20807752,74.98142986
2023,3,MF,Fall,15,1902.8,2128.816667,5,106.6034879,95.23244923
2023,3,MF,Fall,18,1264.983333,1496.916667,3.830985915,77.35731616,59.92389201
2023,3,MF,Fall,21,1112.333333,1377.4,3.830985915,52.56896062,35.80784274
2023,3,MF,Fall,24,498.1833333,597.5833333,2.164319249,20.78785235,12.15511922
2023,3,MF,Summer,4,165.6,210.4,1.75,49.6624368,28.55590116
2023,3,MF,Summer,6,884,1040.8,4.166666667,83.80475847,61.73617208
2023,3,MF,Summer,9,2057.6,2480.8,4.25,86.51138747,72.71480019
2023,3,MF,Summer,15,1280,1434.4,5,103.8792386,92.33710098
2023,3,MF,Summer,18,855.2,1015.2,3.833333333,79.93736141,61.92249228
2023,3,MF,Summer,21,752,931.2,3.833333333,57.76305126,39.34584651
2023,3,MF,Summer,24,336.8,404,2.166666667,24.44655897,14.29444629
2023,3,Sat,Fall,4,43.76666667,50.7,1.730769231,29.90273308,16.77875578
2023,3,Sat,Fall,6,185.9,221,3.820512821,59.88573742,37.23330631
2023,3,Sat,Fall,9,521.7333333,619.2333333,3.91025641,100.4736118,85.79448834
2023,3,Sat,Fall,15,308.1,362.9166667,4.641025641,103.0225197,87.20120415
2023,3,Sat,Fall,18,254.5833333,306.5833333,4.153846154,70.56059878,55.27246905
2023,3,Sat,Fall,21,212.9833333,248.7333333,3.820512821,55.43712363,39.48890763
2023,3,Sat,Fall,24,49.83333333,63.91666667,2,39.66893215,25.34403998
2023,3,Sat,Summer,4,30.3,35.1,1.722222222,28.69171476,16.09923995
2023,3,Sat,Summer,6,128.7,153,3.814814815,60.14275862,37.39310645
2023,3,Sat,Summer,9,354.9,421.5,3.907407407,97.45115063,81.76220652
2023,3,Sat,Summer,15,210,251.7,4.666666667,101.0132531,84.17771091
2023,3,Sat,Summer,18,171.6,204.45,4.148148148,74.8547232,57.08920222
2023,3,Sat,Summer,21,147.45,172.5,3.814814815,59.97463159,42.72106004
2023,3,Sat,Summer,24,34.5,44.25,2,48.49001845,30.97973401
2023,3,Sun/Hol,Fall,4,69.06666667,81.06666667,1.738095238,28.13736448,15.42344424
